#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,North America,7744497,6192.0,282615.0,730.0,4646953.0,5464.0,2814929.0,18546.0,,,,,,North America,,,
,Asia,7985461,9419.0,155504.0,53.0,6451528.0,5565.0,1378429.0,19158.0,,,,,,Asia,,,
,South America,6796388,704.0,220421.0,43.0,5470522.0,1948.0,1105445.0,15030.0,,,,,,South America,,,
,Europe,3876616,8606.0,210940.0,192.0,2190919.0,6479.0,1474757.0,6150.0,,,,,,Europe,,,
,Africa,1319898,,31801.0,,1055312.0,,232785.0,1469.0,,,,,,Africa,,,
,Oceania,29587,98.0,812.0,11.0,25311.0,143.0,3464.0,35.0,,,,,,Australia/Oceania,,,
,,721,,15.0,,651.0,,55.0,4.0,,,,,,,,,
,World,27753168,25019.0,902108.0,1029.0,19841196.0,19599.0,7009864.0,60392.0,3560.0,115.7,,,,All,,,
1.0,USA,6514376,145.0,194037.0,5.0,3797173.0,413.0,2523166.0,14464.0,19659.0,586.0,88658242.0,267548.0,331372810.0,North America,51.0,1708.0,4.0
2.0,India,4374314,6878.0,73953.0,30.0,3398844.0,2817.0,901517.0,8944.0,3164.0,53.0,51804677.0,37470.0,1382567327.0,Asia,316.0,18695.0,27.0
3.0,Brazil,4165124,,127517.0,,3397234.0,,640373.0,8318.0,19569.0,599.0,14408116.0,67692.0,212846718.0,South America,51.0,1669.0,15.0
4.0,Russia,1041007,5218.0,18135.0,142.0,856458.0,6409.0,166414.0,2300.0,7133.0,124.0,39289176.0,269203.0,145946547.0,Europe,140.0,8048.0,4.0
5.0,Peru,696190,,30123.0,,529751.0,,136316.0,1499.0,21060.0,911.0,3403397.0,102953.0,33057742.0,South America,47.0,1097.0,10.0
6.0,Colombia,679513,,21817.0,,541462.0,,116234.0,863.0,13328.0,428.0,2996911.0,58780.0,50985133.0,South America,75.0,2337.0,17.0
7.0,Mexico,642860,5351.0,68484.0,703.0,451159.0,4444.0,123217.0,3030.0,4976.0,530.0,1450397.0,11227.0,129188221.0,North America,201.0,1886.0,89.0
8.0,South Africa,640441,,15086.0,,567729.0,,57626.0,539.0,10773.0,254.0,3821162.0,64276.0,59448983.0,Africa,93.0,3941.0,16.0
9.0,Spain,534513,,29594.0,,,,,1034.0,11431.0,633.0,9987326.0,213595.0,46758276.0,Europe,87.0,1580.0,5.0
10.0,Argentina,500034,,10405.0,,366590.0,,123039.0,2719.0,11045.0,230.0,1412149.0,31191.0,45274241.0,South America,91.0,4351.0,32.0
11.0,Chile,425541,,11682.0,,397730.0,,16129.0,930.0,22225.0,610.0,2669569.0,139423.0,19147292.0,South America,45.0,1639.0,7.0
12.0,Iran,391112,,22542.0,,337414.0,,31156.0,3713.0,4645.0,268.0,3431646.0,40759.0,84194553.0,Asia,215.0,3735.0,25.0
13.0,UK,352560,,41586.0,,,,,77.0,5188.0,612.0,17619897.0,259291.0,67954116.0,Europe,193.0,1634.0,4.0
14.0,France,335524,,30764.0,,88226.0,,216534.0,574.0,5138.0,471.0,8500000.0,130166.0,65301291.0,Europe,195.0,2123.0,8.0
15.0,Bangladesh,329251,,4552.0,,227809.0,,96890.0,,1995.0,28.0,1659697.0,10059.0,164999225.0,Asia,501.0,36248.0,99.0
16.0,Saudi Arabia,322237,,4137.0,,298246.0,,19854.0,1428.0,9229.0,118.0,5406136.0,154838.0,34914836.0,Asia,108.0,8440.0,6.0
17.0,Pakistan,299659,426.0,6359.0,9.0,286506.0,349.0,6794.0,544.0,1352.0,29.0,2825040.0,12744.0,221683215.0,Asia,740.0,34861.0,78.0
18.0,Turkey,283270,,6782.0,,253245.0,,23243.0,1159.0,3352.0,80.0,7994029.0,94593.0,84510112.0,Asia,298.0,12461.0,11.0
19.0,Italy,280153,,35563.0,,210801.0,,33789.0,143.0,4635.0,588.0,9364213.0,154922.0,60444583.0,Europe,216.0,1700.0,6.0
20.0,Iraq,269578,,7657.0,,206324.0,,55597.0,505.0,6675.0,190.0,1718157.0,42542.0,40387603.0,Asia,150.0,5275.0,24.0
21.0,Germany,254956,,9409.0,,230600.0,,14947.0,223.0,3041.0,112.0,12383035.0,147707.0,83835352.0,Europe,329.0,8910.0,7.0
22.0,Philippines,241987,,3916.0,,185178.0,,52893.0,982.0,2203.0,36.0,2873578.0,26158.0,109854237.0,Asia,454.0,28053.0,38.0
23.0,Indonesia,200035,,8230.0,,142958.0,,48847.0,,730.0,30.0,2484807.0,9066.0,274068991.0,Asia,1370.0,33301.0,110.0
24.0,Ukraine,143030,2551.0,2979.0,45.0,63546.0,,76505.0,177.0,3274.0,68.0,1731877.0,39647.0,43682293.0,Europe,305.0,14663.0,25.0
25.0,Israel,138719,1154.0,1040.0,,107600.0,597.0,30079.0,458.0,15082.0,113.0,2488587.0,270569.0,9197590.0,Asia,66.0,8844.0,4.0
26.0,Canada,133748,,9153.0,,117565.0,,7030.0,54.0,3538.0,242.0,5891121.0,155830.0,37804826.0,North America,283.0,4130.0,6.0
27.0,Bolivia,122308,704.0,7097.0,43.0,75098.0,1948.0,40113.0,71.0,10451.0,606.0,259924.0,22210.0,11702818.0,South America,96.0,1649.0,45.0
28.0,Qatar,120579,,205.0,,117497.0,,2877.0,49.0,42944.0,73.0,667936.0,237885.0,2807805.0,Asia,23.0,13697.0,4.0
29.0,Ecuador,110757,,10627.0,,91242.0,,8888.0,377.0,6260.0,601.0,333977.0,18876.0,17692994.0,South America,160.0,1665.0,53.0
30.0,Kazakhstan,106498,73.0,1634.0,,100042.0,149.0,4822.0,221.0,5659.0,87.0,2571562.0,136648.0,18818912.0,Asia,177.0,11517.0,7.0
31.0,Egypt,100228,,5560.0,,79886.0,,14782.0,41.0,976.0,54.0,135000.0,1315.0,102690815.0,Africa,1025.0,18470.0,761.0
32.0,Dominican Republic,100131,,1889.0,,73795.0,,24447.0,210.0,9213.0,174.0,400138.0,36816.0,10868449.0,North America,109.0,5754.0,27.0
33.0,Panama,98407,,2107.0,,70751.0,,25549.0,132.0,22740.0,487.0,374599.0,86564.0,4327410.0,North America,44.0,2054.0,12.0
34.0,Romania,97033,,3967.0,,40838.0,,52228.0,460.0,5051.0,206.0,1966290.0,102344.0,19212516.0,Europe,198.0,4843.0,10.0
35.0,Kuwait,91244,,548.0,,81654.0,,9042.0,89.0,21307.0,128.0,648051.0,151330.0,4282356.0,Asia,47.0,7815.0,7.0
36.0,Belgium,89141,372.0,9912.0,3.0,18602.0,26.0,60627.0,59.0,7685.0,855.0,2466280.0,212624.0,11599276.0,Europe,130.0,1170.0,5.0
37.0,Oman,87590,,742.0,,82973.0,,3875.0,161.0,17073.0,145.0,309212.0,60273.0,5130194.0,Asia,59.0,6914.0,17.0
38.0,Sweden,85707,,5838.0,,,,,13.0,8476.0,577.0,1124269.0,111190.0,10111264.0,Europe,118.0,1732.0,9.0
39.0,Guatemala,78721,,2890.0,,67462.0,,8369.0,5.0,4379.0,161.0,263085.0,14635.0,17976822.0,North America,228.0,6220.0,68.0
40.0,Netherlands,76548,,6244.0,,,,,45.0,4465.0,364.0,1648103.0,96143.0,17142164.0,Europe,224.0,2745.0,10.0
41.0,Morocco,75721,,1427.0,,57239.0,,17055.0,240.0,2047.0,39.0,2115390.0,57184.0,36992794.0,Africa,489.0,25923.0,17.0
42.0,UAE,75098,,391.0,,66943.0,,7764.0,,7576.0,39.0,7704318.0,777205.0,9912851.0,Asia,132.0,25353.0,1.0
43.0,Belarus,73208,,721.0,,71916.0,,571.0,,7748.0,76.0,1591247.0,168409.0,9448722.0,Europe,129.0,13105.0,6.0
44.0,Japan,72234,,1377.0,,63282.0,,7575.0,202.0,571.0,11.0,1622149.0,12833.0,126401103.0,Asia,1750.0,91795.0,78.0
45.0,Poland,71526,,2136.0,,55910.0,,13480.0,81.0,1890.0,56.0,2841344.0,75091.0,37838578.0,Europe,529.0,17715.0,13.0
46.0,Honduras,65218,404.0,2034.0,11.0,14273.0,445.0,48911.0,34.0,6565.0,205.0,154645.0,15567.0,9933918.0,North America,152.0,4884.0,64.0
47.0,Portugal,60895,,1846.0,,43146.0,,15903.0,50.0,5975.0,181.0,2153615.0,211327.0,10190924.0,Europe,167.0,5521.0,5.0
48.0,Ethiopia,60784,,949.0,,22677.0,,37158.0,309.0,526.0,8.0,1078269.0,9337.0,115481268.0,Africa,1900.0,121687.0,107.0
49.0,Singapore,57091,,27.0,,56461.0,,603.0,,9744.0,5.0,2068284.0,353005.0,5859075.0,Asia,103.0,217003.0,3.0
50.0,Bahrain,56778,,202.0,,51574.0,,5002.0,30.0,33164.0,118.0,1194923.0,697956.0,1712032.0,Asia,30.0,8475.0,1.0
51.0,Venezuela,55563,,444.0,,44435.0,,10684.0,111.0,1955.0,16.0,1824287.0,64190.0,28420266.0,South America,511.0,64010.0,16.0
52.0,Nigeria,55456,,1067.0,,43334.0,,11055.0,7.0,268.0,5.0,426803.0,2061.0,207068357.0,Africa,3734.0,194066.0,485.0
53.0,Costa Rica,49897,,531.0,,19285.0,,30081.0,236.0,9778.0,104.0,166786.0,32684.0,5102920.0,North America,102.0,9610.0,31.0
54.0,Nepal,48138,,306.0,,32964.0,,14868.0,,1647.0,10.0,788174.0,26961.0,29233798.0,Asia,607.0,95535.0,37.0
55.0,Algeria,46938,,1571.0,,33183.0,,12184.0,35.0,1067.0,36.0,,,43997567.0,Africa,937.0,28006.0,
56.0,Armenia,45152,199.0,905.0,2.0,41023.0,431.0,3224.0,,15232.0,305.0,224559.0,75754.0,2964309.0,Asia,66.0,3275.0,13.0
57.0,Ghana,45012,,283.0,,43898.0,,831.0,5.0,1443.0,9.0,448820.0,14389.0,31192083.0,Africa,693.0,110219.0,69.0
58.0,Switzerland,44837,,2018.0,,37700.0,,5119.0,25.0,5174.0,233.0,1111984.0,128306.0,8666651.0,Europe,193.0,4295.0,8.0
59.0,Kyrgyzstan,44613,87.0,1061.0,1.0,40336.0,178.0,3216.0,24.0,6817.0,162.0,267718.0,40909.0,6544193.0,Asia,147.0,6168.0,24.0
