#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,North America,6944465,4934.0,259459.0,246.0,3887337.0,3813.0,2797669.0,21055.0,,,,,,North America,,,
,South America,5765689,722.0,189127.0,67.0,4295973.0,1509.0,1280589.0,14910.0,,,,,,South America,,,
,Asia,6312355,14092.0,130377.0,136.0,4990721.0,10467.0,1191257.0,18997.0,,,,,,Asia,,,
,Europe,3362698,7960.0,205405.0,101.0,1990857.0,5179.0,1166436.0,5196.0,,,,,,Europe,,,
,Africa,1192414,,27831.0,,909724.0,,254859.0,1218.0,,,,,,Africa,,,
,Oceania,27349,113.0,544.0,15.0,21567.0,371.0,5238.0,50.0,,,,,,Australia/Oceania,,,
,,721,,15.0,,651.0,,55.0,4.0,,,,,,,,,
,World,23605691,27821.0,812758.0,565.0,16096830.0,21339.0,6696103.0,61430.0,3028.0,104.3,,,,All,,,
1.0,USA,5874295,149.0,180605.0,1.0,3167164.0,101.0,2526526.0,16717.0,17732.0,545.0,76160545.0,229892.0,331288117.0,North America,56.0,1834.0,4.0
2.0,Brazil,3605783,,114772.0,,2709638.0,,781373.0,8318.0,16946.0,539.0,14144344.0,66474.0,212780766.0,South America,59.0,1854.0,15.0
3.0,India,3110761,5576.0,57715.0,23.0,2338899.0,2103.0,714147.0,8944.0,2251.0,42.0,35902137.0,25979.0,1381974682.0,Asia,444.0,23945.0,38.0
4.0,Russia,961493,4744.0,16448.0,65.0,773095.0,2456.0,171950.0,2300.0,6588.0,113.0,34600000.0,237078.0,145943820.0,Europe,152.0,8873.0,4.0
5.0,South Africa,609773,,13059.0,,506470.0,,90244.0,539.0,10263.0,220.0,3553425.0,59806.0,59416296.0,Africa,97.0,4550.0,17.0
6.0,Peru,594326,,27663.0,,399357.0,,167306.0,1515.0,17989.0,837.0,2985782.0,90375.0,33037658.0,South America,56.0,1194.0,11.0
7.0,Mexico,560164,3948.0,60480.0,226.0,383872.0,3380.0,115812.0,3264.0,4338.0,468.0,1259141.0,9751.0,129129040.0,North America,231.0,2135.0,103.0
8.0,Colombia,541147,,17316.0,,374030.0,,149801.0,1493.0,10619.0,340.0,2474417.0,48555.0,50961438.0,South America,94.0,2943.0,21.0
9.0,Spain,407879,,28838.0,,,,,541.0,8723.0,617.0,7955615.0,170146.0,46757487.0,Europe,115.0,1621.0,6.0
10.0,Chile,397665,,10852.0,,371179.0,,15634.0,1027.0,20777.0,567.0,2204009.0,115151.0,19140127.0,South America,48.0,1764.0,9.0
11.0,Iran,358905,,20643.0,,309464.0,,28798.0,3841.0,4265.0,245.0,3036711.0,36088.0,84147556.0,Asia,234.0,4076.0,28.0
12.0,Argentina,342154,,6985.0,,251400.0,,83769.0,1922.0,7560.0,154.0,1092556.0,24142.0,45256129.0,South America,132.0,6479.0,41.0
13.0,UK,325642,,41429.0,,,,,72.0,4793.0,610.0,15177265.0,223397.0,67938559.0,Europe,209.0,1640.0,4.0
14.0,Saudi Arabia,307479,,3649.0,,280143.0,,23687.0,1644.0,8813.0,105.0,4501104.0,129004.0,34891119.0,Asia,113.0,9562.0,8.0
15.0,Bangladesh,294598,,3941.0,,179091.0,,111566.0,,1786.0,24.0,1442656.0,8747.0,164927553.0,Asia,560.0,41849.0,114.0
16.0,Pakistan,293261,496.0,6244.0,9.0,276829.0,993.0,10188.0,686.0,1324.0,28.0,2463513.0,11122.0,221495402.0,Asia,755.0,35473.0,90.0
17.0,Italy,259345,,35437.0,,205470.0,,18438.0,69.0,4290.0,586.0,8007637.0,132471.0,60448454.0,Europe,233.0,1706.0,8.0
18.0,Turkey,258249,,6121.0,,237165.0,,14963.0,783.0,3057.0,72.0,6327466.0,74907.0,84470460.0,Asia,327.0,13800.0,13.0
19.0,France,242899,,30513.0,,84973.0,,127413.0,383.0,3720.0,467.0,6000000.0,91891.0,65294995.0,Europe,269.0,2140.0,11.0
20.0,Germany,234489,,9332.0,,209600.0,,15557.0,236.0,2797.0,111.0,10197366.0,121653.0,83823671.0,Europe,357.0,8982.0,8.0
21.0,Iraq,204341,,6428.0,,146409.0,,51504.0,661.0,5064.0,159.0,1433626.0,35531.0,40348050.0,Asia,197.0,6277.0,28.0
