#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
,North America,2153010,5455.0,129980.0,1143.0,840948.0,3297.0,1182082.0,19329.0,,,,,,North America,,,
,South America,989408,3684.0,44353.0,79.0,470798.0,4784.0,474257.0,11404.0,,,,,,South America,,,
,Europe,2039324,11083.0,176680.0,235.0,1040206.0,12352.0,822438.0,8520.0,,,,,,Europe,,,
,Asia,1245821,19190.0,32697.0,232.0,757614.0,9106.0,455510.0,14538.0,,,,,,Asia,,,
,Africa,165603,618.0,4636.0,9.0,72724.0,344.0,88243.0,445.0,,,,,,Africa,,,
,Oceania,8850,11.0,124.0,,8230.0,8.0,496.0,4.0,,,,,,Australia/Oceania,,,
,,721,,15.0,,651.0,,55.0,4.0,,,,,,,,,
,World,6602737,40041.0,388485.0,1698.0,3191171.0,29891.0,3023081.0,54244.0,847.0,49.8,,,,All,,,
1.0,USA,1902779,996.0,109159.0,17.0,688811.0,141.0,1104809.0,16947.0,5751.0,330.0,19101629.0,57733.0,330859357.0,North America,174.0,3031.0,17.0
2.0,Brazil,587017,3037.0,32602.0,55.0,266132.0,,288283.0,8318.0,2763.0,153.0,930013.0,4378.0,212446884.0,South America,362.0,6516.0,228.0
3.0,Russia,441108,8831.0,5384.0,169.0,204623.0,8666.0,231101.0,2300.0,3023.0,37.0,11733051.0,80402.0,145930019.0,Europe,331.0,27104.0,12.0
4.0,Spain,287406,,27128.0,,,,,617.0,6147.0,580.0,4063843.0,86921.0,46753492.0,Europe,163.0,1723.0,12.0
5.0,UK,279856,,39728.0,,,,,1559.0,4124.0,585.0,4786219.0,70531.0,67859798.0,Europe,242.0,1708.0,14.0
6.0,Italy,233836,,33601.0,,160938.0,,39297.0,353.0,3867.0,556.0,3999591.0,66144.0,60468053.0,Europe,259.0,1800.0,15.0
7.0,India,217965,1141.0,6091.0,3.0,104242.0,171.0,107632.0,8944.0,158.0,4.0,4242718.0,3077.0,1378974417.0,Asia,6327.0,226395.0,325.0
8.0,Germany,184470,45.0,8701.0,2.0,167800.0,500.0,7969.0,632.0,2202.0,104.0,4348880.0,51918.0,83764536.0,Europe,454.0,9627.0,19.0
9.0,Peru,178914,,4894.0,,72319.0,,101701.0,964.0,5432.0,149.0,1115615.0,33872.0,32935983.0,South America,184.0,6730.0,30.0
10.0,Turkey,166422,,4609.0,,130852.0,,30961.0,612.0,1975.0,55.0,2155349.0,25577.0,84269726.0,Asia,506.0,18284.0,39.0
11.0,Iran,164270,3574.0,8071.0,59.0,127485.0,2279.0,28714.0,2569.0,1958.0,96.0,1019362.0,12148.0,83909638.0,Asia,511.0,10396.0,82.0
12.0,France,151677,,29021.0,,69455.0,,53201.0,1210.0,2324.0,445.0,1384633.0,21216.0,65263122.0,Europe,430.0,2249.0,47.0
13.0,Chile,113628,,1275.0,,90748.0,4575.0,21605.0,1446.0,5948.0,67.0,628318.0,32890.0,19103852.0,South America,168.0,14983.0,30.0
14.0,Mexico,101238,3912.0,11729.0,1092.0,73271.0,2963.0,16238.0,378.0,786.0,91.0,303461.0,2356.0,128829434.0,North America,1273.0,10984.0,425.0
15.0,Canada,93085,,7498.0,,51048.0,,34539.0,1721.0,2468.0,199.0,1755926.0,46555.0,37717219.0,North America,405.0,5030.0,21.0
16.0,Saudi Arabia,91182,,579.0,,68159.0,,22444.0,1321.0,2622.0,17.0,870963.0,25049.0,34771048.0,Asia,381.0,60054.0,40.0
17.0,Pakistan,85264,4801.0,1770.0,82.0,30128.0,1205.0,53366.0,111.0,387.0,8.0,615511.0,2791.0,220544600.0,Asia,2587.0,124601.0,358.0
18.0,Qatar,63741,1581.0,45.0,,39468.0,1926.0,24228.0,239.0,22701.0,16.0,241086.0,85863.0,2807805.0,Asia,44.0,62396.0,12.0
19.0,Belgium,58767,82.0,9548.0,26.0,16048.0,89.0,33171.0,143.0,5072.0,824.0,900282.0,77705.0,11585939.0,Europe,197.0,1213.0,13.0
20.0,Bangladesh,57563,2423.0,781.0,35.0,12161.0,571.0,44621.0,1.0,350.0,5.0,358277.0,2177.0,164564713.0,Asia,2859.0,210710.0,459.0
21.0,Netherlands,46733,,5977.0,,,,,116.0,2728.0,349.0,368529.0,21511.0,17132145.0,Europe,367.0,2866.0,46.0
22.0,Belarus,45981,865.0,253.0,5.0,21162.0,991.0,24566.0,92.0,4866.0,27.0,585065.0,61915.0,9449542.0,Europe,206.0,37350.0,16.0
23.0,Ecuador,40966,,3486.0,,20019.0,,17461.0,252.0,2325.0,198.0,119375.0,6774.0,17621950.0,South America,430.0,5055.0,148.0
24.0,Sweden,40803,,4542.0,,,,,308.0,4042.0,450.0,275500.0,27292.0,10094604.0,Europe,247.0,2223.0,37.0
25.0,South Africa,37525,,792.0,,19682.0,,17051.0,208.0,633.0,13.0,785979.0,13265.0,59250820.0,Africa,1579.0,74812.0,75.0
26.0,Singapore,36922,517.0,24.0,,23582.0,,13316.0,5.0,6315.0,4.0,408495.0,69865.0,5846897.0,Asia,158.0,243621.0,14.0
27.0,UAE,36359,,270.0,,19153.0,,16936.0,1.0,3680.0,27.0,2145493.0,217129.0,9881188.0,Asia,272.0,36597.0,5.0
28.0,Colombia,33354,,1045.0,,12288.0,,20021.0,136.0,656.0,21.0,362432.0,7129.0,50841482.0,South America,1524.0,48652.0,140.0
29.0,Portugal,33261,,1447.0,,20079.0,,11735.0,56.0,3261.0,142.0,847181.0,83067.0,10198769.0,Europe,307.0,7048.0,12.0
30.0,Switzerland,30913,20.0,1921.0,,28600.0,,392.0,27.0,3574.0,222.0,409450.0,47336.0,8649901.0,Europe,280.0,4503.0,21.0
31.0,Kuwait,29921,562.0,236.0,6.0,17223.0,1473.0,12462.0,184.0,7014.0,55.0,306006.0,71738.0,4265609.0,Asia,143.0,18075.0,14.0
32.0,Indonesia,28818,585.0,1721.0,23.0,8892.0,486.0,18205.0,,105.0,6.0,367640.0,1345.0,273302908.0,Asia,9484.0,158805.0,743.0
