"Country, Other",Total Cases,New Cases,Total Deaths,NewDeaths,Total Recovered,"Serious, Critical",Region
China,78514,450.0,2747.0,32.0,32954.0,8346.0,Asia
S. Korea,1766,505.0,13.0,1.0,24.0,18.0,Asia
Diamond Princess,705,,4.0,,10.0,36.0,
Italy,528,58.0,14.0,2.0,42.0,35.0,Europe
Iran,245,106.0,26.0,7.0,54.0,,Asia
Japan,207,35.0,4.0,1.0,32.0,13.0,Asia
Singapore,96,3.0,,,66.0,7.0,Asia
Hong Kong,92,3.0,2.0,,18.0,6.0,Asia
USA,60,,,,6.0,,N.America
Kuwait,43,17.0,,,,,Asia
Thailand,40,,,,22.0,2.0,Asia
Bahrain,33,,,,,,Asia
Taiwan,32,,1.0,,5.0,1.0,Asia
Germany,27,,,,15.0,2.0,Europe
Australia,23,,,,15.0,,Oceania
Malaysia,22,,,,20.0,,Asia
France,18,,2.0,,11.0,1.0,Europe
Vietnam,16,,,,16.0,,Asia
Spain,15,2.0,,,2.0,2.0,Europe
U.K.,15,2.0,,,8.0,,Europe
U.A.E.,13,,,,3.0,2.0,Asia
Canada,12,,,,3.0,,N.America
Macao,10,,,,6.0,,Asia
Iraq,6,1.0,,,,,Asia
Oman,4,,,,,,Asia
Switzerland,4,3.0,,,,,Europe
Philippines,3,,1.0,,2.0,,Asia
Austria,3,1.0,,,,,Europe
Croatia,3,,,,,,Europe
Greece,3,2.0,,,,,Europe
India,3,,,,3.0,,Asia
Israel,3,1.0,,,,,Asia
Finland,2,,,,1.0,,Europe
Lebanon,2,,,,,,Asia
Pakistan,2,,,,,,Asia
Russia,2,,,,2.0,,Europe
Sweden,2,,,,,,Europe
Afghanistan,1,,,,,,Asia
Algeria,1,,,,,,Africa
Belgium,1,,,,1.0,,Europe
Brazil,1,,,,,,South America
Cambodia,1,,,,1.0,,Asia
Denmark,1,1.0,,,,,Europe
Egypt,1,,,,1.0,,Africa
Estonia,1,1.0,,,,,Europe
Georgia,1,,,,,,Asia
North Macedonia,1,,,,,,Europe
Nepal,1,,,,1.0,,Asia
Norway,1,,,,,,Europe
Romania,1,,,,,,Europe
Sri Lanka,1,,,,1.0,,Asia
