"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop
World,2910298,81472.0,202671.0,5572.0,832501.0,1875126,58178.0,373.0,26.0,,
USA,953918,28686.0,53858.0,1665.0,116015.0,784045,15110.0,2882.0,163.0,5247935.0,15855.0
Spain,223759,3995.0,22902.0,378.0,95708.0,105149,7705.0,4786.0,490.0,930230.0,19896.0
Italy,195351,2357.0,26384.0,415.0,63120.0,105847,2102.0,3231.0,436.0,1707743.0,28245.0
France,161488,1660.0,22614.0,369.0,44594.0,94280,4725.0,2474.0,346.0,463662.0,7103.0
Germany,156126,1127.0,5846.0,86.0,109800.0,40480,2908.0,1863.0,70.0,2072669.0,24738.0
UK,148377,4913.0,20319.0,813.0,,127714,1559.0,2186.0,299.0,640792.0,9439.0
Turkey,107773,2861.0,2706.0,106.0,25582.0,79485,1782.0,1278.0,32.0,868565.0,10298.0
Iran,89328,1134.0,5650.0,76.0,68193.0,15485,3096.0,1064.0,67.0,410075.0,4882.0
Russia,74588,5966.0,681.0,66.0,6250.0,67657,2300.0,511.0,5.0,2721500.0,18649.0
Brazil,58616,5621.0,4016.0,346.0,27655.0,26945,8318.0,276.0,19.0,291922.0,1373.0
Belgium,45325,1032.0,6917.0,238.0,10417.0,27991,934.0,3911.0,597.0,189067.0,16313.0
Canada,45016,1128.0,2462.0,160.0,16320.0,26234,557.0,1193.0,65.0,669588.0,17741.0
Netherlands,37190,655.0,4409.0,120.0,,32531,959.0,2170.0,257.0,193950.0,11319.0
Switzerland,28894,217.0,1599.0,10.0,21300.0,5995,204.0,3339.0,185.0,245300.0,28343.0
India,26283,1836.0,825.0,45.0,5939.0,19519,,19.0,0.6,579957.0,420.0
Peru,25331,3683.0,700.0,66.0,7797.0,16834,545.0,768.0,21.0,218195.0,6618.0
Portugal,23392,595.0,880.0,26.0,1277.0,21235,186.0,2294.0,86.0,330512.0,32414.0
Ecuador,22719,,576.0,,1366.0,20777,127.0,1288.0,33.0,56513.0,3203.0
Ireland,18561,377.0,1063.0,49.0,9233.0,8265,142.0,3759.0,215.0,127319.0,25785.0
Sweden,18177,610.0,2192.0,40.0,1005.0,14980,547.0,1800.0,217.0,94500.0,9357.0
Saudi Arabia,16299,1197.0,136.0,9.0,2215.0,13948,115.0,468.0,4.0,200000.0,5745.0
Israel,15298,240.0,199.0,5.0,6435.0,8664,127.0,1767.0,23.0,302691.0,34971.0
Austria,15148,77.0,536.0,6.0,12103.0,2509,148.0,1682.0,60.0,221098.0,24549.0
Mexico,12872,1239.0,1221.0,152.0,7149.0,4502,378.0,100.0,9.0,51297.0,398.0
Chile,12858,552.0,181.0,7.0,6746.0,5931,418.0,673.0,9.0,149212.0,7806.0
Japan,12829,117.0,345.0,,1530.0,10954,263.0,101.0,3.0,141600.0,1120.0
Singapore,12693,618.0,12.0,,1002.0,11679,24.0,2170.0,2.0,121774.0,20815.0
Pakistan,12644,704.0,268.0,15.0,2755.0,9621,111.0,57.0,1.0,138147.0,625.0
Poland,11273,381.0,524.0,30.0,2126.0,8623,160.0,298.0,14.0,278994.0,7372.0
S. Korea,10718,10.0,240.0,,8635.0,1843,55.0,209.0,5.0,595161.0,11609.0
Romania,10635,218.0,601.0,34.0,2890.0,7144,235.0,553.0,31.0,126645.0,6583.0
UAE,9813,532.0,71.0,7.0,1887.0,7855,1.0,992.0,7.0,1022326.0,103365.0
