#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,North America,24432093,6493.0,525942.0,554.0,15132911.0,7403.0,8773240.0,35275.0,,,,,,North America,,,
,Asia,20983416,8807.0,341896.0,125.0,19504598.0,6325.0,1136922.0,24415.0,,,,,,Asia,,,
,South America,13382026,1010.0,366256.0,18.0,11988782.0,424.0,1026988.0,18181.0,,,,,,South America,,,
,Europe,24404193,6210.0,557629.0,251.0,12047042.0,13850.0,11799522.0,27465.0,,,,,,Europe,,,
,Africa,2867078,,68030.0,,2368319.0,,430729.0,2500.0,,,,,,Africa,,,
,Oceania,48608,19.0,1066.0,,33583.0,24.0,13959.0,20.0,,,,,,Australia/Oceania,,,
,,721,,15.0,,706.0,,0.0,0.0,,,,,,,,,
,World,86118135,22539.0,1860834.0,948.0,61075941.0,28026.0,23181360.0,107856.0,11048.0,238.7,,,,All,,,
1.0,USA,21353051,,362123.0,,12736512.0,,8254416.0,29582.0,64317.0,1091.0,260228941.0,783828.0,331997424.0,North America,16.0,917.0,1.0
2.0,India,10357569,,149886.0,,9975958.0,618.0,231725.0,8944.0,7468.0,108.0,176531997.0,127282.0,1386938083.0,Asia,134.0,9253.0,8.0
3.0,Brazil,7754560,,196591.0,,6875230.0,,682739.0,8318.0,36350.0,922.0,28600000.0,134063.0,213333114.0,South America,28.0,1085.0,7.0
4.0,Russia,3260138,,58988.0,,2640036.0,,561114.0,2300.0,22335.0,404.0,91800000.0,628911.0,145966653.0,Europe,45.0,2475.0,2.0
5.0,UK,2713563,,75431.0,,,,,1847.0,39865.0,1108.0,56665511.0,832473.0,68068853.0,Europe,25.0,902.0,1.0
6.0,France,2659750,,65415.0,,196037.0,,2398298.0,2666.0,40701.0,1001.0,36162648.0,553388.0,65347723.0,Europe,25.0,999.0,2.0
7.0,Turkey,2255607,,21685.0,,2146430.0,,87492.0,3522.0,26598.0,256.0,25132152.0,296361.0,84802540.0,Asia,38.0,3911.0,3.0
8.0,Italy,2166244,,75680.0,,1520106.0,,570458.0,2579.0,35855.0,1253.0,27004272.0,446972.0,60416033.0,Europe,28.0,798.0,2.0
9.0,Spain,1958844,,51078.0,,,,,2192.0,41888.0,1092.0,27839319.0,595314.0,46764094.0,Europe,24.0,916.0,2.0
10.0,Germany,1796216,,35632.0,,1401200.0,,359384.0,5726.0,21404.0,425.0,34801593.0,414692.0,83921499.0,Europe,47.0,2355.0,2.0
11.0,Colombia,1686131,,44187.0,,1552177.0,,89767.0,3482.0,32958.0,864.0,8287250.0,161987.0,51159884.0,South America,30.0,1158.0,6.0
12.0,Argentina,1648940,,43634.0,,1458083.0,,147223.0,3502.0,36314.0,961.0,4951166.0,109038.0,45407820.0,South America,28.0,1041.0,9.0
13.0,Mexico,1455219,6464.0,127757.0,544.0,1105834.0,7403.0,221628.0,3913.0,11226.0,986.0,3680371.0,28393.0,129624684.0,North America,89.0,1015.0,35.0
14.0,Poland,1322947,,29161.0,,1069554.0,,224232.0,1642.0,34975.0,771.0,7307919.0,193202.0,37825266.0,Europe,29.0,1297.0,5.0
15.0,Iran,1249507,,55650.0,,1020737.0,,173120.0,4901.0,14780.0,658.0,7831359.0,92634.0,84541150.0,Asia,68.0,1519.0,11.0
16.0,South Africa,1113349,,30011.0,,911573.0,,171765.0,546.0,18652.0,503.0,6780272.0,113591.0,59690047.0,Africa,54.0,1989.0,9.0
17.0,Ukraine,1083585,5334.0,19129.0,202.0,747408.0,13850.0,317048.0,177.0,24854.0,439.0,5585615.0,128116.0,43598030.0,Europe,40.0,2279.0,8.0
18.0,Peru,1021058,,37873.0,,960703.0,,22482.0,1293.0,30749.0,1141.0,5567797.0,167675.0,33205862.0,South America,33.0,877.0,6.0
19.0,Netherlands,827726,,11675.0,,,,,715.0,48252.0,681.0,6001738.0,349867.0,17154352.0,Europe,21.0,1469.0,3.0
20.0,Indonesia,772103,,22911.0,,639103.0,,110089.0,,2808.0,83.0,7516860.0,27334.0,275000926.0,Asia,356.0,12003.0,37.0
21.0,Czechia,746714,,12070.0,,615083.0,,119561.0,877.0,69661.0,1126.0,3848064.0,358988.0,10719191.0,Europe,14.0,888.0,3.0
22.0,Belgium,650887,876.0,19750.0,49.0,44894.0,,586243.0,467.0,56036.0,1700.0,7010987.0,603589.0,11615501.0,Europe,18.0,588.0,2.0
23.0,Romania,643559,,16057.0,,577198.0,,50304.0,1100.0,33569.0,838.0,4837361.0,252322.0,19171367.0,Europe,30.0,1194.0,4.0
24.0,Chile,620641,,16767.0,,586900.0,,16974.0,787.0,32325.0,873.0,6603470.0,343928.0,19200136.0,South America,31.0,1145.0,3.0
25.0,Canada,611424,,16074.0,,519006.0,,76344.0,711.0,16128.0,424.0,14121468.0,372486.0,37911399.0,North America,62.0,2359.0,3.0
26.0,Iraq,598369,,12844.0,,545529.0,,39996.0,141.0,14709.0,316.0,4677789.0,114992.0,40679307.0,Asia,68.0,3167.0,9.0
27.0,Bangladesh,516929,,7650.0,,461515.0,,47764.0,,3123.0,46.0,3272423.0,19770.0,165527807.0,Asia,320.0,21638.0,51.0
28.0,Pakistan,490476,1947.0,10409.0,59.0,444360.0,1903.0,35707.0,2219.0,2199.0,47.0,6884940.0,30865.0,223068334.0,Asia,455.0,21430.0,32.0
29.0,Philippines,478761,,9263.0,,448279.0,,21219.0,727.0,4340.0,84.0,6834136.0,61946.0,110324510.0,Asia,230.0,11910.0,16.0
30.0,Switzerland,461961,,7918.0,,317600.0,,136443.0,404.0,53178.0,911.0,3709321.0,426995.0,8687026.0,Europe,19.0,1097.0,2.0
31.0,Israel,450116,1943.0,3445.0,,391359.0,543.0,55312.0,764.0,48938.0,375.0,8255440.0,897566.0,9197590.0,Asia,20.0,2670.0,1.0
32.0,Morocco,443802,,7538.0,,414972.0,,21292.0,774.0,11951.0,203.0,4507292.0,121380.0,37133806.0,Africa,84.0,4926.0,8.0
33.0,Sweden,437379,,8727.0,,,,,363.0,43170.0,861.0,4516665.0,445803.0,10131531.0,Europe,23.0,1161.0,2.0
34.0,Portugal,431623,,7196.0,,344419.0,,80008.0,510.0,42393.0,707.0,5748606.0,564619.0,10181381.0,Europe,24.0,1415.0,2.0
35.0,Austria,367410,,6357.0,,340273.0,,20780.0,368.0,40675.0,704.0,3857382.0,427045.0,9032738.0,Europe,25.0,1421.0,2.0
36.0,Saudi Arabia,363155,,6256.0,,354609.0,,2290.0,347.0,10349.0,178.0,11103188.0,316422.0,35089755.0,Asia,97.0,5609.0,3.0
37.0,Serbia,346585,,3364.0,,31536.0,,311685.0,259.0,39750.0,386.0,2331636.0,267414.0,8719213.0,Europe,25.0,2592.0,4.0
38.0,Hungary,328851,,9977.0,,174070.0,,144804.0,400.0,34086.0,1034.0,2700631.0,279925.0,9647707.0,Europe,29.0,967.0,4.0
39.0,Jordan,299831,,3919.0,,278929.0,,16983.0,210.0,29238.0,382.0,3260036.0,317900.0,10254895.0,Asia,34.0,2617.0,3.0
40.0,Nepal,262262,,1885.0,,255088.0,,5289.0,,8920.0,64.0,1952503.0,66405.0,29402973.0,Asia,112.0,15598.0,15.0
41.0,Panama,256230,,4197.0,,203688.0,,48345.0,235.0,58913.0,965.0,1343045.0,308794.0,4349325.0,North America,17.0,1036.0,3.0
42.0,Japan,243847,,3599.0,,200676.0,,39572.0,731.0,1931.0,29.0,4953004.0,39223.0,126276825.0,Asia,518.0,35087.0,25.0
43.0,Georgia,232079,2316.0,2646.0,18.0,222787.0,382.0,6646.0,,58235.0,664.0,1889078.0,474021.0,3985222.0,Asia,17.0,1506.0,2.0
44.0,Azerbaijan,220599,,2761.0,,196734.0,,21104.0,,21657.0,271.0,2214194.0,217378.0,10185909.0,Asia,46.0,3689.0,5.0
45.0,Ecuador,215080,,14069.0,,190350.0,,10661.0,396.0,12097.0,791.0,756952.0,42575.0,17779418.0,South America,83.0,1264.0,23.0
46.0,UAE,214732,,682.0,,191455.0,,22595.0,,21578.0,69.0,21430011.0,2153474.0,9951369.0,Asia,46.0,14591.0,0.0
47.0,Croatia,213319,,4126.0,,203294.0,,5899.0,196.0,52128.0,1008.0,1035076.0,252940.0,4092187.0,Europe,19.0,992.0,4.0
48.0,Bulgaria,204080,,7835.0,,124624.0,,71621.0,411.0,29485.0,1132.0,1173704.0,169576.0,6921398.0,Europe,34.0,883.0,6.0
49.0,Belarus,201831,,1461.0,,183625.0,,16745.0,,21363.0,155.0,4047470.0,428407.0,9447723.0,Europe,47.0,6467.0,2.0
50.0,Lebanon,192139,,1512.0,,134367.0,,56260.0,466.0,28216.0,222.0,2054573.0,301714.0,6809671.0,Asia,35.0,4504.0,3.0
51.0,Slovakia,188099,,2521.0,,130897.0,,54681.0,452.0,34444.0,462.0,1457839.0,266954.0,5461002.0,Europe,29.0,2166.0,4.0
52.0,Dominican Republic,175374,,2419.0,,133812.0,,39143.0,270.0,16084.0,222.0,885776.0,81238.0,10903495.0,North America,62.0,4507.0,12.0
53.0,Costa Rica,172436,,2229.0,,132916.0,,37291.0,256.0,33693.0,436.0,506685.0,99002.0,5117903.0,North America,30.0,2296.0,10.0
54.0,Denmark,170787,,1389.0,,139013.0,,30385.0,140.0,29432.0,239.0,10819739.0,1864613.0,5802673.0,Europe,34.0,4178.0,1.0
55.0,Bolivia,163671,1010.0,9219.0,18.0,133671.0,424.0,20781.0,71.0,13925.0,784.0,424831.0,36143.0,11754164.0,South America,72.0,1275.0,28.0
56.0,Armenia,160544,324.0,2878.0,14.0,145759.0,928.0,11907.0,,54126.0,970.0,600306.0,202390.0,2966089.0,Asia,18.0,1031.0,5.0
57.0,Kazakhstan,158302,723.0,2262.0,,145194.0,484.0,10846.0,221.0,8380.0,120.0,5250104.0,277911.0,18891305.0,Asia,119.0,8352.0,4.0
58.0,Kuwait,151715,,938.0,,147511.0,,3266.0,51.0,35260.0,218.0,1272017.0,295630.0,4302728.0,Asia,28.0,4587.0,3.0
59.0,Lithuania,147997,,1950.0,,77832.0,,68215.0,189.0,54762.0,722.0,1657248.0,613212.0,2702569.0,Europe,18.0,1386.0,2.0
60.0,Moldova,146309,,3054.0,,134021.0,,9234.0,254.0,36313.0,758.0,563245.0,139793.0,4029131.0,Europe,28.0,1319.0,7.0
61.0,Tunisia,144796,,4862.0,,108491.0,,31443.0,351.0,12186.0,409.0,635100.0,53452.0,11881789.0,Africa,82.0,2444.0,19.0
62.0,Qatar,144644,,245.0,,141925.0,,2474.0,33.0,51515.0,87.0,1257197.0,447751.0,2807805.0,Asia,19.0,11460.0,2.0
63.0,Egypt,143464,,7863.0,,114601.0,,21000.0,90.0,1389.0,76.0,1000000.0,9679.0,103314034.0,Africa,720.0,13139.0,103.0
64.0,Palestine,142228,,1490.0,,122976.0,,17762.0,113.0,27556.0,289.0,903910.0,175129.0,5161395.0,Asia,36.0,3464.0,6.0
65.0,Greece,140526,,5011.0,,9989.0,,125526.0,407.0,13516.0,482.0,3432711.0,330171.0,10396772.0,Europe,74.0,2075.0,3.0
66.0,Guatemala,138656,,4835.0,,127797.0,,6024.0,5.0,7667.0,267.0,643185.0,35567.0,18083821.0,North America,130.0,3740.0,28.0
67.0,Oman,129584,,1502.0,,122372.0,,5710.0,29.0,25054.0,290.0,571472.0,110489.0,5172200.0,Asia,40.0,3444.0,9.0
68.0,Myanmar,126935,,2744.0,,110200.0,,13991.0,,2325.0,50.0,1884619.0,34519.0,54596628.0,Asia,430.0,19897.0,29.0
69.0,Ethiopia,125919,,1950.0,,112610.0,,11359.0,262.0,1082.0,17.0,1822122.0,15654.0,116402138.0,Africa,924.0,59693.0,64.0
70.0,Slovenia,125858,,2838.0,,103467.0,,19553.0,194.0,60535.0,1365.0,684260.0,329116.0,2079085.0,Europe,17.0,733.0,3.0
71.0,Honduras,123398,29.0,3181.0,1.0,57348.0,,62869.0,160.0,12359.0,319.0,308727.0,30920.0,9984745.0,North America,81.0,3139.0,32.0
72.0,Malaysia,120818,,501.0,,98228.0,,22089.0,122.0,3709.0,15.0,3435694.0,105462.0,32577454.0,Asia,270.0,65025.0,9.0
73.0,Venezuela,114407,,1038.0,,108468.0,,4901.0,80.0,4029.0,37.0,2419991.0,85228.0,28394403.0,South America,248.0,27355.0,12.0
74.0,Bosnia and Herzegovina,112645,,4131.0,,77891.0,,30623.0,,34445.0,1263.0,517161.0,158140.0,3270275.0,Europe,29.0,792.0,6.0
75.0,Paraguay,109837,,2305.0,,85800.0,,21732.0,162.0,15304.0,321.0,568371.0,79191.0,7177231.0,South America,65.0,3114.0,13.0
76.0,Ireland,107997,,2265.0,,23364.0,,82368.0,70.0,21748.0,456.0,2472132.0,497817.0,4965946.0,Europe,46.0,2192.0,2.0
77.0,Libya,101975,,1526.0,,75288.0,,25161.0,,14739.0,221.0,556616.0,80449.0,6918909.0,Africa,68.0,4534.0,12.0
78.0,Algeria,100645,,2777.0,,67999.0,,29869.0,42.0,2274.0,63.0,,,44253192.0,Africa,440.0,15936.0,
79.0,Kenya,96908,,1686.0,,79257.0,,15965.0,28.0,1782.0,31.0,1059006.0,19477.0,54370950.0,Africa,561.0,32248.0,51.0
80.0,Bahrain,93766,,352.0,,90995.0,,2419.0,13.0,54162.0,203.0,2405722.0,1389619.0,1731210.0,Asia,18.0,4918.0,1.0
81.0,Nigeria,91351,,1318.0,,75699.0,,14334.0,10.0,438.0,6.0,958911.0,4594.0,208720563.0,Africa,2285.0,158362.0,218.0
82.0,North Macedonia,84129,,2550.0,,63532.0,,18047.0,138.0,40382.0,1224.0,405108.0,194452.0,2083330.0,Europe,25.0,817.0,5.0
83.0,Kyrgyzstan,81512,124.0,1360.0,,76955.0,227.0,3197.0,50.0,12390.0,207.0,598976.0,91045.0,6578928.0,Asia,81.0,4837.0,11.0
84.0,Uzbekistan,77295,37.0,614.0,,75545.0,108.0,1136.0,155.0,2293.0,18.0,1377915.0,40868.0,33716228.0,Asia,436.0,54912.0,24.0
85.0,S. Korea,64979,715.0,1007.0,26.0,46172.0,932.0,17800.0,386.0,1267.0,20.0,4439361.0,86551.0,51291876.0,Asia,789.0,50935.0,12.0
86.0,Albania,59623,,1199.0,,34996.0,,23428.0,39.0,20730.0,417.0,264984.0,92131.0,2876179.0,Europe,48.0,2399.0,11.0
87.0,Singapore,58721,,29.0,,58497.0,,195.0,1.0,9997.0,5.0,5426351.0,923809.0,5873889.0,Asia,100.0,202548.0,1.0
88.0,Ghana,55168,,335.0,,53928.0,,905.0,12.0,1757.0,11.0,672364.0,21412.0,31401621.0,Africa,569.0,93736.0,47.0
89.0,Afghanistan,53105,94.0,2244.0,7.0,42666.0,136.0,8195.0,93.0,1349.0,57.0,207550.0,5272.0,39372031.0,Asia,741.0,17545.0,190.0
90.0,Norway,51245,,449.0,,37658.0,,13138.0,26.0,9415.0,82.0,2857808.0,525049.0,5442936.0,Europe,106.0,12122.0,2.0
91.0,Montenegro,49630,,692.0,,39877.0,,9061.0,68.0,79015.0,1102.0,186156.0,296376.0,628107.0,Europe,13.0,908.0,3.0
92.0,El Salvador,47087,,1373.0,9.0,42004.0,,3710.0,59.0,7241.0,211.0,631180.0,97060.0,6502988.0,North America,138.0,4736.0,10.0
93.0,Luxembourg,46986,,508.0,,43364.0,,3114.0,34.0,74444.0,805.0,1684316.0,2668617.0,631157.0,Europe,13.0,1242.0,0.0
94.0,Sri Lanka,45242,,215.0,,37817.0,,7210.0,,2108.0,10.0,1275736.0,59449.0,21459318.0,Asia,474.0,99811.0,17.0
95.0,Latvia,43118,,692.0,,30892.0,,11534.0,66.0,22991.0,369.0,894919.0,477191.0,1875391.0,Europe,43.0,2710.0,2.0
96.0,Finland,36919,,565.0,,29000.0,,7354.0,31.0,6658.0,102.0,2495178.0,449975.0,5545144.0,Europe,150.0,9814.0,2.0
97.0,Uganda,36050,,274.0,,12267.0,,23509.0,,776.0,6.0,758383.0,16321.0,46466703.0,Africa,1289.0,169587.0,61.0
