#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/  1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,North America,124286803,,1608333.0,,119520751.0,,3157719.0,7827.0,,,,,,North America,,,,,,
,Asia,214057519,13106.0,1535349.0,14.0,198652165.0,14450.0,13870005.0,15600.0,,,,,,Asia,,,,,,
,Europe,245926317,,2015078.0,,241527317.0,35500.0,2383922.0,6458.0,,,,,,Europe,,,,,,
,South America,67924072,93.0,1349378.0,14.0,66129256.0,449.0,445438.0,10200.0,,,,,,South America,,,,,,
,Oceania,13968514,,25968.0,,13823069.0,,119477.0,71.0,,,,,,Australia/Oceania,,,,,,
,Africa,12790103,,258575.0,,12073546.0,,457982.0,547.0,,,,,,Africa,,,,,,
,,721,,15.0,,706.0,,0.0,0.0,,,,,,,,,,,,
,World,678954049,13199.0,6792696.0,28.0,651726810.0,50201.0,20434543.0,40703.0,87103.0,871.4,,,,All,,,,,,
1.0,USA,105020461,,1142981.0,,102414269.0,,1463211.0,2661.0,313676.0,3414.0,1163387226.0,3474818.0,334805269.0,North America,3.0,293.0,0.0,,,4370.0
2.0,India,44685257,,530762.0,,44152560.0,,1935.0,,31768.0,377.0,917986992.0,652614.0,1406631776.0,Asia,31.0,2650.0,2.0,,,1.0
3.0,France,39595964,,164791.0,,39364026.0,,67147.0,869.0,603739.0,2513.0,271490188.0,4139547.0,65584518.0,Europe,2.0,398.0,0.0,,,1024.0
4.0,Germany,38043874,,167491.0,,37630800.0,13600.0,245583.0,,453532.0,1997.0,122332384.0,1458359.0,83883596.0,Europe,2.0,501.0,1.0,,,2928.0
5.0,Brazil,36987682,,698047.0,,36116408.0,,173227.0,,171753.0,3241.0,63776166.0,296146.0,215353593.0,South America,6.0,309.0,3.0,,,804.0
6.0,Japan,33117362,,71809.0,,21668628.0,,11376925.0,226.0,263705.0,572.0,94344335.0,751240.0,125584838.0,Asia,4.0,1749.0,1.0,,,90592.0
7.0,S. Korea,30458857,13082.0,33887.0,14.0,30209520.0,14496.0,215450.0,186.0,593394.0,660.0,15804065.0,307892.0,51329899.0,Asia,2.0,1515.0,3.0,255.0,0.3,4197.0
8.0,Italy,25547414,,187850.0,,25174036.0,,185528.0,154.0,423934.0,3117.0,267156892.0,4433200.0,60262770.0,Europe,2.0,321.0,0.0,,,3079.0
9.0,UK,24341615,,206246.0,,24071436.0,2621.0,63933.0,,355363.0,3011.0,522526476.0,7628357.0,68497907.0,Europe,3.0,332.0,0.0,,,933.0
10.0,Russia,22189988,,395867.0,,21527201.0,,266920.0,,152188.0,2715.0,273400000.0,1875095.0,145805947.0,Europe,7.0,368.0,1.0,,,1831.0
11.0,Turkey,17042722,,101492.0,,,,,,199186.0,1186.0,162743369.0,1902052.0,85561976.0,Asia,5.0,843.0,1.0,,,1819.0
12.0,Spain,13755956,,119186.0,,13596016.0,,40754.0,231.0,294439.0,2551.0,471036328.0,10082298.0,46719142.0,Europe,3.0,392.0,0.0,,,872.0
13.0,Vietnam,11526834,,43186.0,,10614728.0,,868920.0,6.0,116487.0,436.0,85826548.0,867342.0,98953541.0,Asia,9.0,2291.0,1.0,,,8781.0
14.0,Australia,11347698,,19265.0,,11311584.0,,16849.0,43.0,435298.0,739.0,78835048.0,3024116.0,26068792.0,Australia/Oceania,2.0,1353.0,0.0,,,646.0
15.0,Argentina,10043308,,130458.0,,9907133.0,456.0,5717.0,363.0,218284.0,2835.0,35716069.0,776264.0,46010234.0,South America,5.0,353.0,1.0,,,124.0
16.0,Taiwan,9954456,,17608.0,,9551967.0,,384881.0,,416703.0,737.0,30742304.0,1286903.0,23888595.0,Asia,2.0,1357.0,1.0,,,16111.0
17.0,Netherlands,8591721,,22992.0,,8557110.0,,11619.0,53.0,499186.0,1336.0,25984435.0,1509718.0,17211447.0,Europe,2.0,749.0,1.0,,,675.0
18.0,Iran,7567161,,144817.0,,7338865.0,,83479.0,288.0,87967.0,1683.0,55034937.0,639771.0,86022837.0,Asia,11.0,594.0,2.0,,,970.0
19.0,Mexico,7430816,,332850.0,,6671142.0,,426824.0,,56481.0,2530.0,19519260.0,148365.0,131562772.0,North America,18.0,395.0,7.0,,,3244.0
20.0,Indonesia,6734606,,160892.0,,6570110.0,,3604.0,,24127.0,576.0,114158919.0,408975.0,279134505.0,Asia,41.0,1735.0,2.0,,,13.0
21.0,Poland,6404036,,118833.0,,5335940.0,,949263.0,696.0,169689.0,3149.0,38227521.0,1012924.0,37739785.0,Europe,6.0,318.0,1.0,,,25153.0
22.0,Colombia,6358775,,142596.0,,6182304.0,,33875.0,342.0,123441.0,2768.0,36951507.0,717327.0,51512762.0,South America,8.0,361.0,1.0,,,658.0
