#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/  1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,North America,121638771,19.0,1579878.0,,116418573.0,2560.0,3640320.0,9648.0,,,,,,North America,,,,,,
,Asia,207939686,242428.0,1513982.0,385.0,194093150.0,102267.0,12332554.0,13696.0,,,,,,Asia,,,,,,
,Europe,243202128,11181.0,1983545.0,82.0,237673399.0,67596.0,3545184.0,7518.0,,,,,,Europe,,,,,,
,South America,67038791,4022.0,1342554.0,48.0,64565120.0,10548.0,1131117.0,10319.0,,,,,,South America,,,,,,
,Oceania,13659438,2379.0,23474.0,30.0,13376271.0,553.0,259693.0,154.0,,,,,,Australia/Oceania,,,,,,
,Africa,12743501,,258366.0,,12040939.0,,444196.0,838.0,,,,,,Africa,,,,,,
,,721,,15.0,,706.0,,0.0,0.0,,,,,,,,,,,,
,World,666223036,260029.0,6701814.0,545.0,638168158.0,183524.0,21353064.0,42173.0,85470.0,859.8,,,,All,,,,,,
1.0,USA,102747552,,1118757.0,,99668480.0,,1960315.0,4465.0,306888.0,3342.0,1154347629.0,3447818.0,334805269.0,North America,3.0,299.0,0.0,,,5855.0
2.0,India,44680261,,530707.0,,44145854.0,,3700.0,698.0,31764.0,377.0,911167976.0,647766.0,1406631776.0,Asia,31.0,2650.0,2.0,,,3.0
3.0,France,39356184,,162377.0,,38520605.0,,673202.0,869.0,600083.0,2476.0,271490188.0,4139547.0,65584518.0,Europe,2.0,404.0,0.0,,,10265.0
4.0,Germany,37446795,,162021.0,,36749200.0,39200.0,535574.0,1406.0,446414.0,1931.0,122332384.0,1458359.0,83883596.0,Europe,2.0,518.0,1.0,,,6385.0
5.0,Brazil,36397820,,694235.0,,35081933.0,,621652.0,8318.0,169014.0,3224.0,63776166.0,296146.0,215353593.0,South America,6.0,310.0,3.0,,,2887.0
6.0,Japan,29571931,104304.0,58162.0,218.0,21171504.0,6044.0,8342265.0,615.0,235474.0,463.0,87294964.0,695108.0,125584838.0,Asia,4.0,2159.0,1.0,831.0,2.0,66427.0
7.0,S. Korea,29299166,78575.0,32355.0,54.0,28097130.0,66723.0,1169681.0,623.0,570801.0,630.0,15804065.0,307892.0,51329899.0,Asia,2.0,1586.0,3.0,1531.0,1.0,22788.0
8.0,Italy,25143705,,184642.0,,24541402.0,,417661.0,314.0,417234.0,3064.0,262558741.0,4356898.0,60262770.0,Europe,2.0,326.0,0.0,,,6931.0
9.0,UK,24135084,,198937.0,,23859922.0,5160.0,76225.0,146.0,352348.0,2904.0,522526476.0,7628357.0,68497907.0,Europe,3.0,344.0,0.0,,,1113.0
10.0,Russia,21813839,3328.0,393898.0,45.0,21227998.0,4942.0,191943.0,2300.0,149609.0,2702.0,273400000.0,1875095.0,145805947.0,Europe,7.0,370.0,1.0,23.0,0.3,1316.0
11.0,Turkey,17042722,,101492.0,,,,,,199186.0,1186.0,162743369.0,1902052.0,85561976.0,Asia,5.0,843.0,1.0,,,1819.0
12.0,Spain,13684258,,117095.0,,13486683.0,,80480.0,339.0,292905.0,2506.0,471036328.0,10082298.0,46719142.0,Europe,3.0,399.0,0.0,,,1723.0
13.0,Vietnam,11525491,83.0,43186.0,,10611389.0,51.0,870916.0,24.0,116474.0,436.0,85826548.0,867342.0,98953541.0,Asia,9.0,2291.0,1.0,0.8,,8801.0
14.0,Australia,11135105,2172.0,17082.0,30.0,10979282.0,,138741.0,120.0,427143.0,655.0,78835048.0,3024116.0,26068792.0,Australia/Oceania,2.0,1526.0,0.0,83.0,1.0,5322.0
15.0,Argentina,9963697,,130171.0,,9636804.0,,196722.0,402.0,216554.0,2829.0,35716069.0,776264.0,46010234.0,South America,5.0,353.0,1.0,,,4276.0
16.0,Taiwan,8948201,33871.0,15338.0,17.0,8516578.0,16046.0,416285.0,,374580.0,642.0,29398425.0,1230647.0,23888595.0,Asia,3.0,1557.0,1.0,1418.0,0.7,17426.0
17.0,Netherlands,8569228,,22989.0,,8522982.0,549.0,23257.0,55.0,497880.0,1336.0,25984435.0,1509718.0,17211447.0,Europe,2.0,749.0,1.0,,,1351.0
18.0,Iran,7561428,,144696.0,,7336258.0,,80474.0,121.0,87900.0,1682.0,54420785.0,632632.0,86022837.0,Asia,11.0,595.0,2.0,,,935.0
19.0,Mexico,7252944,,331197.0,,6489416.0,,432331.0,4798.0,55129.0,2517.0,19042684.0,144742.0,131562772.0,North America,18.0,397.0,7.0,,,3286.0
20.0,Indonesia,6721692,597.0,160657.0,9.0,6552142.0,665.0,8893.0,2771.0,24080.0,576.0,114122459.0,408844.0,279134505.0,Asia,42.0,1737.0,2.0,2.0,0.03,32.0
21.0,Poland,6370008,570.0,118555.0,9.0,5335940.0,,915513.0,1192.0,168788.0,3141.0,38003739.0,1006994.0,37739785.0,Europe,6.0,318.0,1.0,15.0,0.2,24259.0
22.0,Colombia,6345115,,142179.0,,6164293.0,,38643.0,342.0,123176.0,2760.0,36951507.0,717327.0,51512762.0,South America,8.0,362.0,1.0,,,750.0
23.0,Austria,5716267,3710.0,21466.0,,5657986.0,4054.0,36815.0,,630468.0,2368.0,204628586.0,22569221.0,9066710.0,Europe,2.0,422.0,0.0,409.0,,4060.0
24.0,Portugal,5557941,,25805.0,,5521832.0,,10304.0,61.0,548090.0,2545.0,45826501.0,4519125.0,10140570.0,Europe,2.0,393.0,0.0,,,1016.0
25.0,Greece,5548487,,34779.0,,5513708.0,,0.0,115.0,537819.0,3371.0,102228365.0,9909078.0,10316637.0,Europe,2.0,297.0,0.0,,,
