#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,North America,48842117,18731.0,1006673.0,758.0,38074046.0,17261.0,9761398.0,33013.0,,,,,,North America,,,,,,
,Asia,70945836,69550.0,1047766.0,742.0,66210517.0,90374.0,3687553.0,41377.0,,,,,,Asia,,,,,,
,South America,37032591,,1134070.0,,34851630.0,,1046891.0,14971.0,,,,,,South America,,,,,,
,Europe,55776742,25921.0,1179079.0,854.0,50917483.0,50625.0,3680180.0,11861.0,,,,,,Europe,,,,,,
,Africa,7945176,,198801.0,,7074996.0,,671379.0,4474.0,,,,,,Africa,,,,,,
,Oceania,169944,1777.0,2251.0,5.0,119292.0,23.0,48401.0,233.0,,,,,,Australia/Oceania,,,,,,
,,721,,15.0,,706.0,,0.0,0.0,,,,,,,,,,,,
,World,220713127,115979.0,4568655.0,2359.0,197248670.0,158283.0,18895802.0,105929.0,28315.0,586.1,,,,All,,,,,,
1.0,USA,40703674,,664935.0,,31265847.0,,8772892.0,25752.0,122131.0,1995.0,590675384.0,1772318.0,333278410.0,North America,8.0,501.0,1.0,,,26323.0
2.0,India,32945907,1216.0,440256.0,,32100001.0,7884.0,405650.0,8944.0,23602.0,315.0,528240038.0,378422.0,1395901836.0,Asia,42.0,3171.0,3.0,0.9,,291.0
3.0,Brazil,20856060,,582753.0,,19820202.0,,453105.0,8318.0,97308.0,2719.0,56897224.0,265465.0,214330637.0,South America,10.0,368.0,4.0,,,2114.0
4.0,Russia,6993954,18780.0,186407.0,796.0,6255475.0,18737.0,552072.0,2300.0,47901.0,1277.0,180400000.0,1235550.0,146007887.0,Europe,21.0,783.0,1.0,129.0,5.0,3781.0
5.0,UK,6904969,,133041.0,,5561928.0,,1210000.0,1038.0,101091.0,1948.0,273256505.0,4000584.0,68304162.0,Europe,10.0,513.0,0.0,,,17715.0
6.0,France,6812706,,114773.0,,6356262.0,21079.0,341671.0,2270.0,104101.0,1754.0,128108421.0,1957559.0,65442948.0,Europe,10.0,570.0,1.0,,,5221.0
7.0,Turkey,6458630,,57559.0,,5886912.0,,514159.0,633.0,75626.0,674.0,77349911.0,905713.0,85402265.0,Asia,13.0,1484.0,1.0,,,6020.0
8.0,Argentina,5199919,,112356.0,,4891152.0,,196411.0,2452.0,113829.0,2460.0,22388587.0,490099.0,45681771.0,South America,9.0,407.0,2.0,,,4300.0
9.0,Iran,5083133,,109549.0,,4302011.0,,671573.0,7795.0,59625.0,1285.0,29227907.0,342841.0,85251967.0,Asia,17.0,778.0,3.0,,,7878.0
10.0,Colombia,4914881,,125158.0,,4744394.0,,45329.0,542.0,95401.0,2429.0,24322614.0,472116.0,51518272.0,South America,10.0,412.0,2.0,,,880.0
11.0,Spain,4877755,,84795.0,,4418343.0,,374617.0,1460.0,104279.0,1813.0,60618810.0,1295938.0,46776028.0,Europe,10.0,552.0,1.0,,,8009.0
