#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/  1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,North America,123212377,,1595543.0,,118073960.0,2402.0,3542874.0,8994.0,,,,,,North America,,,,,,
,Asia,212339028,112394.0,1527090.0,416.0,196769443.0,74001.0,14042495.0,17175.0,,,,,,Asia,,,,,,
,Europe,244556569,8077.0,2002723.0,55.0,240132524.0,35407.0,2421322.0,6580.0,,,,,,Europe,,,,,,
,South America,67655550,,1346667.0,,65676620.0,7209.0,632263.0,10251.0,,,,,,South America,,,,,,
,Oceania,13874861,2638.0,25186.0,82.0,13704933.0,5369.0,144742.0,78.0,,,,,,Australia/Oceania,,,,,,
,Africa,12769654,,258484.0,,12056799.0,,454371.0,547.0,,,,,,Africa,,,,,,
,,721,,15.0,,706.0,,0.0,0.0,,,,,,,,,,,,
,World,674408760,123109.0,6755708.0,553.0,646414985.0,124388.0,21238067.0,43625.0,86520.0,866.7,,,,All,,,,,,
1.0,USA,104093499,,1132132.0,,101123639.0,,1837728.0,3828.0,310908.0,3381.0,1159121148.0,3462076.0,334805269.0,North America,3.0,296.0,0.0,,,5489.0
2.0,India,44682437,,530739.0,,44149802.0,,1896.0,698.0,31766.0,377.0,914564756.0,650181.0,1406631776.0,Asia,31.0,2650.0,2.0,,,1.0
3.0,France,39503473,,164036.0,,39228173.0,,111264.0,869.0,602329.0,2501.0,271490188.0,4139547.0,65584518.0,Europe,2.0,400.0,0.0,,,1696.0
4.0,Germany,37728155,,165314.0,,37320300.0,16300.0,242541.0,1281.0,449768.0,1971.0,122332384.0,1458359.0,83883596.0,Europe,2.0,507.0,1.0,,,2891.0
5.0,Brazil,36794650,,696731.0,,35795631.0,,302288.0,8318.0,170857.0,3235.0,63776166.0,296146.0,215353593.0,South America,6.0,309.0,3.0,,,1404.0
6.0,Japan,32364850,53911.0,67050.0,343.0,21518381.0,10827.0,10779419.0,557.0,257713.0,534.0,90589390.0,721340.0,125584838.0,Asia,4.0,1873.0,1.0,429.0,3.0,85834.0
7.0,S. Korea,30107363,31711.0,33332.0,36.0,29506410.0,19080.0,567621.0,481.0,586546.0,649.0,15804065.0,307892.0,51329899.0,Asia,2.0,1540.0,3.0,618.0,0.7,11058.0
8.0,Italy,25415630,,186488.0,,24929092.0,,300050.0,227.0,421747.0,3095.0,264869515.0,4395243.0,60262770.0,Europe,2.0,323.0,0.0,,,4979.0
9.0,UK,24259240,,203229.0,,23996200.0,6119.0,59811.0,146.0,354160.0,2967.0,522526476.0,7628357.0,68497907.0,Europe,3.0,337.0,0.0,,,873.0
10.0,Russia,21924261,7164.0,394902.0,41.0,21331320.0,4876.0,198039.0,2300.0,150366.0,2708.0,273400000.0,1875095.0,145805947.0,Europe,7.0,369.0,1.0,49.0,0.3,1358.0
11.0,Turkey,17042722,,101492.0,,,,,,199186.0,1186.0,162743369.0,1902052.0,85561976.0,Asia,5.0,843.0,1.0,,,1819.0
12.0,Spain,13722677,,118183.0,,13541111.0,,63383.0,231.0,293727.0,2530.0,471036328.0,10082298.0,46719142.0,Europe,3.0,395.0,0.0,,,1357.0
13.0,Vietnam,11526365,,43186.0,,10612426.0,,870753.0,3.0,116483.0,436.0,85826548.0,867342.0,98953541.0,Asia,9.0,2291.0,1.0,,,8800.0
14.0,Australia,11292729,2638.0,18596.0,82.0,11235771.0,5364.0,38362.0,50.0,433190.0,713.0,78835048.0,3024116.0,26068792.0,Australia/Oceania,2.0,1402.0,0.0,101.0,3.0,1472.0
15.0,Argentina,10032709,,130394.0,,9850867.0,5855.0,51448.0,363.0,218054.0,2834.0,35716069.0,776264.0,46010234.0,South America,5.0,353.0,1.0,,,1118.0
16.0,Taiwan,9428486,24350.0,16204.0,15.0,9015591.0,24400.0,396691.0,,394686.0,678.0,30024498.0,1256855.0,23888595.0,Asia,3.0,1474.0,1.0,1019.0,0.6,16606.0
17.0,Netherlands,8580559,,22989.0,,8542860.0,659.0,14710.0,53.0,498538.0,1336.0,25984435.0,1509718.0,17211447.0,Europe,2.0,749.0,1.0,,,855.0
18.0,Iran,7563825,,144744.0,,7337268.0,,81813.0,217.0,87928.0,1683.0,54420785.0,632632.0,86022837.0,Asia,11.0,594.0,2.0,,,951.0
19.0,Mexico,7353630,,332026.0,,6589164.0,,432440.0,4798.0,55894.0,2524.0,19292750.0,146643.0,131562772.0,North America,18.0,396.0,7.0,,,3287.0
20.0,Indonesia,6728998,,160799.0,,6563599.0,,4600.0,2771.0,24107.0,576.0,114158919.0,408975.0,279134505.0,Asia,41.0,1736.0,2.0,,,16.0
21.0,Poland,6377780,540.0,118713.0,8.0,5335940.0,,923127.0,696.0,168994.0,3146.0,38101161.0,1009575.0,37739785.0,Europe,6.0,318.0,1.0,14.0,0.2,24460.0
22.0,Colombia,6356309,,142486.0,,6179501.0,,34322.0,342.0,123393.0,2766.0,36951507.0,717327.0,51512762.0,South America,8.0,362.0,1.0,,,666.0
23.0,Austria,5766100,,21649.0,,5719867.0,,24584.0,42.0,635964.0,2388.0,211273524.0,23302116.0,9066710.0,Europe,2.0,419.0,0.0,,,2711.0
24.0,Greece,5683897,,35392.0,,5644661.0,3845.0,3844.0,115.0,550945.0,3431.0,102228365.0,9909078.0,10316637.0,Europe,2.0,291.0,0.0,,,373.0
