"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
China,80928,34.0,3245.0,8.0,70420.0,7263,2274.0,56.0
Italy,35713,,2978.0,,4025.0,28710,2257.0,591.0
Iran,18407,1046.0,1284.0,149.0,5710.0,11413,,219.0
Spain,17147,2378.0,767.0,129.0,1107.0,15273,800.0,367.0
Germany,13083,756.0,31.0,3.0,113.0,12939,2.0,156.0
USA,9464,205.0,155.0,5.0,108.0,9201,64.0,29.0
France,9134,,264.0,,602.0,8268,931.0,140.0
S. Korea,8565,152.0,91.0,7.0,1947.0,6527,59.0,167.0
Switzerland,3347,232.0,36.0,3.0,15.0,3296,,387.0
UK,2626,,104.0,,65.0,2457,20.0,39.0
Netherlands,2051,,58.0,,2.0,1991,45.0,120.0
Austria,1843,197.0,5.0,1.0,9.0,1829,12.0,205.0
Belgium,1795,309.0,21.0,7.0,31.0,1743,88.0,155.0
Norway,1680,89.0,6.0,,1.0,1673,27.0,310.0
Sweden,1302,1.0,10.0,,16.0,1276,21.0,129.0
Denmark,1132,75.0,6.0,2.0,1.0,1125,30.0,195.0
Japan,923,9.0,32.0,3.0,191.0,700,46.0,7.0
Malaysia,900,110.0,2.0,,75.0,823,15.0,28.0
Portugal,785,143.0,2.0,,4.0,779,18.0,77.0
Canada,727,,9.0,,12.0,706,1.0,19.0
Diamond Princess,712,,7.0,,527.0,178,14.0,
Australia,709,113.0,6.0,,46.0,657,1.0,28.0
Czechia,572,50.0,,,3.0,569,5.0,53.0
Brazil,529,,4.0,,2.0,523,18.0,2.0
Israel,529,96.0,,,13.0,516,6.0,61.0
Qatar,452,,,,4.0,448,,157.0
Greece,418,,6.0,1.0,14.0,398,20.0,40.0
Finland,387,28.0,,,10.0,377,2.0,70.0
Ireland,366,,2.0,,5.0,359,6.0,74.0
Luxembourg,335,132.0,4.0,2.0,,331,1.0,535.0
Pakistan,335,28.0,2.0,,13.0,320,,2.0
Iceland,330,80.0,,,5.0,325,1.0,967.0
Poland,325,38.0,5.0,,13.0,307,3.0,9.0
Singapore,313,,,,117.0,196,14.0,54.0
Indonesia,309,82.0,25.0,6.0,15.0,269,,1.0
Slovenia,286,,1.0,,,285,6.0,138.0
Romania,277,17.0,,,25.0,252,5.0,14.0
Thailand,272,60.0,1.0,,42.0,229,1.0,4.0
Bahrain,268,12.0,1.0,,100.0,167,4.0,158.0
Estonia,267,9.0,,,1.0,266,1.0,201.0
Saudi Arabia,238,,,,6.0,232,,7.0
Chile,238,,,,,238,3.0,12.0
Philippines,217,15.0,17.0,,8.0,192,1.0,2.0
Egypt,210,,6.0,,28.0,176,,2.0
Hong Kong,208,15.0,4.0,,98.0,106,4.0,28.0
India,197,28.0,4.0,1.0,20.0,173,,0.1
Turkey,191,,2.0,,,189,,2.0
Ecuador,168,,3.0,,1.0,164,2.0,10.0
Iraq,164,,12.0,,43.0,109,,4.0
Peru,155,10.0,,,1.0,154,8.0,5.0
South Africa,150,34.0,,,,150,,3.0
Lebanon,149,16.0,4.0,,4.0,141,3.0,22.0
Kuwait,148,6.0,,,18.0,130,5.0,35.0
Russia,147,,1.0,1.0,8.0,138,,1.0
San Marino,140,,14.0,,4.0,122,11.0,4126.0
Armenia,122,12.0,,,1.0,121,2.0,41.0
Mexico,118,25.0,1.0,1.0,4.0,113,1.0,0.9
UAE,113,,,,26.0,87,2.0,11.0
Panama,109,,1.0,,,108,7.0,25.0
Taiwan,108,8.0,1.0,,26.0,81,,5.0
Slovakia,105,,,,,105,2.0,19.0
Croatia,102,13.0,1.0,1.0,5.0,96,,25.0
Colombia,102,9.0,,,1.0,101,,2.0
Argentina,97,,3.0,1.0,3.0,91,,2.0
Serbia,97,8.0,,,1.0,96,4.0,11.0
