#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,North America,41669328,26030.0,931690.0,548.0,34880834.0,18119.0,5856804.0,13507.0,,,,,,North America,,,,,,
,Asia,59813697,183774.0,859417.0,3186.0,56345096.0,146332.0,2609184.0,30844.0,,,,,,Asia,,,,,,
,South America,34797900,3033.0,1069595.0,222.0,32299921.0,2821.0,1428384.0,26851.0,,,,,,South America,,,,,,
,Europe,50364628,115770.0,1123782.0,992.0,46359183.0,40839.0,2881663.0,6688.0,,,,,,Europe,,,,,,
,Africa,6393801,9780.0,161301.0,261.0,5580688.0,8281.0,651812.0,4325.0,,,,,,Africa,,,,,,
,Oceania,94006,1139.0,1446.0,15.0,73825.0,184.0,18735.0,65.0,,,,,,Australia/Oceania,,,,,,
,,721,,15.0,,706.0,,0.0,0.0,,,,,,,,,,,,
,World,193134081,339526.0,4147246.0,5224.0,175540253.0,216576.0,13446582.0,82280.0,24777.0,532.1,,,,All,,,,,,
1.0,USA,35147918,1442.0,625852.0,44.0,29458707.0,304.0,5063359.0,6484.0,105535.0,1879.0,519521084.0,1559910.0,333045503.0,North America,9.0,532.0,1.0,4.0,0.1,15203.0
2.0,India,31289115,32276.0,419471.0,450.0,30454757.0,32944.0,414887.0,8944.0,22441.0,301.0,450911712.0,323403.0,1394272063.0,Asia,45.0,3324.0,3.0,23.0,0.3,298.0
3.0,Brazil,19474489,,545690.0,,18206173.0,,722626.0,8318.0,90939.0,2548.0,54786381.0,255833.0,214149270.0,South America,11.0,392.0,4.0,,,3374.0
4.0,Russia,6054711,24471.0,151501.0,796.0,5427457.0,22660.0,475753.0,2300.0,41471.0,1038.0,160800000.0,1101367.0,146000390.0,Europe,24.0,964.0,1.0,168.0,5.0,3259.0
5.0,France,5911601,,111554.0,,5666411.0,,133636.0,859.0,90356.0,1705.0,99605085.0,1522417.0,65425635.0,Europe,11.0,586.0,1.0,,,2043.0
6.0,UK,5602321,39906.0,128980.0,84.0,4427533.0,7665.0,1045808.0,647.0,82072.0,1890.0,236677745.0,3467228.0,68261378.0,Europe,12.0,529.0,0.0,585.0,1.0,15321.0
7.0,Turkey,5554317,,50709.0,,5400246.0,,103362.0,543.0,65120.0,595.0,65484653.0,767759.0,85293224.0,Asia,15.0,1682.0,1.0,,,1212.0
8.0,Argentina,4798851,,102818.0,,4431871.0,,264162.0,4583.0,105164.0,2253.0,18509454.0,405625.0,45631962.0,South America,10.0,444.0,2.0,,,5789.0
9.0,Colombia,4679994,,117482.0,,4435550.0,,126962.0,8155.0,90956.0,2283.0,21787076.0,423436.0,51453111.0,South America,11.0,438.0,2.0,,,2468.0
10.0,Italy,4302393,5057.0,127920.0,15.0,4119607.0,1483.0,54866.0,158.0,71269.0,2119.0,75555223.0,1251575.0,60368126.0,Europe,14.0,472.0,1.0,84.0,0.2,909.0
11.0,Spain,4249258,29535.0,81194.0,28.0,3681125.0,2869.0,486939.0,1240.0,90847.0,1736.0,55184196.0,1179809.0,46773858.0,Europe,11.0,576.0,1.0,631.0,0.6,10410.0
12.0,Germany,3756997,589.0,91957.0,4.0,3642600.0,600.0,22440.0,354.0,44691.0,1094.0,65845568.0,783260.0,84066052.0,Europe,22.0,914.0,1.0,7.0,0.05,267.0
13.0,Iran,3623840,20313.0,88063.0,226.0,3204136.0,18190.0,331641.0,4628.0,42572.0,1035.0,25332080.0,297595.0,85122728.0,Asia,23.0,967.0,3.0,239.0,3.0,3896.0
14.0,Indonesia,3033339,49509.0,79032.0,1449.0,2392923.0,36370.0,561384.0,,10968.0,286.0,24135057.0,87267.0,276564682.0,Asia,91.0,3499.0,11.0,179.0,5.0,2030.0
15.0,Poland,2881840,126.0,75231.0,9.0,2653088.0,54.0,153521.0,54.0,76233.0,1990.0,18228205.0,482190.0,37802927.0,Europe,13.0,502.0,2.0,3.0,0.2,4061.0
16.0,Mexico,2693495,15198.0,237207.0,397.0,2112815.0,8517.0,343473.0,4798.0,20662.0,1820.0,8048736.0,61744.0,130357053.0,North America,48.0,550.0,16.0,117.0,3.0,2635.0
17.0,South Africa,2327472,,68192.0,,2098818.0,,160462.0,546.0,38730.0,1135.0,14369234.0,239110.0,60094545.0,Africa,26.0,881.0,4.0,,,2670.0
18.0,Ukraine,2246656,726.0,52790.0,21.0,2183003.0,501.0,10863.0,177.0,51699.0,1215.0,11221402.0,258221.0,43456639.0,Europe,19.0,823.0,4.0,17.0,0.5,250.0
19.0,Peru,2097811,,195429.0,,,,,1960.0,62707.0,5842.0,15122721.0,452040.0,33454401.0,South America,16.0,171.0,2.0,,,5432.0
20.0,Netherlands,1827273,6233.0,17789.0,3.0,1662442.0,683.0,147042.0,102.0,106393.0,1036.0,15472423.0,900879.0,17174803.0,Europe,9.0,965.0,1.0,363.0,0.2,8561.0
21.0,Czechia,1671933,235.0,30347.0,1.0,1638500.0,25.0,3086.0,4.0,155820.0,2828.0,31921511.0,2975004.0,10729907.0,Europe,6.0,354.0,0.0,22.0,0.09,288.0
22.0,Chile,1604713,1859.0,34792.0,181.0,1558669.0,1470.0,11252.0,1845.0,83194.0,1804.0,18165048.0,941740.0,19288806.0,South America,12.0,554.0,1.0,96.0,9.0,583.0
23.0,Philippines,1530266,5828.0,26891.0,17.0,1452813.0,3257.0,50562.0,2031.0,13772.0,242.0,16141903.0,145274.0,111113614.0,Asia,73.0,4132.0,7.0,52.0,0.2,455.0
24.0,Iraq,1526943,8106.0,18101.0,81.0,1386331.0,7257.0,122511.0,732.0,37090.0,440.0,12652043.0,307321.0,41168776.0,Asia,27.0,2274.0,3.0,197.0,2.0,2976.0
25.0,Canada,1424715,,26512.0,,1393466.0,,4737.0,264.0,37404.0,696.0,37947701.0,996258.0,38090225.0,North America,27.0,1437.0,1.0,,,124.0
26.0,Bangladesh,1140200,3697.0,18685.0,187.0,969610.0,8566.0,151905.0,1384.0,6852.0,112.0,7376374.0,44325.0,166414749.0,Asia,146.0,8906.0,23.0,22.0,1.0,913.0
27.0,Belgium,1108675,,25213.0,,1054202.0,,29260.0,84.0,95225.0,2166.0,16607907.0,1426462.0,11642725.0,Europe,11.0,462.0,1.0,,,2513.0
28.0,Sweden,1096341,,14615.0,,1073980.0,505.0,7746.0,25.0,107849.0,1438.0,11231122.0,1104823.0,10165538.0,Europe,9.0,696.0,1.0,,,762.0
29.0,Romania,1081953,78.0,34264.0,4.0,1047000.0,48.0,689.0,33.0,56640.0,1794.0,10310079.0,539729.0,19102321.0,Europe,18.0,558.0,2.0,4.0,0.2,36.0
30.0,Pakistan,998609,2158.0,22928.0,40.0,922929.0,895.0,52752.0,2525.0,4431.0,102.0,15559684.0,69034.0,225392516.0,Asia,226.0,9830.0,14.0,10.0,0.2,234.0
31.0,Malaysia,964918,13034.0,7574.0,134.0,815293.0,8436.0,142051.0,938.0,29417.0,231.0,16846976.0,513599.0,32801786.0,Asia,34.0,4331.0,2.0,397.0,4.0,4331.0
32.0,Portugal,939622,,17232.0,,870243.0,,52147.0,171.0,92434.0,1695.0,14621029.0,1438318.0,10165367.0,Europe,11.0,590.0,1.0,,,5130.0
33.0,Israel,856827,1275.0,6457.0,3.0,840628.0,664.0,9742.0,75.0,91875.0,692.0,16058930.0,1721953.0,9326000.0,Asia,11.0,1444.0,1.0,137.0,0.3,1045.0
34.0,Japan,852517,4943.0,15097.0,18.0,806202.0,2521.0,31218.0,392.0,6762.0,120.0,17760540.0,140880.0,126068290.0,Asia,148.0,8351.0,7.0,39.0,0.1,248.0
35.0,Hungary,809016,71.0,30020.0,1.0,744714.0,663.0,34282.0,10.0,83971.0,3116.0,6274804.0,651285.0,9634494.0,Europe,12.0,321.0,2.0,7.0,0.1,3558.0
36.0,Jordan,762706,,9922.0,,745005.0,,7779.0,481.0,73980.0,962.0,8275778.0,802722.0,10309649.0,Asia,14.0,1039.0,1.0,,,755.0
37.0,Serbia,719462,228.0,7095.0,3.0,709704.0,75.0,2663.0,11.0,82694.0,815.0,4591257.0,527715.0,8700263.0,Europe,12.0,1226.0,2.0,26.0,0.3,306.0
38.0,Switzerland,711877,861.0,10903.0,,691224.0,130.0,9750.0,27.0,81626.0,1250.0,8875596.0,1017702.0,8721216.0,Europe,12.0,800.0,1.0,99.0,,1118.0
39.0,Nepal,674726,1855.0,9661.0,24.0,637690.0,1288.0,27375.0,,22728.0,325.0,3504191.0,118039.0,29686843.0,Asia,44.0,3073.0,8.0,62.0,0.8,922.0
