#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/  1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,North America,125518364,,1620393.0,,121023602.0,1341.0,2874369.0,7314.0,,,,,,North America,,,,,,
,Asia,215102082,106.0,1540109.0,1.0,199691671.0,12767.0,13870302.0,15563.0,,,,,,Asia,,,,,,
,Europe,247598776,,2028681.0,,243188047.0,6923.0,2382048.0,6448.0,,,,,,Europe,,,,,,
,South America,68257689,,1352112.0,,66382960.0,,522617.0,10172.0,,,,,,South America,,,,,,
,Oceania,13966368,,26570.0,,13811745.0,,128053.0,63.0,,,,,,Australia/Oceania,,,,,,
,Africa,12808428,,258645.0,,12080019.0,,469764.0,548.0,,,,,,Africa,,,,,,
,,721,,15.0,,706.0,,0.0,0.0,,,,,,,,,,,,
,World,683252428,106.0,6826525.0,1.0,656178750.0,21013.0,20247153.0,40108.0,87655.0,875.8,,,,All,,,,,,
1.0,USA,106090168,,1153587.0,,103772524.0,,1164057.0,2148.0,316871.0,3446.0,1172066373.0,3500741.0,334805269.0,North America,3.0,290.0,0.0,,,3477.0
2.0,India,44702257,,530824.0,,44162832.0,,8601.0,,31780.0,377.0,920743079.0,654573.0,1406631776.0,Asia,31.0,2650.0,2.0,,,6.0
3.0,France,39752553,,165469.0,,39472690.0,,114394.0,869.0,606127.0,2523.0,271490188.0,4139547.0,65584518.0,Europe,2.0,396.0,0.0,,,1744.0
4.0,Germany,38330941,,170331.0,,38015200.0,,145410.0,,456954.0,2031.0,122332384.0,1458359.0,83883596.0,Europe,2.0,492.0,1.0,,,1733.0
5.0,Brazil,37204677,,699917.0,,36249161.0,,255599.0,,172761.0,3250.0,63776166.0,296146.0,215353593.0,South America,6.0,308.0,3.0,,,1187.0
