#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
201.0,British Virgin Islands,5255,,42.0,,,,,8.0,172064.0,1375.0,96147.0,3148129.0,30541.0,North America,6.0,727.0,0.0,,,39946.0
202.0,Turks and Caicos,5110,85.0,30.0,,4156.0,+6,924.0,3.0,129289.0,759.0,94789.0,2398264.0,39524.0,North America,8.0,1317.0,0.0,2151.0,,23378.0
203.0,Saint Kitts and Nevis,4933,,28.0,,3596.0,,1309.0,1.0,91727.0,521.0,63535.0,1181409.0,53779.0,North America,11.0,1921.0,1.0,,,24340.0
204.0,Bhutan,2928,,3.0,,2654.0,,271.0,,3731.0,4.0,1343920.0,1712668.0,784694.0,Asia,268.0,261565.0,1.0,,,345.0
205.0,St. Barth,2927,,6.0,,,,,,294971.0,605.0,56491.0,5692936.0,9923.0,North America,3.0,1654.0,0.0,,,247808.0
206.0,Anguilla,2109,,7.0,,1913.0,,189.0,,138668.0,460.0,51382.0,3378394.0,15209.0,North America,7.0,2173.0,0.0,,,12427.0
207.0,Diamond Princess,712,,13.0,,699.0,,0.0,,,,,,,,,,,,,
208.0,Wallis and Futuna,454,,7.0,,438.0,,9.0,,41514.0,640.0,20508.0,1875274.0,10936.0,Australia/Oceania,24.0,1562.0,1.0,,,823.0
209.0,Saint Pierre Miquelon,415,,,,217.0,,198.0,,72174.0,,15956.0,2774957.0,5750.0,North America,14.0,,0.0,,,34435.0
210.0,Montserrat,139,,1.0,,74.0,,64.0,2.0,27817.0,200.0,7329.0,1466680.0,4997.0,North America,36.0,4997.0,1.0,,,12808.0
211.0,Palau,119,,,,19.0,,100.0,,6529.0,,19159.0,1051133.0,18227.0,Australia/Oceania,153.0,,1.0,,,5486.0
212.0,Falkland Islands,85,,,,,,,,23377.0,,8528.0,2345435.0,3636.0,South America,43.0,,0.0,,,550.0
213.0,Macao,79,,,,77.0,,2.0,,119.0,,5075.0,7655.0,662965.0,Asia,8392.0,,131.0,,,3.0
214.0,Vatican City,27,,,,27.0,,0.0,,33582.0,,,,804.0,Europe,30.0,,,,,
215.0,Solomon Islands,25,,,,20.0,,5.0,,35.0,,4500.0,6313.0,712797.0,Australia/Oceania,28512.0,,158.0,,,7.0
216.0,Western Sahara,10,,1.0,,8.0,,1.0,,16.0,2.0,,,619932.0,Africa,61993.0,619932.0,,,,2.0
217.0,MS Zaandam,9,,2.0,,7.0,,0.0,,,,,,,,,,,,,
218.0,Vanuatu,7,,1.0,,6.0,,0.0,,22.0,3.0,23000.0,72285.0,318187.0,Australia/Oceania,45455.0,318187.0,14.0,,,
219.0,Marshall Islands,7,,,,4.0,,3.0,,117.0,,,,59805.0,Australia/Oceania,8544.0,,,,,50.0
220.0,Samoa,3,,,,3.0,,0.0,,15.0,,,,200445.0,Australia/Oceania,66815.0,,,,,
221.0,Saint Helena,2,,,,2.0,,0.0,,328.0,,,,6105.0,Africa,3053.0,,,,,
222.0,Micronesia,1,,,,1.0,,0.0,,9.0,,,,116880.0,Australia/Oceania,116880.0,,,,,
223.0,Tonga,1,,,,1.0,,0.0,,9.0,,,,107540.0,Australia/Oceania,107540.0,,,,,
224.0,China,105087,223.0,4636.0,,96957.0,+190,3494.0,15.0,73.0,3.0,160000000.0,111163.0,1439323776.0,Asia,13696.0,310467.0,9.0,0.2,,2.0
,Total:,78646288,19217.0,1275926.0,76.0,52660942.0,+23710,24709420.0,31990.0,,,,,,North America,,,,,,
,Total:,90437954,98234.0,1271424.0,112.0,84619803.0,+55316,4546727.0,25715.0,,,,,,Asia,,,,,,
,Total:,43099353,435.0,1198462.0,1.0,38931623.0,+-14,2969268.0,13983.0,,,,,,South America,,,,,,
,Total:,104267314,36129.0,1572981.0,364.0,81461245.0,+69413,21233088.0,21211.0,,,,,,Europe,,,,,,
,Total:,10480163,11.0,234380.0,,9284107.0,,961676.0,2714.0,,,,,,Africa,,,,,,
,Total:,1973536,73609.0,5003.0,32.0,813216.0,+195,1155317.0,452.0,,,,,,Australia/Oceania,,,,,,
,Total:,721,,15.0,,706.0,,0.0,0.0,,,,,,,,,,,,
,Total:,328905329,227635.0,5558191.0,585.0,267771642.0,+148736,55575496.0,96065.0,42195.5,713.1,,,,All,,,,,,
