#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/  1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,North America,122093180,,1583220.0,,116829343.0,,3680617.0,10057.0,,,,,,North America,,,,,,
,Asia,209550406,85253.0,1517200.0,70.0,194771060.0,87173.0,13262146.0,19755.0,,,,,,Asia,,,,,,
,Europe,243674473,687.0,1989888.0,4.0,238430879.0,60118.0,3253706.0,7420.0,,,,,,Europe,,,,,,
,South America,67251297,,1343742.0,,64858003.0,8071.0,1049552.0,10324.0,,,,,,South America,,,,,,
,Oceania,13756526,1262.0,23799.0,29.0,13472842.0,,259885.0,144.0,,,,,,Australia/Oceania,,,,,,
,Africa,12747485,,258379.0,,12044286.0,4.0,444820.0,837.0,,,,,,Africa,,,,,,
,,721,,15.0,,706.0,,0.0,0.0,,,,,,,,,,,,
,World,669074088,87202.0,6716243.0,103.0,640407119.0,154748.0,21950726.0,48537.0,85836.0,861.6,,,,All,,,,,,
1.0,USA,103123617,,1121298.0,,100027148.0,,1975171.0,4874.0,308011.0,3349.0,1155691065.0,3451831.0,334805269.0,North America,3.0,299.0,0.0,,,5899.0
2.0,India,44681355,,530722.0,,44147174.0,,3459.0,698.0,31765.0,377.0,912192538.0,648494.0,1406631776.0,Asia,31.0,2650.0,2.0,,,2.0
3.0,France,39409429,,162990.0,,38808127.0,,438312.0,869.0,600895.0,2485.0,271490188.0,4139547.0,65584518.0,Europe,2.0,402.0,0.0,,,6683.0
4.0,Germany,37540072,,162975.0,,36905700.0,44400.0,471397.0,1406.0,447526.0,1943.0,122332384.0,1458359.0,83883596.0,Europe,2.0,515.0,1.0,,,5620.0
5.0,Brazil,36515758,,694949.0,,35247755.0,,573054.0,8318.0,169562.0,3227.0,63776166.0,296146.0,215353593.0,South America,6.0,310.0,3.0,,,2661.0
6.0,Japan,30568877,,60158.0,,21265232.0,,9243487.0,648.0,243412.0,479.0,88389228.0,703821.0,125584838.0,Asia,4.0,2088.0,1.0,,,73604.0
7.0,S. Korea,29599747,60041.0,32669.0,44.0,28501933.0,68133.0,1065145.0,541.0,576657.0,636.0,15804065.0,307892.0,51329899.0,Asia,2.0,1571.0,3.0,1170.0,0.9,20751.0
8.0,Italy,25279682,,185417.0,,24688083.0,,406182.0,319.0,419491.0,3077.0,263414564.0,4371100.0,60262770.0,Europe,2.0,325.0,0.0,,,6740.0
9.0,UK,24210131,,201028.0,,23888866.0,7083.0,120237.0,146.0,353443.0,2935.0,522526476.0,7628357.0,68497907.0,Europe,3.0,341.0,0.0,,,1755.0
10.0,Russia,21829736,,394121.0,,21248549.0,,187066.0,2300.0,149718.0,2703.0,273400000.0,1875095.0,145805947.0,Europe,7.0,370.0,1.0,,,1283.0
11.0,Turkey,17042722,,101492.0,,,,,,199186.0,1186.0,162743369.0,1902052.0,85561976.0,Asia,5.0,843.0,1.0,,,1819.0
12.0,Spain,13693478,,117413.0,,13502806.0,,73259.0,231.0,293102.0,2513.0,471036328.0,10082298.0,46719142.0,Europe,3.0,398.0,0.0,,,1568.0
13.0,Vietnam,11525834,,43186.0,,10611511.0,,871137.0,19.0,116477.0,436.0,85826548.0,867342.0,98953541.0,Asia,9.0,2291.0,1.0,,,8803.0
14.0,Australia,11210155,1262.0,17349.0,29.0,11052693.0,,140113.0,111.0,430022.0,666.0,78835048.0,3024116.0,26068792.0,Australia/Oceania,2.0,1503.0,0.0,48.0,1.0,5375.0
15.0,Argentina,10004679,,130249.0,,9698987.0,,175443.0,402.0,217445.0,2831.0,35716069.0,776264.0,46010234.0,South America,5.0,353.0,1.0,,,3813.0
16.0,Taiwan,9097554,25063.0,15608.0,26.0,8609082.0,19099.0,472864.0,,380833.0,653.0,29584266.0,1238426.0,23888595.0,Asia,3.0,1531.0,1.0,1049.0,1.0,19795.0
17.0,Netherlands,8574631,,22989.0,,8527964.0,642.0,23678.0,55.0,498193.0,1336.0,25984435.0,1509718.0,17211447.0,Europe,2.0,749.0,1.0,,,1376.0
18.0,Iran,7562060,,144710.0,,7336489.0,,80861.0,163.0,87908.0,1682.0,54420785.0,632632.0,86022837.0,Asia,11.0,594.0,2.0,,,940.0
19.0,Mexico,7283849,,331324.0,,6514345.0,,438180.0,4798.0,55364.0,2518.0,19152462.0,145577.0,131562772.0,North America,18.0,397.0,7.0,,,3331.0
20.0,Indonesia,6723812,,160694.0,,6555052.0,,8066.0,2771.0,24088.0,576.0,114158919.0,408975.0,279134505.0,Asia,42.0,1737.0,2.0,,,29.0
21.0,Poland,6371362,,118586.0,,5335940.0,,916836.0,1192.0,168823.0,3142.0,38023954.0,1007530.0,37739785.0,Europe,6.0,318.0,1.0,,,24294.0
22.0,Colombia,6349971,,142259.0,,6170360.0,,37352.0,342.0,123270.0,2762.0,36951507.0,717327.0,51512762.0,South America,8.0,362.0,1.0,,,725.0
23.0,Austria,5728141,,21490.0,,5675316.0,,31335.0,,631777.0,2370.0,204767733.0,22584568.0,9066710.0,Europe,2.0,422.0,0.0,,,3456.0
24.0,Portugal,5557941,,25805.0,,5524837.0,887.0,7299.0,61.0,548090.0,2545.0,45826501.0,4519125.0,10140570.0,Europe,2.0,393.0,0.0,,,720.0
25.0,Greece,5548487,,34779.0,,5513708.0,,0.0,115.0,537819.0,3371.0,102228365.0,9909078.0,10316637.0,Europe,2.0,297.0,0.0,,,
26.0,Ukraine,5361352,,110859.0,,5243256.0,622.0,7237.0,,124128.0,2567.0,32603805.0,754855.0,43192122.0,Europe,8.0,390.0,1.0,,,168.0
27.0,Chile,5069041,,63373.0,,4996054.0,,9614.0,113.0,263324.0,3292.0,47834745.0,2484897.0,19250195.0,South America,4.0,304.0,0.0,,,499.0
28.0,Malaysia,5030696,,36883.0,,4982399.0,,11414.0,28.0,151613.0,1112.0,67310035.0,2028567.0,33181072.0,Asia,7.0,900.0,0.0,,,344.0
29.0,DPRK,4772813,,74.0,,4772739.0,,0.0,,183636.0,3.0,,,25990679.0,Asia,5.0,351225.0,,,,
30.0,Israel,4771681,,12098.0,,4750133.0,,9450.0,57.0,511654.0,1297.0,41373364.0,4436346.0,9326000.0,Asia,2.0,771.0,0.0,,,1013.0
31.0,Thailand,4724916,,33727.0,,4690108.0,,1081.0,1496.0,67423.0,481.0,17270775.0,246450.0,70078203.0,Asia,15.0,2078.0,4.0,,,15.0
32.0,Belgium,4682234,,33395.0,,4617863.0,1608.0,30976.0,97.0,401279.0,2862.0,36436600.0,3122706.0,11668278.0,Europe,2.0,349.0,0.0,,,2655.0
33.0,Czechia,4583646,687.0,42220.0,4.0,4536834.0,525.0,4592.0,42.0,426911.0,3932.0,56821170.0,5292196.0,10736784.0,Europe,2.0,254.0,0.0,64.0,0.4,428.0
34.0,Canada,4508275,,49566.0,,4391273.0,,67436.0,99.0,117438.0,1291.0,66343123.0,1728207.0,38388419.0,North America,9.0,774.0,1.0,,,1757.0
35.0,Peru,4470192,,218413.0,,4232687.0,7038.0,19092.0,103.0,132709.0,6484.0,37481592.0,1112735.0,33684208.0,South America,8.0,154.0,1.0,,,567.0
36.0,Switzerland,4382359,,14388.0,,4333446.0,2286.0,34525.0,63.0,499492.0,1640.0,23292004.0,2654772.0,8773637.0,Europe,2.0,610.0,0.0,,,3935.0
37.0,Philippines,4068054,,65486.0,,3990301.0,,12267.0,162.0,36158.0,582.0,34092122.0,303017.0,112508994.0,Asia,28.0,1718.0,3.0,,,109.0
38.0,South Africa,4050288,,102568.0,,3912506.0,,35214.0,192.0,66665.0,1688.0,26473049.0,435726.0,60756135.0,Africa,15.0,592.0,2.0,,,580.0
39.0,Romania,3316192,,67460.0,,3237588.0,,11144.0,109.0,174249.0,3545.0,26158689.0,1374506.0,19031335.0,Europe,6.0,282.0,1.0,,,586.0
40.0,Denmark,3170606,,7931.0,,3154326.0,,8349.0,18.0,543382.0,1359.0,129073846.0,22120814.0,5834950.0,Europe,2.0,736.0,0.0,,,1431.0
41.0,Hong Kong,2781581,,12406.0,,2145570.0,,623605.0,55.0,365791.0,1631.0,75375235.0,9912187.0,7604299.0,Asia,3.0,613.0,0.0,,,82007.0
42.0,Sweden,2683356,,22110.0,,2622691.0,998.0,38555.0,43.0,262586.0,2164.0,19333094.0,1891883.0,10218971.0,Europe,4.0,462.0,1.0,,,3773.0
43.0,Iraq,2465545,,25375.0,,2439497.0,,673.0,21.0,58474.0,602.0,19544451.0,463523.0,42164965.0,Asia,17.0,1662.0,2.0,,,16.0
44.0,Serbia,2454074,,17568.0,,2420562.0,,15944.0,23.0,283609.0,2030.0,11943837.0,1380309.0,8653016.0,Europe,4.0,493.0,1.0,,,1843.0
45.0,Singapore,2208601,,1714.0,,2135307.0,,71580.0,2.0,371597.0,288.0,24755451.0,4165098.0,5943546.0,Asia,3.0,3468.0,0.0,,,12043.0
46.0,Hungary,2188737,,48546.0,,2127121.0,,13070.0,16.0,227845.0,5054.0,11394556.0,1186160.0,9606259.0,Europe,4.0,198.0,1.0,,,1361.0
47.0,New Zealand,2138754,,3621.0,,2114718.0,,20415.0,,436641.0,739.0,7710637.0,1574177.0,4898203.0,Australia/Oceania,2.0,1353.0,1.0,,,4168.0
48.0,Bangladesh,2037284,,29440.0,,1988714.0,,19130.0,1331.0,12135.0,175.0,15164808.0,90328.0,167885689.0,Asia,82.0,5703.0,11.0,,,114.0
49.0,Slovakia,1859705,,20849.0,,1837860.0,,996.0,28.0,340593.0,3818.0,7378128.0,1351258.0,5460193.0,Europe,3.0,262.0,1.0,,,182.0
50.0,Georgia,1809359,,16899.0,,1776548.0,,15912.0,,455903.0,4258.0,16920079.0,4263340.0,3968738.0,Asia,2.0,235.0,0.0,,,4009.0
51.0,Jordan,1746997,,14122.0,,1731007.0,,1868.0,59.0,169597.0,1371.0,17201885.0,1669945.0,10300869.0,Asia,6.0,729.0,1.0,,,181.0
52.0,Ireland,1693847,,8339.0,,1675380.0,,10128.0,36.0,337406.0,1661.0,12945996.0,2578781.0,5020199.0,Europe,3.0,602.0,0.0,,,2017.0
53.0,Pakistan,1575977,7.0,30639.0,,1538689.0,,6649.0,17.0,6867.0,134.0,30570862.0,133213.0,229488994.0,Asia,146.0,7490.0,8.0,0.03,,29.0
54.0,Norway,1476403,,4571.0,,1469277.0,,2555.0,20.0,267883.0,829.0,11002430.0,1996315.0,5511370.0,Europe,4.0,1206.0,1.0,,,464.0
55.0,Finland,1446397,,8263.0,,1424345.0,1313.0,13789.0,21.0,260379.0,1487.0,11984148.0,2157378.0,5554960.0,Europe,4.0,672.0,0.0,,,2482.0
56.0,Kazakhstan,1404329,120.0,13695.0,,1383020.0,,7614.0,24.0,73123.0,713.0,11575012.0,602707.0,19205043.0,Asia,14.0,1402.0,2.0,6.0,,396.0
57.0,Slovenia,1313870,,7025.0,,1293179.0,,13666.0,22.0,632266.0,3381.0,2811825.0,1353118.0,2078034.0,Europe,2.0,296.0,1.0,,,6576.0
58.0,Bulgaria,1293491,,38127.0,,1251272.0,,4092.0,39.0,188980.0,5570.0,10923604.0,1595946.0,6844597.0,Europe,5.0,180.0,1.0,,,598.0
59.0,Lithuania,1290948,,9502.0,,1274742.0,,6704.0,6.0,485007.0,3570.0,10326033.0,3879476.0,2661708.0,Europe,2.0,280.0,0.0,,,2519.0
60.0,Morocco,1271887,,16295.0,,1255295.0,,297.0,293.0,33672.0,431.0,12880221.0,340992.0,37772756.0,Africa,30.0,2318.0,3.0,,,8.0
61.0,Croatia,1265530,,17706.0,,1246409.0,,1415.0,31.0,311762.0,4362.0,5439839.0,1340097.0,4059286.0,Europe,3.0,229.0,1.0,,,349.0
62.0,Lebanon,1224084,,10755.0,,1087587.0,,125742.0,74.0,183113.0,1609.0,4795578.0,717380.0,6684849.0,Asia,5.0,622.0,1.0,,,18810.0
63.0,Guatemala,1211421,,20020.0,,1176430.0,,14971.0,5.0,65186.0,1077.0,6600087.0,355148.0,18584039.0,North America,15.0,928.0,3.0,,,806.0
64.0,Bolivia,1172105,,22320.0,,1120686.0,,29099.0,220.0,97735.0,1861.0,2705422.0,225590.0,11992656.0,South America,10.0,537.0,4.0,,,2426.0
