"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,TotalRecovered,"Serious,Critical"
China,80552,143.0,3042.0,30.0,23752,53758.0,5737.0
S. Korea,6284,,40.0,,6109,135.0,52.0
Italy,3858,,148.0,,3296,414.0,351.0
Iran,3513,,108.0,,2666,739.0,
Diamond Princess,696,,6.0,,478,212.0,35.0
Germany,545,,,,528,17.0,2.0
France,423,,7.0,,404,12.0,23.0
Japan,364,,6.0,,315,43.0,29.0
Spain,282,,3.0,,276,3.0,7.0
USA,226,5.0,13.0,1.0,204,9.0,8.0
Switzerland,120,,1.0,,116,3.0,
Singapore,117,,,,36,81.0,7.0
UK,116,,1.0,,97,18.0,
Hong Kong,105,,2.0,,66,37.0,6.0
Sweden,94,,,,93,1.0,
Norway,91,,,,91,,
Netherlands,82,,,,82,,1.0
Australia,60,,2.0,,36,22.0,1.0
Kuwait,58,,,,58,,
Bahrain,55,,,,51,4.0,
Malaysia,55,,,,33,22.0,
Belgium,50,,,,49,1.0,1.0
Thailand,47,,1.0,,15,31.0,1.0
Canada,46,9.0,,,38,8.0,1.0
Taiwan,44,,1.0,,31,12.0,
Austria,43,,,,41,2.0,1.0
Iraq,36,,3.0,,33,,
Iceland,35,,,,35,,
Greece,31,,,,31,,
India,30,,,,27,3.0,
UAE,28,,,,23,5.0,2.0
San Marino,21,,1.0,,20,,3.0
Denmark,20,,,,19,1.0,
Algeria,17,,,,17,,
Israel,17,,,,15,2.0,
Lebanon,16,,,,16,,1.0
Oman,16,,,,14,2.0,
Vietnam,16,,,,0,16.0,
Ecuador,13,,,,13,,1.0
Ireland,13,,,,13,,
Czechia,12,,,,12,,
Finland,12,,,,11,1.0,
Macao,10,,,,1,9.0,
Croatia,10,,,,10,,
Georgia,9,,,,9,,1.0
Portugal,9,,,,9,,
Brazil,8,,,,8,,
Qatar,8,,,,8,,
Palestine,7,,,,7,,
Azerbaijan,6,,,,6,,
Belarus,6,,,,6,,
Mexico,6,,,,5,1.0,
Romania,6,,,,5,1.0,
Slovenia,6,,,,6,,
Philippines,5,2.0,1.0,,2,2.0,
Estonia,5,,,,5,,
Pakistan,5,,,,5,,
Saudi Arabia,5,,,,4,1.0,
New Zealand,4,,,,4,,
Russia,4,,,,2,2.0,
Senegal,4,,,,4,,
Chile,4,,,,4,,
Hungary,4,,,,4,,
Egypt,3,,,,2,1.0,
Indonesia,2,,,,2,,
Luxembourg,2,,,,2,,
Morocco,2,,,,2,,1.0
Argentina,2,,,,2,,
Bosnia and Herzegovina,2,,,,2,,
Afghanistan,1,,,,1,,
Andorra,1,,,,1,,
Armenia,1,,,,1,,
Cambodia,1,,,,0,1.0,
Dominican Republic,1,,,,1,,
Jordan,1,,,,1,,
Latvia,1,,,,0,1.0,
Lithuania,1,,,,1,,
North Macedonia,1,,,,1,,
Monaco,1,,,,1,,
Nepal,1,,,,0,1.0,
Nigeria,1,,,,1,,
Sri Lanka,1,,,,0,1.0,
Tunisia,1,,,,1,,
Ukraine,1,,,,1,,
Bhutan,1,1.0,,,1,,
Costa Rica,1,,,,1,,
Gibraltar,1,,,,1,,
Liechtenstein,1,,,,1,,
Poland,1,,,,1,,
South Africa,1,,,,1,,
Total:,98424,160.0,3386.0,31.0,39403,55635.0,6272.0
