"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop
World,3064255,1247.0,211537.0,90.0,922387.0,1930331,56300.0,393.0,27.1,,
USA,1010356,,56797.0,,138990.0,814569,14186.0,3052.0,172.0,5696928.0,17211.0
Spain,229422,,23521.0,,120832.0,85069,7764.0,4907.0,503.0,1345560.0,28779.0
Italy,199414,,26977.0,,66624.0,105813,1956.0,3298.0,446.0,1789662.0,29600.0
France,165842,,23293.0,,45513.0,97036,4608.0,2541.0,357.0,463662.0,7103.0
Germany,158758,,6126.0,,114500.0,38132,2409.0,1895.0,73.0,2072669.0,24738.0
UK,157149,,21092.0,,,135713,1559.0,2315.0,311.0,719910.0,10605.0
Turkey,112261,,2900.0,,33791.0,75570,1736.0,1331.0,34.0,918885.0,10895.0
Iran,91472,,5806.0,,70933.0,14733,3011.0,1089.0,69.0,432329.0,5147.0
Russia,87147,,794.0,,7346.0,79007,2300.0,597.0,5.0,3019434.0,20690.0
Brazil,66501,,4543.0,,31142.0,30816,8318.0,313.0,21.0,339552.0,1597.0
Canada,48500,,2707.0,,18268.0,27525,557.0,1285.0,72.0,717451.0,19009.0
Belgium,46687,,7207.0,,10878.0,28602,903.0,4028.0,622.0,214042.0,18468.0
Netherlands,38245,,4518.0,,,33477,905.0,2232.0,264.0,193950.0,11319.0
India,29451,,939.0,,7137.0,21375,,21.0,0.7,665819.0,482.0
Switzerland,29164,,1665.0,,22200.0,5299,185.0,3370.0,192.0,245300.0,28343.0
Peru,28699,,782.0,,8425.0,19492,598.0,870.0,24.0,239563.0,7266.0
Portugal,24027,,928.0,,1357.0,21742,176.0,2356.0,91.0,360155.0,35321.0
Ecuador,23240,,663.0,,1557.0,21020,146.0,1317.0,38.0,61529.0,3487.0
Ireland,19648,,1102.0,,9233.0,9313,146.0,3979.0,223.0,127319.0,25785.0
Sweden,18926,,2274.0,,1005.0,15647,399.0,1874.0,225.0,94500.0,9357.0
Saudi Arabia,18811,,144.0,,2531.0,16136,117.0,540.0,4.0,200000.0,5745.0
Israel,15555,,204.0,,7200.0,8151,129.0,1797.0,24.0,302691.0,34971.0
Mexico,15529,852.0,1434.0,83.0,9086.0,5009,378.0,120.0,11.0,71103.0,551.0
Austria,15274,,549.0,,12362.0,2363,140.0,1696.0,61.0,232537.0,25819.0
Singapore,14423,,14.0,,1095.0,13314,20.0,2465.0,2.0,121774.0,20815.0
Japan,14153,,385.0,,1899.0,11869,300.0,112.0,3.0,150692.0,1191.0
Pakistan,13915,,292.0,,3029.0,10594,111.0,63.0,1.0,150756.0,682.0
Chile,13813,,198.0,,7327.0,6288,426.0,723.0,10.0,161235.0,8434.0
Poland,11902,,562.0,,2466.0,8874,160.0,314.0,15.0,297859.0,7870.0
Romania,11339,,641.0,,3141.0,7557,227.0,589.0,33.0,143834.0,7477.0
