"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,TotalRecovered,"Serious,Critical"
China,80430,160.0,3013.0,32.0,25185,52232.0,5952.0
S. Korea,6088,467.0,40.0,5.0,5913,135.0,52.0
Iran,3513,591.0,107.0,15.0,2667,739.0,
Italy,3089,,107.0,,2706,276.0,295.0
Diamond Princess,706,,6.0,,488,212.0,35.0
Germany,349,87.0,,,333,16.0,2.0
Japan,331,,6.0,,282,43.0,29.0
France,285,,4.0,,269,12.0,15.0
Spain,248,20.0,3.0,1.0,243,2.0,7.0
USA,160,2.0,11.0,,140,9.0,8.0
Singapore,117,5.0,,,36,81.0,7.0
Hong Kong,105,2.0,2.0,,66,37.0,6.0
Switzerland,93,,1.0,1.0,89,3.0,
U.K.,90,3.0,,,82,8.0,
Norway,72,13.0,,,72,,
Sweden,60,8.0,,,59,1.0,
Kuwait,58,2.0,,,58,,
Bahrain,55,3.0,,,51,4.0,
Malaysia,55,5.0,,,33,22.0,
Australia,52,,2.0,,29,21.0,1.0
Belgium,50,27.0,,,49,1.0,1.0
Thailand,47,4.0,1.0,,15,31.0,1.0
Taiwan,44,2.0,1.0,,31,12.0,
Netherlands,38,,,,38,,1.0
Austria,37,8.0,,,37,,
Iraq,35,,2.0,,33,,
Canada,35,1.0,,,28,7.0,1.0
Iceland,34,8.0,,,33,1.0,
Greece,31,22.0,,,31,,
India,30,1.0,,,27,3.0,
U.A.E.,28,,,,23,5.0,2.0
Algeria,17,,,,17,,
San Marino,16,,1.0,,15,,3.0
Vietnam,16,,,,0,16.0,
Denmark,15,,,,15,,
Israel,15,,,,13,2.0,
Lebanon,15,,,,15,,1.0
Oman,15,,,,13,2.0,
Finland,12,5.0,,,11,1.0,
Macao,10,,,,1,9.0,
Croatia,10,,,,10,,
Ecuador,10,,,,10,,1.0
Czechia,8,,,,8,,
Portugal,8,2.0,,,8,,
Qatar,8,,,,8,,
Azerbaijan,6,3.0,,,6,,
Belarus,6,,,,6,,
Ireland,6,,,,6,,
Mexico,6,,,,5,1.0,
Romania,6,,,,5,1.0,
Pakistan,5,,,,5,,
Saudi Arabia,5,3.0,,,5,,
Georgia,4,1.0,,,4,,1.0
Russia,4,1.0,,,2,2.0,
Senegal,4,,,,4,,
State of Palestine,4,4.0,,,4,,
Philippines,3,,1.0,,0,2.0,
Brazil,3,,,,3,,
Egypt,3,1.0,,,2,1.0,
Estonia,3,1.0,,,3,,
New Zealand,3,,,,3,,
Chile,3,,,,3,,
Indonesia,2,,,,2,,
Morocco,2,1.0,,,2,,
Bosnia and Herzegovina,2,2.0,,,2,,
Hungary,2,,,,2,,
Slovenia,2,1.0,,,2,,
Afghanistan,1,,,,1,,
Andorra,1,,,,1,,
Armenia,1,,,,1,,
Cambodia,1,,,,0,1.0,
Dominican Republic,1,,,,1,,
Jordan,1,,,,1,,
Latvia,1,,,,1,,
Lithuania,1,,,,1,,
Luxembourg,1,,,,1,,
North Macedonia,1,,,,1,,
Monaco,1,,,,1,,
Nepal,1,,,,0,1.0,
Nigeria,1,,,,1,,
Sri Lanka,1,,,,0,1.0,
Tunisia,1,,,,1,,
Ukraine,1,,,,1,,
Argentina,1,,,,1,,
Liechtenstein,1,,,,1,,
Poland,1,,,,1,,
South Africa,1,1.0,,,1,,
Total:,96644,1467.0,3308.0,54.0,39383,53953.0,6421.0
