#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,North America,7360829,5145.0,271416.0,285.0,4242340.0,5207.0,2847073.0,19988.0,,,,,,North America,,,
,South America,6318385,630.0,202579.0,61.0,4928156.0,1911.0,1187650.0,15228.0,,,,,,South America,,,
,Asia,7104850,18711.0,142805.0,323.0,5697854.0,13431.0,1264191.0,18817.0,,,,,,Asia,,,
,Europe,3591271,9301.0,207989.0,254.0,2082241.0,8869.0,1301041.0,5820.0,,,,,,Europe,,,
,Africa,1257381,65.0,29862.0,,987599.0,201.0,239920.0,1270.0,,,,,,Africa,,,
,Oceania,28654,87.0,686.0,5.0,23584.0,166.0,4384.0,39.0,,,,,,Australia/Oceania,,,
,,721,,15.0,,651.0,,55.0,4.0,,,,,,,,,
,World,25662091,33939.0,855352.0,928.0,17962425.0,29785.0,6844314.0,61166.0,3292.0,109.7,,,,All,,,
1.0,USA,6212174,378.0,187742.0,6.0,3456859.0,596.0,2567573.0,15864.0,18749.0,567.0,82626645.0,249378.0,331330464.0,North America,53.0,1765.0,4.0
2.0,Brazil,3910901,,121515.0,,3097734.0,,691652.0,8318.0,18377.0,571.0,14352484.0,67442.0,212813742.0,South America,54.0,1751.0,15.0
3.0,India,3694878,6939.0,65469.0,34.0,2840040.0,2663.0,789369.0,8944.0,2673.0,47.0,43324834.0,31343.0,1382271004.0,Asia,374.0,21113.0,32.0
4.0,Russia,1000048,4729.0,17299.0,123.0,815705.0,6318.0,167044.0,2300.0,6852.0,119.0,36900000.0,252835.0,145945183.0,Europe,146.0,8437.0,4.0
5.0,Peru,652037,,28944.0,,462329.0,,160764.0,1512.0,19730.0,876.0,3215842.0,97309.0,33047700.0,South America,51.0,1142.0,10.0
6.0,South Africa,627041,,14149.0,,540923.0,,71969.0,539.0,10550.0,238.0,3693721.0,62150.0,59432639.0,Africa,95.0,4200.0,16.0
7.0,Colombia,615168,,19663.0,,459475.0,,136030.0,1493.0,12068.0,386.0,2746217.0,53876.0,50973286.0,South America,83.0,2592.0,19.0
8.0,Mexico,599560,3719.0,64414.0,256.0,416738.0,4158.0,118408.0,3086.0,4642.0,499.0,1345483.0,10417.0,129158631.0,North America,215.0,2005.0,96.0
9.0,Spain,462858,,29094.0,,,,,846.0,9899.0,622.0,9210337.0,196979.0,46757881.0,Europe,101.0,1607.0,5.0
10.0,Argentina,417735,,8660.0,,301195.0,,107880.0,2273.0,9229.0,191.0,1257906.0,27790.0,45265185.0,South America,108.0,5227.0,36.0
11.0,Chile,411726,,11289.0,,383879.0,,16558.0,969.0,21507.0,590.0,2432436.0,127062.0,19143709.0,South America,46.0,1696.0,8.0
12.0,Iran,376894,1682.0,21672.0,101.0,325124.0,1891.0,30098.0,3709.0,4478.0,257.0,3256122.0,38685.0,84171055.0,Asia,223.0,3884.0,26.0
13.0,UK,335873,,41501.0,,,,,60.0,4943.0,611.0,16273209.0,239501.0,67946337.0,Europe,202.0,1637.0,4.0
14.0,Saudi Arabia,315772,,3897.0,,290796.0,,21079.0,1552.0,9047.0,112.0,5026127.0,144003.0,34902978.0,Asia,111.0,8956.0,7.0
15.0,Bangladesh,314946,1950.0,4316.0,35.0,208177.0,3290.0,102453.0,,1909.0,26.0,1562412.0,9471.0,164963389.0,Asia,524.0,38221.0,106.0
16.0,Pakistan,296149,300.0,6298.0,4.0,280970.0,288.0,8881.0,589.0,1336.0,28.0,2642028.0,11923.0,221589309.0,Asia,748.0,35184.0,84.0
17.0,France,281025,,30635.0,,86469.0,,163921.0,409.0,4304.0,469.0,6461460.0,98953.0,65298143.0,Europe,232.0,2131.0,10.0
18.0,Turkey,270133,,6370.0,,244926.0,,18837.0,961.0,3197.0,75.0,7138492.0,84489.0,84490286.0,Asia,313.0,13264.0,12.0
