#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
34.0,Morocco,461390,,8011.0,,436626.0,,16753.0,511.0,12419.0,216.0,5211258.0,140270.0,37151731.0,Africa,81.0,4638.0,7.0
35.0,Austria,396425,,7199.0,,373090.0,,16136.0,332.0,43877.0,797.0,4079164.0,451493.0,9034840.0,Europe,23.0,1255.0,2.0
36.0,Serbia,375799,,3791.0,,31536.0,,340472.0,171.0,43107.0,435.0,2496125.0,286326.0,8717777.0,Europe,23.0,2300.0,3.0
37.0,Saudi Arabia,365325,,6335.0,,357004.0,,1986.0,327.0,10405.0,180.0,11713996.0,333618.0,35111990.0,Asia,96.0,5543.0,3.0
38.0,Hungary,353276,,11520.0,,231915.0,,109841.0,309.0,36621.0,1194.0,2968743.0,307747.0,9646706.0,Europe,27.0,837.0,3.0
39.0,Japan,334328,,4548.0,,257719.0,,72061.0,1001.0,2648.0,36.0,5945692.0,47090.0,126261027.0,Asia,378.0,27762.0,21.0
40.0,Jordan,316427,,4170.0,,301893.0,,10364.0,154.0,30844.0,406.0,3616235.0,352492.0,10259043.0,Asia,32.0,2460.0,3.0
41.0,Panama,301534,,4864.0,,243157.0,,53513.0,241.0,69285.0,1118.0,1550101.0,356172.0,4352110.0,North America,14.0,895.0,3.0
42.0,Nepal,267992,,1969.0,,262259.0,,3764.0,,9108.0,67.0,2021714.0,68709.0,29424478.0,Asia,110.0,14944.0,15.0
43.0,Lebanon,260315,,2020.0,,156084.0,,102211.0,689.0,38234.0,297.0,2404889.0,353223.0,6808424.0,Asia,26.0,3371.0,3.0
44.0,UAE,260223,,756.0,,231675.0,,27792.0,,26137.0,76.0,23706842.0,2381098.0,9956266.0,Asia,38.0,13170.0,0.0
45.0,Georgia,249934,469.0,2987.0,14.0,236922.0,1792.0,10025.0,,62720.0,750.0,2032580.0,510069.0,3984909.0,Asia,16.0,1334.0,2.0
46.0,Ecuador,232568,,14382.0,,199332.0,,18854.0,518.0,13073.0,808.0,816869.0,45916.0,17790404.0,South America,76.0,1237.0,22.0
47.0,Belarus,228716,,1601.0,,212074.0,,15041.0,,24209.0,169.0,4280314.0,453059.0,9447596.0,Europe,41.0,5901.0,2.0
48.0,Azerbaijan,227696,,3032.0,,216720.0,,7944.0,,22346.0,298.0,2328507.0,228517.0,10189651.0,Asia,45.0,3361.0,4.0
49.0,Slovakia,226294,,3637.0,,173761.0,,48896.0,538.0,41437.0,666.0,1622598.0,297119.0,5461110.0,Europe,24.0,1502.0,3.0
50.0,Croatia,225648,,4684.0,,217880.0,,3084.0,149.0,55155.0,1145.0,1127153.0,275510.0,4091155.0,Europe,18.0,873.0,4.0
51.0,Bulgaria,212927,,8614.0,,170498.0,,33815.0,318.0,30773.0,1245.0,1285526.0,185789.0,6919266.0,Europe,32.0,803.0,5.0
52.0,Dominican Republic,196591,,2461.0,,145115.0,,49015.0,336.0,18023.0,226.0,966545.0,88609.0,10907950.0,North America,55.0,4432.0,11.0
53.0,Bolivia,191090,2357.0,9722.0,42.0,145537.0,1310.0,35831.0,71.0,16248.0,827.0,492639.0,41889.0,11760691.0,South America,62.0,1210.0,24.0
54.0,Denmark,190619,,1837.0,,172456.0,,16326.0,132.0,32845.0,317.0,12090669.0,2083338.0,5803507.0,Europe,30.0,3159.0,0.0
55.0,Costa Rica,186877,,2477.0,,144030.0,,40370.0,236.0,36501.0,484.0,555839.0,108566.0,5119807.0,North America,27.0,2067.0,9.0
56.0,Tunisia,184483,,5844.0,,132983.0,,45656.0,381.0,15520.0,492.0,771774.0,64927.0,11886854.0,Africa,64.0,2034.0,15.0
