"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
China,80790,12.0,3158.0,,61617.0,16015,4492.0,56.1
Italy,12462,2313.0,827.0,196.0,1045.0,10590,1028.0,206.1
Iran,9000,958.0,354.0,63.0,2959.0,5687,,107.2
S. Korea,7755,242.0,60.0,,288.0,7407,54.0,151.3
France,2281,497.0,48.0,15.0,12.0,2221,105.0,34.9
Spain,2277,582.0,55.0,19.0,183.0,2039,126.0,48.7
Germany,1908,343.0,3.0,1.0,25.0,1880,9.0,22.8
USA,1301,307.0,38.0,8.0,15.0,1248,10.0,3.9
Diamond Princess,696,,7.0,,325.0,364,32.0,
Switzerland,652,155.0,4.0,1.0,4.0,644,,75.3
Japan,639,52.0,15.0,3.0,118.0,506,26.0,5.1
Norway,629,229.0,,,1.0,628,,116.0
Denmark,514,252.0,,,1.0,513,,88.7
Netherlands,503,121.0,5.0,1.0,,498,1.0,29.4
Sweden,500,145.0,1.0,1.0,1.0,498,2.0,49.5
UK,456,73.0,8.0,2.0,18.0,430,,6.7
Belgium,314,47.0,3.0,3.0,1.0,310,2.0,27.1
Qatar,262,238.0,,,,262,,90.9
Austria,246,64.0,,,4.0,242,1.0,27.3
Bahrain,195,85.0,,,35.0,160,1.0,114.6
Singapore,178,12.0,,,96.0,82,12.0,30.4
Malaysia,149,20.0,,,26.0,123,2.0,4.6
Australia,127,11.0,3.0,,24.0,100,1.0,5.0
Hong Kong,126,5.0,3.0,,60.0,63,6.0,16.8
Canada,102,7.0,1.0,,9.0,92,1.0,2.7
Greece,99,10.0,,,,99,2.0,9.5
Israel,97,22.0,,,4.0,93,2.0,11.2
Czechia,94,31.0,,,,94,,8.8
Iceland,85,4.0,,,1.0,84,,
UAE,74,,,,17.0,57,2.0,7.5
Kuwait,72,3.0,,,2.0,70,3.0,16.9
Iraq,71,,7.0,,15.0,49,,1.8
San Marino,62,,2.0,,,60,5.0,
India,62,,,,4.0,58,,
Lebanon,61,9.0,2.0,1.0,1.0,58,3.0,8.9
Egypt,60,1.0,1.0,,27.0,32,,0.6
Thailand,59,6.0,1.0,,34.0,24,1.0,0.8
Finland,59,19.0,,,1.0,58,,10.6
Portugal,59,18.0,,,,59,1.0,5.8
Slovenia,57,23.0,,,,57,,27.4
Brazil,52,18.0,,,,52,2.0,0.2
Philippines,49,16.0,2.0,1.0,2.0,45,1.0,0.4
Taiwan,48,1.0,1.0,,17.0,30,,2.0
Romania,47,18.0,,,6.0,41,,2.4
Saudi Arabia,45,25.0,,,1.0,44,,1.3
Ireland,43,9.0,1.0,1.0,,42,,8.7
Vietnam,38,4.0,,,16.0,22,,0.4
Indonesia,34,7.0,1.0,1.0,2.0,31,,0.1
Poland,31,9.0,,,,31,3.0,0.8
Palestine,30,1.0,,,,30,,5.9
Georgia,24,1.0,,,,24,1.0,6.0
Chile,23,6.0,,,,23,,1.2
Algeria,20,,,,,20,,0.5
Russia,20,,,,3.0,17,,0.1
Argentina,19,,1.0,,,18,1.0,0.4
Croatia,19,4.0,,,,19,,4.6
Pakistan,19,,,,2.0,17,,0.1
Oman,18,,,,9.0,9,,3.5
Ecuador,17,,,,,17,1.0,1.0
Estonia,16,3.0,,,,16,,12.1
Albania,15,5.0,1.0,1.0,,14,,5.2
Costa Rica,13,,,,,13,1.0,2.6
Hungary,13,1.0,,,,13,,1.3
Peru,13,2.0,,,,13,,0.4
South Africa,13,6.0,,,,13,,0.2
Serbia,12,7.0,,,,12,,1.4
Azerbaijan,11,,,,3.0,8,,1.1
Brunei,11,5.0,,,,11,,
Macao,10,,,,10.0,0,,
Latvia,10,2.0,,,1.0,9,,5.3
