#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,North America,66192336,212494.0,1245595.0,448.0,50313179.0,24913.0,14633562.0,24049.0,,,,,,North America,,,,,,
,Asia,84786828,118899.0,1255525.0,743.0,81942126.0,59024.0,1589177.0,27532.0,,,,,,Asia,,,,,,
,South America,39858710,39940.0,1192210.0,115.0,37660914.0,19579.0,1005586.0,12831.0,,,,,,South America,,,,,,
,Europe,88377724,739926.0,1529803.0,2374.0,75077708.0,300337.0,11770213.0,22316.0,,,,,,Europe,,,,,,
,Africa,9851071,38478.0,229207.0,177.0,8719468.0,21764.0,902396.0,2146.0,,,,,,Africa,,,,,,
,Oceania,594928,35589.0,4518.0,15.0,401340.0,18.0,189070.0,170.0,,,,,,Australia/Oceania,,,,,,
,,721,,15.0,,706.0,,0.0,0.0,,,,,,,,,,,,
,World,289662318,1185326.0,5456873.0,3872.0,254115441.0,425635.0,30090004.0,89044.0,37161.0,700.1,,,,All,,,,,,
1.0,USA,55864519,161398.0,847162.0,257.0,41518472.0,15733.0,13498885.0,18323.0,167302.0,2537.0,813220219.0,2435421.0,333913610.0,North America,6.0,394.0,0.0,483.0,0.8,40426.0
2.0,India,34887983,26404.0,481519.0,33.0,34275312.0,8949.0,131152.0,8944.0,24914.0,344.0,677878255.0,484079.0,1400346673.0,Asia,40.0,2908.0,2.0,19.0,0.02,94.0
3.0,Brazil,22291507,3986.0,619139.0,30.0,21567845.0,,104523.0,8318.0,103766.0,2882.0,63776166.0,296875.0,214825277.0,South America,10.0,347.0,3.0,19.0,0.1,487.0
4.0,UK,13100458,162572.0,148778.0,154.0,10365262.0,50536.0,2586418.0,868.0,191469.0,2174.0,404382130.0,5910218.0,68420844.0,Europe,5.0,460.0,0.0,2376.0,2.0,37802.0
