#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,North America,7516439,6668.0,277011.0,551.0,4386846.0,5812.0,2852582.0,19116.0,,,,,,North America,,,
,South America,6547061,853.0,208468.0,85.0,5171622.0,1810.0,1166971.0,15305.0,,,,,,South America,,,
,Asia,7415023,5743.0,147353.0,19.0,5951837.0,5057.0,1315833.0,18955.0,,,,,,Asia,,,
,Europe,3686776,3815.0,209010.0,53.0,2113031.0,37.0,1364735.0,5923.0,,,,,,Europe,,,
,Africa,1281149,,30667.0,,1017753.0,,232729.0,1445.0,,,,,,Africa,,,
,Oceania,29048,92.0,766.0,59.0,24413.0,265.0,3869.0,38.0,,,,,,Australia/Oceania,,,
,,721,,15.0,,651.0,,55.0,4.0,,,,,,,,,
,World,26476217,17171.0,873290.0,767.0,18666153.0,12981.0,6936774.0,60786.0,3397.0,112.0,,,,All,,,
1.0,USA,6335244,,191058.0,,3575096.0,,2569090.0,15042.0,19120.0,577.0,84881529.0,256172.0,331346344.0,North America,52.0,1734.0,4.0
2.0,Brazil,4046150,,124729.0,,3247610.0,,673811.0,8318.0,19012.0,586.0,14408116.0,67699.0,212826108.0,South America,53.0,1706.0,15.0
3.0,India,3936747,3623.0,68569.0,,3037151.0,2264.0,831027.0,8944.0,2848.0,50.0,46679145.0,33767.0,1382382125.0,Asia,351.0,20160.0,30.0
4.0,Russia,1009995,,17528.0,,826935.0,,165532.0,2300.0,6920.0,120.0,37484146.0,256836.0,145945695.0,Europe,145.0,8326.0,4.0
5.0,Peru,670145,,29405.0,,489886.0,,150854.0,1506.0,20276.0,890.0,3286526.0,99437.0,33051466.0,South America,49.0,1124.0,10.0
6.0,Colombia,641574,,20618.0,,489151.0,,131805.0,1493.0,12585.0,404.0,2844145.0,55792.0,50977729.0,South America,79.0,2472.0,18.0
7.0,South Africa,633015,,14563.0,,554887.0,,63565.0,539.0,10650.0,245.0,3747101.0,63041.0,59438768.0,Africa,94.0,4081.0,16.0
8.0,Mexico,616894,5937.0,66329.0,513.0,430287.0,5297.0,120278.0,3061.0,4776.0,514.0,1393033.0,10785.0,129169727.0,North America,209.0,1947.0,93.0
9.0,Spain,488513,,29234.0,,,,,930.0,10448.0,625.0,9210337.0,196979.0,46758029.0,Europe,96.0,1599.0,5.0
10.0,Argentina,451198,,9361.0,,322461.0,,119376.0,2394.0,9967.0,207.0,1324687.0,29263.0,45268581.0,South America,100.0,4836.0,34.0
11.0,Chile,416501,,11422.0,,389409.0,,15670.0,940.0,21755.0,597.0,2508750.0,131039.0,19145053.0,South America,46.0,1676.0,8.0
12.0,Iran,380746,,21926.0,,328595.0,,30225.0,3702.0,4523.0,260.0,3307383.0,39289.0,84179866.0,Asia,221.0,3839.0,25.0
13.0,UK,340411,,41527.0,,,,,80.0,5010.0,611.0,17619897.0,259310.0,67949254.0,Europe,200.0,1636.0,4.0
14.0,Bangladesh,319686,,4383.0,,213980.0,,101323.0,,1938.0,27.0,1592038.0,9650.0,164976828.0,Asia,516.0,37640.0,104.0
15.0,Saudi Arabia,318319,,3982.0,,293964.0,,20373.0,1495.0,9119.0,114.0,5261814.0,150736.0,34907425.0,Asia,110.0,8766.0,7.0
16.0,France,300181,,30706.0,,87206.0,,182269.0,464.0,4597.0,470.0,7500000.0,114856.0,65299323.0,Europe,218.0,2127.0,9.0
17.0,Pakistan,297512,498.0,6335.0,7.0,282268.0,343.0,8909.0,595.0,1342.0,29.0,2707470.0,12216.0,221624524.0,Asia,745.0,34984.0,82.0
18.0,Turkey,274943,,6511.0,,248087.0,,20345.0,1041.0,3254.0,77.0,7466087.0,88358.0,84497721.0,Asia,307.0,12978.0,11.0
19.0,Italy,272912,,35507.0,,208490.0,,28915.0,120.0,4515.0,587.0,8921658.0,147598.0,60445793.0,Europe,221.0,1702.0,7.0
20.0,Germany,248814,,9399.0,,224600.0,,14815.0,223.0,2968.0,112.0,12383035.0,147713.0,83831702.0,Europe,337.0,8919.0,7.0
21.0,Iraq,247039,,7275.0,,187757.0,,52007.0,496.0,6119.0,180.0,1670483.0,41374.0,40375243.0,Asia,163.0,5550.0,24.0
22.0,Philippines,228403,,3688.0,,159475.0,,65240.0,922.0,2080.0,34.0,2705817.0,24635.0,109834310.0,Asia,481.0,29782.0,41.0
23.0,Indonesia,184268,,7750.0,,132055.0,,44463.0,,672.0,28.0,2338865.0,8535.0,274029502.0,Asia,1487.0,35359.0,117.0
24.0,Ukraine,130951,2723.0,2761.0,51.0,59676.0,,68514.0,177.0,2998.0,63.0,1621697.0,37122.0,43685863.0,Europe,334.0,15822.0,27.0
25.0,Canada,130493,,9141.0,,115444.0,,5908.0,55.0,3452.0,242.0,5638703.0,149171.0,37800310.0,North America,290.0,4135.0,7.0
26.0,Israel,125260,805.0,985.0,,99478.0,833.0,24797.0,418.0,13619.0,107.0,2388574.0,259696.0,9197590.0,Asia,73.0,9338.0,4.0
27.0,Qatar,119420,,201.0,,116313.0,,2906.0,58.0,42531.0,72.0,644904.0,229683.0,2807805.0,Asia,24.0,13969.0,4.0
28.0,Bolivia,118781,853.0,5288.0,85.0,65884.0,1810.0,47609.0,71.0,10152.0,452.0,248500.0,21238.0,11700642.0,South America,99.0,2213.0,47.0
29.0,Ecuador,116360,,6648.0,,102051.0,,7661.0,355.0,6578.0,376.0,340207.0,19232.0,17689332.0,South America,152.0,2661.0,52.0
30.0,Kazakhstan,106121,89.0,1588.0,,98585.0,618.0,5948.0,221.0,5640.0,84.0,2434444.0,129383.0,18815845.0,Asia,177.0,11849.0,8.0
31.0,Egypt,99425,,5479.0,,75415.0,,18531.0,41.0,968.0,53.0,135000.0,1315.0,102664408.0,Africa,1033.0,18738.0,760.0
32.0,Dominican Republic,96629,,1801.0,,70871.0,,23957.0,199.0,8892.0,166.0,379929.0,34962.0,10866964.0,North America,112.0,6034.0,29.0
33.0,Panama,94914,,2046.0,,68198.0,,24670.0,167.0,21938.0,473.0,350669.0,81052.0,4326482.0,North America,46.0,2115.0,12.0
34.0,Romania,91256,,3765.0,,39275.0,,48216.0,503.0,4749.0,196.0,1876063.0,97639.0,19214259.0,Europe,211.0,5103.0,10.0
35.0,Kuwait,87378,,536.0,,78791.0,,8051.0,93.0,20408.0,125.0,631482.0,147491.0,4281493.0,Asia,49.0,7988.0,7.0
36.0,Belgium,86544,633.0,9899.0,1.0,18513.0,23.0,58132.0,58.0,7462.0,853.0,2364713.0,203879.0,11598589.0,Europe,134.0,1172.0,5.0
37.0,Oman,86380,,705.0,,81828.0,,3847.0,144.0,16843.0,137.0,309212.0,60294.0,5128414.0,Asia,59.0,7274.0,17.0
38.0,Sweden,84729,,5832.0,,,,,14.0,8380.0,577.0,1094856.0,108290.0,10110405.0,Europe,119.0,1734.0,9.0
39.0,Guatemala,76358,,2804.0,,64399.0,,9155.0,5.0,4249.0,156.0,252958.0,14075.0,17972288.0,North America,235.0,6410.0,71.0
40.0,Netherlands,72464,,6235.0,,,,,43.0,4227.0,364.0,1455274.0,84897.0,17141648.0,Europe,237.0,2749.0,12.0
41.0,Belarus,72302,,696.0,,71205.0,,401.0,,7652.0,74.0,1554129.0,164480.0,9448764.0,Europe,131.0,13576.0,6.0
42.0,UAE,72154,,387.0,,62668.0,,9099.0,,7280.0,39.0,7324874.0,739049.0,9911219.0,Asia,137.0,25610.0,1.0
43.0,Japan,69599,,1319.0,,59524.0,,8756.0,218.0,551.0,10.0,1536221.0,12153.0,126406369.0,Asia,1816.0,95835.0,82.0
44.0,Poland,69129,,2092.0,,48593.0,,18444.0,81.0,1827.0,55.0,2777601.0,73405.0,37839143.0,Europe,547.0,18088.0,14.0
45.0,Morocco,66855,,1253.0,,51223.0,,14379.0,193.0,1808.0,34.0,2001124.0,54104.0,36986819.0,Africa,553.0,29519.0,18.0
46.0,Honduras,63158,632.0,1954.0,30.0,11618.0,471.0,49586.0,34.0,6359.0,197.0,150142.0,15117.0,9931764.0,North America,157.0,5083.0,66.0
47.0,Portugal,59051,,1829.0,,42427.0,,14795.0,44.0,5794.0,179.0,2058544.0,201990.0,10191329.0,Europe,173.0,5572.0,5.0
48.0,Singapore,56908,,27.0,,56028.0,,853.0,,9714.0,5.0,2068284.0,353043.0,5858447.0,Asia,103.0,216980.0,3.0
49.0,Ethiopia,55213,,856.0,,20283.0,,34074.0,344.0,478.0,7.0,970591.0,8408.0,115442248.0,Africa,2091.0,134862.0,119.0
50.0,Nigeria,54588,,1048.0,,42627.0,,10913.0,7.0,264.0,5.0,413265.0,1996.0,206998349.0,Africa,3792.0,197518.0,501.0
51.0,Bahrain,53433,,190.0,,50013.0,,3230.0,39.0,31225.0,111.0,1140563.0,666521.0,1711219.0,Asia,32.0,9006.0,2.0
52.0,Venezuela,49877,,402.0,,40574.0,,8901.0,101.0,1755.0,14.0,1789371.0,62959.0,28421362.0,South America,570.0,70700.0,16.0
53.0,Algeria,45469,,1529.0,,32006.0,,11934.0,44.0,1034.0,35.0,,,43986735.0,Africa,967.0,28768.0,
54.0,Ghana,44713,,280.0,,43577.0,,856.0,6.0,1434.0,9.0,445653.0,14291.0,31183204.0,Africa,697.0,111369.0,70.0
55.0,Armenia,44461,190.0,891.0,4.0,39257.0,402.0,4313.0,,14999.0,301.0,213644.0,72074.0,2964234.0,Asia,67.0,3327.0,14.0
56.0,Costa Rica,44458,,460.0,,17855.0,,26143.0,161.0,8713.0,90.0,156466.0,30666.0,5102285.0,North America,115.0,11092.0,33.0
57.0,Kyrgyzstan,44199,64.0,1060.0,1.0,39389.0,215.0,3750.0,24.0,6755.0,162.0,267718.0,40918.0,6542721.0,Asia,148.0,6172.0,24.0
58.0,Switzerland,43127,,2013.0,,36500.0,,4614.0,12.0,4977.0,232.0,1054652.0,121703.0,8665787.0,Europe,201.0,4305.0,8.0
59.0,Uzbekistan,42903,215.0,336.0,5.0,40176.0,95.0,2391.0,181.0,1279.0,10.0,1377915.0,41067.0,33553150.0,Asia,782.0,99861.0,24.0
60.0,Nepal,42877,,257.0,,24207.0,,18413.0,,1467.0,9.0,731852.0,25041.0,29226630.0,Asia,682.0,113722.0,40.0
61.0,Moldova,38372,,1036.0,,27017.0,,10319.0,575.0,9516.0,257.0,207925.0,51565.0,4032269.0,Europe,105.0,3892.0,19.0
62.0,Afghanistan,38288,,1409.0,,29390.0,,7489.0,52.0,980.0,36.0,103674.0,2653.0,39076681.0,Asia,1021.0,27734.0,377.0
63.0,Azerbaijan,36899,,541.0,,34264.0,,2094.0,,3633.0,53.0,942265.0,92786.0,10155228.0,Asia,275.0,18771.0,11.0
64.0,Kenya,34705,,585.0,,20644.0,,13476.0,44.0,643.0,11.0,456088.0,8450.0,53971982.0,Africa,1555.0,92260.0,118.0
65.0,Serbia,31676,,718.0,,30188.0,,770.0,41.0,3628.0,82.0,955730.0,109464.0,8730985.0,Europe,276.0,12160.0,9.0
66.0,Ireland,29206,,1777.0,,23364.0,,4065.0,7.0,5903.0,359.0,864508.0,174739.0,4947418.0,Europe,169.0,2784.0,6.0
67.0,Austria,28372,,735.0,,24171.0,,3466.0,29.0,3147.0,82.0,1222257.0,135573.0,9015501.0,Europe,318.0,12266.0,7.0
68.0,Czechia,26452,,426.0,,18663.0,,7363.0,40.0,2469.0,40.0,934453.0,87230.0,10712535.0,Europe,405.0,25147.0,11.0
69.0,Australia,26136,87.0,737.0,59.0,22169.0,257.0,3230.0,27.0,1023.0,29.0,6522481.0,255268.0,25551491.0,Australia/Oceania,978.0,34670.0,4.0
70.0,El Salvador,26000,,744.0,5.0,15142.0,23.0,10114.0,251.0,4005.0,115.0,322766.0,49717.0,6492012.0,North America,250.0,8726.0,20.0
71.0,Palestine,24471,,167.0,,16095.0,,8209.0,,4778.0,33.0,263288.0,51409.0,5121436.0,Asia,209.0,30667.0,19.0
72.0,S. Korea,20842,198.0,331.0,2.0,15783.0,254.0,4728.0,157.0,406.0,6.0,2018906.0,39372.0,51277097.0,Asia,2460.0,154916.0,25.0
73.0,Bosnia and Herzegovina,20804,,636.0,,14120.0,,6048.0,,6348.0,194.0,192556.0,58758.0,3277097.0,Europe,158.0,5153.0,17.0
74.0,Paraguay,19959,,373.0,,10251.0,,9335.0,85.0,2792.0,52.0,201750.0,28225.0,7147792.0,South America,358.0,19163.0,35.0
75.0,Cameroon,19604,,415.0,,18448.0,,741.0,30.0,735.0,16.0,149000.0,5590.0,26656894.0,Africa,1360.0,64233.0,179.0
76.0,Lebanon,18963,,179.0,,5338.0,,13446.0,99.0,2781.0,26.0,553931.0,81223.0,6819893.0,Asia,360.0,38100.0,12.0
77.0,Ivory Coast,18208,,119.0,,17045.0,,1044.0,,687.0,4.0,130046.0,4910.0,26488072.0,Africa,1455.0,222589.0,204.0
78.0,Denmark,17374,,626.0,,15499.0,,1249.0,3.0,2998.0,108.0,2566628.0,442840.0,5795835.0,Europe,334.0,9259.0,2.0
79.0,Bulgaria,16775,,658.0,,11935.0,,4182.0,61.0,2418.0,95.0,428266.0,61720.0,6938876.0,Europe,414.0,10545.0,16.0
80.0,Libya,15773,,254.0,,1856.0,,13663.0,,2290.0,37.0,114145.0,16573.0,6887502.0,Africa,437.0,27116.0,60.0
81.0,Madagascar,15106,,197.0,,14031.0,,878.0,40.0,543.0,7.0,59438.0,2137.0,27810346.0,Africa,1841.0,141169.0,468.0
82.0,North Macedonia,14762,,606.0,,11965.0,,2191.0,2.0,7086.0,291.0,153462.0,73661.0,2083359.0,Europe,141.0,3438.0,14.0
83.0,Senegal,13826,,287.0,,9553.0,,3986.0,33.0,822.0,17.0,149381.0,8882.0,16817748.0,Africa,1216.0,58598.0,113.0
84.0,Sudan,13189,,823.0,,6612.0,,5754.0,,300.0,19.0,401.0,9.0,44022068.0,Africa,3338.0,53490.0,109781.0
85.0,Zambia,12523,,292.0,,11562.0,,669.0,,678.0,16.0,119567.0,6474.0,18469669.0,Africa,1475.0,63252.0,154.0
86.0,Norway,11120,,264.0,,9348.0,,1508.0,1.0,2048.0,49.0,747479.0,137690.0,5428709.0,Europe,488.0,20563.0,7.0
87.0,Croatia,11094,,194.0,,8266.0,,2634.0,15.0,2705.0,47.0,179838.0,43856.0,4100650.0,Europe,370.0,21137.0,23.0
88.0,Greece,10998,,278.0,,3804.0,,6916.0,39.0,1056.0,27.0,992566.0,95313.0,10413797.0,Europe,947.0,37460.0,10.0
89.0,DRC,10125,,259.0,,9367.0,,499.0,,112.0,3.0,,,90011427.0,Africa,8890.0,347534.0,
90.0,Albania,9844,,301.0,,5732.0,,3811.0,22.0,3421.0,105.0,60941.0,21180.0,2877231.0,Europe,292.0,9559.0,47.0
91.0,Guinea,9579,,61.0,,8726.0,,792.0,24.0,726.0,5.0,24530.0,1859.0,13192256.0,Africa,1377.0,216266.0,538.0
92.0,Malaysia,9374,,128.0,,9083.0,,163.0,4.0,289.0,4.0,1280878.0,39487.0,32438096.0,Asia,3460.0,253423.0,25.0
93.0,French Guiana,9251,,61.0,,8772.0,,418.0,8.0,30839.0,203.0,55009.0,183376.0,299979.0,South America,32.0,4918.0,5.0
94.0,Tajikistan,8690,,69.0,,7482.0,,1139.0,,908.0,7.0,,,9573897.0,Asia,1102.0,138752.0,
95.0,Gabon,8538,,53.0,,7335.0,,1150.0,2.0,3821.0,24.0,122308.0,54734.0,2234592.0,Africa,262.0,42162.0,18.0
96.0,Haiti,8301,,210.0,,5870.0,,2221.0,,726.0,18.0,24035.0,2103.0,11426736.0,North America,1377.0,54413.0,475.0
97.0,Maldives,8281,,29.0,,5483.0,,2769.0,12.0,15274.0,53.0,115727.0,213449.0,542177.0,Asia,65.0,18696.0,5.0
98.0,Finland,8200,,336.0,,7350.0,,514.0,1.0,1480.0,61.0,702191.0,126698.0,5542261.0,Europe,676.0,16495.0,8.0
99.0,Namibia,8082,,86.0,,3483.0,,4513.0,21.0,3171.0,34.0,65899.0,25855.0,2548789.0,Africa,315.0,29637.0,39.0
100.0,Hungary,7382,459.0,621.0,1.0,3944.0,14.0,2817.0,8.0,765.0,64.0,452138.0,46825.0,9655916.0,Europe,1308.0,15549.0,21.0
101.0,Mauritania,7106,,160.0,,6588.0,,358.0,3.0,1522.0,34.0,69937.0,14975.0,4670110.0,Africa,657.0,29188.0,67.0
102.0,Luxembourg,6811,,124.0,,,,,2.0,10850.0,198.0,664199.0,1058093.0,627732.0,Europe,92.0,5062.0,1.0
