"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
China,81008,41.0,3255.0,7.0,71740.0,6013,1927.0,56.0
Italy,53578,6557.0,4825.0,793.0,6072.0,42681,2857.0,886.0
Spain,25374,3803.0,1378.0,285.0,2125.0,21871,1612.0,543.0
USA,24142,4759.0,288.0,32.0,171.0,23683,64.0,73.0
Germany,22213,2365.0,84.0,16.0,209.0,21920,2.0,265.0
Iran,20610,966.0,1556.0,123.0,7635.0,11419,,245.0
France,14459,1847.0,562.0,112.0,1587.0,12310,1525.0,222.0
S. Korea,8799,147.0,102.0,8.0,2612.0,6085,59.0,172.0
Switzerland,6665,1050.0,75.0,19.0,15.0,6575,141.0,770.0
UK,5018,1035.0,233.0,56.0,93.0,4692,20.0,74.0
Netherlands,3631,637.0,136.0,30.0,2.0,3493,354.0,212.0
Austria,2953,304.0,8.0,2.0,9.0,2936,15.0,328.0
Belgium,2815,558.0,67.0,30.0,263.0,2485,288.0,243.0
Norway,2144,185.0,7.0,,6.0,2131,28.0,395.0
Sweden,1764,125.0,20.0,4.0,16.0,1728,69.0,175.0
Denmark,1326,71.0,13.0,4.0,1.0,1312,42.0,229.0
Portugal,1280,260.0,12.0,6.0,5.0,1263,26.0,126.0
Canada,1205,118.0,18.0,6.0,14.0,1173,1.0,32.0
Malaysia,1183,153.0,8.0,5.0,114.0,1061,26.0,37.0
Australia,1072,144.0,7.0,,46.0,1019,2.0,42.0
Japan,1046,39.0,36.0,1.0,215.0,795,55.0,8.0
Brazil,1028,58.0,18.0,7.0,2.0,1008,18.0,5.0
Czechia,995,162.0,,,6.0,989,7.0,93.0
Turkey,947,277.0,21.0,12.0,,926,,11.0
Israel,883,178.0,1.0,,36.0,846,15.0,102.0
Ireland,785,102.0,3.0,,5.0,777,13.0,159.0
Pakistan,734,233.0,3.0,,13.0,718,,3.0
Diamond Princess,712,,8.0,,567.0,137,15.0,
Luxembourg,670,186.0,8.0,3.0,6.0,656,3.0,1070.0
Chile,537,103.0,1.0,1.0,8.0,528,7.0,28.0
Poland,536,111.0,5.0,,13.0,518,3.0,14.0
Greece,530,35.0,13.0,3.0,19.0,498,20.0,51.0
Finland,523,73.0,1.0,1.0,10.0,512,2.0,94.0
Ecuador,506,80.0,7.0,,3.0,496,2.0,29.0
Qatar,481,11.0,,,27.0,454,6.0,167.0
Iceland,473,64.0,1.0,1.0,5.0,467,1.0,1386.0
Indonesia,450,81.0,38.0,6.0,20.0,392,,2.0
Singapore,432,47.0,2.0,2.0,140.0,290,14.0,74.0
Thailand,411,89.0,1.0,,44.0,366,7.0,6.0
Saudi Arabia,392,48.0,,,16.0,376,,11.0
Slovenia,383,42.0,1.0,,,382,12.0,184.0
Romania,367,59.0,,,52.0,315,14.0,19.0
India,332,83.0,5.0,,23.0,304,,0.2
Peru,318,55.0,5.0,1.0,1.0,312,5.0,10.0
Bahrain,310,12.0,1.0,,125.0,184,4.0,182.0
Philippines,307,77.0,19.0,1.0,13.0,275,1.0,3.0
Russia,306,53.0,1.0,,16.0,289,,2.0
Estonia,306,23.0,,,2.0,304,,231.0
Egypt,294,9.0,10.0,2.0,42.0,242,,3.0
Hong Kong,273,17.0,4.0,,98.0,171,4.0,36.0
South Africa,240,38.0,,,2.0,238,,4.0
Lebanon,230,53.0,4.0,,8.0,218,4.0,34.0
Iraq,214,6.0,17.0,,51.0,146,,5.0
Croatia,206,76.0,1.0,,5.0,200,,50.0
Mexico,203,39.0,2.0,1.0,4.0,197,1.0,2.0
Panama,200,,1.0,,1.0,198,7.0,46.0
Colombia,196,51.0,,,1.0,195,,4.0
Slovakia,178,41.0,,,7.0,171,2.0,33.0
Kuwait,176,17.0,,,27.0,149,5.0,41.0
Serbia,171,36.0,1.0,,2.0,168,4.0,20.0
Bulgaria,163,36.0,3.0,,3.0,157,3.0,23.0
Armenia,160,24.0,,,1.0,159,2.0,54.0
Argentina,158,,4.0,1.0,3.0,151,,3.0
Taiwan,153,18.0,2.0,,28.0,123,,6.0
UAE,153,13.0,2.0,,38.0,113,2.0,15.0
San Marino,151,,20.0,6.0,4.0,127,12.0,4450.0
Algeria,139,45.0,15.0,4.0,65.0,59,,3.0
Latvia,124,13.0,,,1.0,123,,66.0
Costa Rica,117,4.0,2.0,,2.0,113,2.0,23.0
Dominican Republic,112,40.0,3.0,1.0,,109,,10.0
Uruguay,110,,,,,110,,32.0
Hungary,103,18.0,4.0,,7.0,92,6.0,11.0
Lithuania,99,30.0,1.0,,1.0,97,1.0,36.0
Jordan,99,15.0,,,1.0,98,,10.0
Morocco,96,10.0,3.0,,3.0,90,1.0,3.0
Vietnam,94,3.0,,,17.0,77,2.0,1.0
Bosnia and Herzegovina,93,4.0,1.0,1.0,2.0,90,1.0,28.0
Faeroe Islands,92,12.0,,,3.0,89,,1883.0
Andorra,88,13.0,,,1.0,87,2.0,1139.0
North Macedonia,85,9.0,,,1.0,84,1.0,41.0
Cyprus,84,9.0,,,,84,1.0,70.0
Brunei,83,5.0,,,1.0,82,2.0,190.0
Moldova,80,14.0,1.0,,1.0,78,3.0,20.0
Sri Lanka,77,4.0,,,3.0,74,2.0,4.0
Albania,76,6.0,2.0,,2.0,72,2.0,26.0
Belarus,76,7.0,,,15.0,61,,8.0
Malta,73,9.0,,,2.0,71,1.0,165.0
Venezuela,70,5.0,,,15.0,55,2.0,2.0
Burkina Faso,64,24.0,3.0,2.0,5.0,56,,3.0
Tunisia,60,6.0,1.0,,1.0,58,7.0,5.0
Azerbaijan,53,9.0,1.0,,11.0,41,,5.0
Cambodia,53,2.0,,,2.0,51,,3.0
Kazakhstan,53,1.0,,,,53,,3.0
New Zealand,52,,,,,52,,11.0
Oman,52,4.0,,,13.0,39,,10.0
Palestine,52,4.0,,,17.0,35,,10.0
Guadeloupe,51,,1.0,,,50,4.0,127.0
Georgia,49,5.0,,,1.0,48,1.0,12.0
Trinidad and Tobago,49,40.0,,,,49,,35.0
Ukraine,47,6.0,3.0,,1.0,43,,1.0
Senegal,47,,,,5.0,42,,3.0
Réunion,45,7.0,,,,45,,50.0
Uzbekistan,41,8.0,,,,41,,1.0
Liechtenstein,37,9.0,,,,37,,970.0
Martinique,32,,1.0,,,31,7.0,85.0
Channel Islands,32,20.0,,,,32,,184.0
Cameroon,27,,,,2.0,25,,1.0
Bangladesh,24,4.0,2.0,1.0,3.0,19,,0.1
Afghanistan,24,,,,1.0,23,,0.6
Honduras,24,,,,,24,,2.0
DRC,23,5.0,,,,23,,0.3
Nigeria,22,10.0,,,1.0,21,,0.1
Cuba,21,,1.0,,,20,,2.0
Ghana,19,3.0,1.0,1.0,,18,,0.6
Jamaica,19,,1.0,,2.0,16,,6.0
Bolivia,19,3.0,,,,19,,2.0
Paraguay,18,,1.0,1.0,,17,1.0,3.0
Macao,18,1.0,,,10.0,8,,28.0
Monaco,18,7.0,,,1.0,17,,459.0
French Guiana,18,3.0,,,,18,,60.0
Guatemala,17,5.0,1.0,,,16,,0.9
Puerto Rico,17,3.0,,,,17,,6.0
Rwanda,17,,,,,17,,1.0
Togo,16,7.0,,,,16,,2.0
French Polynesia,15,4.0,,,,15,,53.0
Guam,15,1.0,,,,15,,89.0
Mauritius,14,2.0,1.0,1.0,,13,,11.0
Ivory Coast,14,5.0,,,1.0,13,,0.5
Kyrgyzstan,14,8.0,,,,14,,2.0
