#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/  1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,North America,124226270,1329.0,1607588.0,1.0,119430218.0,3362.0,3188464.0,8031.0,,,,,,North America,,,,,,
,Asia,213992014,24954.0,1535172.0,135.0,198583966.0,58602.0,13872876.0,15599.0,,,,,,Asia,,,,,,
,Europe,245849674,21644.0,2014750.0,122.0,241429418.0,55568.0,2405506.0,6456.0,,,,,,Europe,,,,,,
,South America,67920838,1443.0,1349340.0,29.0,66122818.0,1434.0,448680.0,10209.0,,,,,,South America,,,,,,
,Oceania,13968044,1171.0,25968.0,4.0,13822552.0,1156.0,119524.0,71.0,,,,,,Australia/Oceania,,,,,,
,Africa,12787926,16.0,258562.0,,12068392.0,115.0,460972.0,547.0,,,,,,Africa,,,,,,
,,721,,15.0,,706.0,,0.0,0.0,,,,,,,,,,,,
,World,678745487,50557.0,6791395.0,291.0,651458070.0,120237.0,20496022.0,40913.0,87077.0,871.3,,,,All,,,,,,
1.0,USA,104987422,1324.0,1142596.0,1.0,102343315.0,1295.0,1501511.0,2865.0,313578.0,3413.0,1163278009.0,3474491.0,334805269.0,North America,3.0,293.0,0.0,4.0,,4485.0
2.0,India,44685037,,530761.0,,44152360.0,,1916.0,,31767.0,377.0,917828117.0,652501.0,1406631776.0,Asia,31.0,2650.0,2.0,,,1.0
3.0,France,39590190,898.0,164759.0,47.0,39359599.0,6860.0,65832.0,869.0,603651.0,2512.0,271490188.0,4139547.0,65584518.0,Europe,2.0,398.0,0.0,14.0,0.7,1004.0
4.0,Germany,38002611,,167289.0,,37600700.0,15200.0,234622.0,,453040.0,1994.0,122332384.0,1458359.0,83883596.0,Europe,2.0,501.0,1.0,,,2797.0
5.0,Brazil,36987682,,698047.0,,36116408.0,,173227.0,,171753.0,3241.0,63776166.0,296146.0,215353593.0,South America,6.0,309.0,3.0,,,804.0
6.0,Japan,33097952,7020.0,71737.0,51.0,21667655.0,2346.0,11358560.0,223.0,263551.0,571.0,94344335.0,751240.0,125584838.0,Asia,4.0,1751.0,1.0,56.0,0.4,90445.0
7.0,S. Korea,30433895,4324.0,33865.0,9.0,30180072.0,16850.0,219958.0,213.0,592908.0,660.0,15804065.0,307892.0,51329899.0,Asia,2.0,1516.0,3.0,84.0,0.2,4285.0
8.0,Italy,25547414,,187850.0,,25174036.0,,185528.0,154.0,423934.0,3117.0,267156892.0,4433200.0,60262770.0,Europe,2.0,321.0,0.0,,,3079.0
9.0,UK,24341615,,206246.0,,24066062.0,2643.0,69307.0,,355363.0,3011.0,522526476.0,7628357.0,68497907.0,Europe,3.0,332.0,0.0,,,1012.0
10.0,Russia,22178711,12076.0,395829.0,30.0,21513207.0,8398.0,269675.0,,152111.0,2715.0,273400000.0,1875095.0,145805947.0,Europe,7.0,368.0,1.0,83.0,0.2,1850.0
11.0,Turkey,17042722,,101492.0,,,,,,199186.0,1186.0,162743369.0,1902052.0,85561976.0,Asia,5.0,843.0,1.0,,,1819.0
12.0,Spain,13755956,,119186.0,,13596016.0,,40754.0,231.0,294439.0,2551.0,471036328.0,10082298.0,46719142.0,Europe,3.0,392.0,0.0,,,872.0
13.0,Vietnam,11526825,15.0,43186.0,,10614722.0,,868917.0,6.0,116487.0,436.0,85826548.0,867342.0,98953541.0,Asia,9.0,2291.0,1.0,0.2,,8781.0
14.0,Australia,11347698,,19265.0,,11311584.0,,16849.0,43.0,435298.0,739.0,78835048.0,3024116.0,26068792.0,Australia/Oceania,2.0,1353.0,0.0,,,646.0
15.0,Argentina,10042136,,130448.0,,9906055.0,633.0,5633.0,363.0,218259.0,2835.0,35716069.0,776264.0,46010234.0,South America,5.0,353.0,1.0,,,122.0
16.0,Taiwan,9937216,12060.0,17564.0,44.0,9520290.0,32206.0,399362.0,,415982.0,735.0,30712877.0,1285671.0,23888595.0,Asia,2.0,1360.0,1.0,505.0,2.0,16718.0
17.0,Netherlands,8589725,,22992.0,,8556739.0,283.0,9994.0,53.0,499070.0,1336.0,25984435.0,1509718.0,17211447.0,Europe,2.0,749.0,1.0,,,581.0
18.0,Iran,7566470,,144804.0,,7338734.0,,82932.0,261.0,87959.0,1683.0,55034937.0,639771.0,86022837.0,Asia,11.0,594.0,2.0,,,964.0
19.0,Mexico,7414918,,332695.0,,6656060.0,,426163.0,,56360.0,2529.0,19465548.0,147956.0,131562772.0,North America,18.0,395.0,7.0,,,3239.0
20.0,Indonesia,6734334,119.0,160888.0,2.0,6569910.0,238.0,3536.0,,24126.0,576.0,114158919.0,408975.0,279134505.0,Asia,41.0,1735.0,2.0,0.4,0.01,13.0
21.0,Poland,6400611,280.0,118826.0,,5335940.0,,945845.0,696.0,169599.0,3149.0,38217040.0,1012646.0,37739785.0,Europe,6.0,318.0,1.0,7.0,,25062.0
22.0,Colombia,6358775,,142596.0,,6182304.0,,33875.0,342.0,123441.0,2768.0,36951507.0,717327.0,51512762.0,South America,8.0,361.0,1.0,,,658.0
23.0,Austria,5866420,2842.0,21820.0,,5796796.0,3147.0,47804.0,40.0,647029.0,2407.0,211273524.0,23302116.0,9066710.0,Europe,2.0,416.0,0.0,313.0,,5272.0
