#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,North America,39803227,1579.0,893982.0,101.0,32615701,2906.0,6293544,13887.0,,,,,,North America,,,,,,
,Asia,51287428,10738.0,686562.0,203.0,47328309,20305.0,3272557,29933.0,,,,,,Asia,,,,,,
,South America,28813102,2805.0,780486.0,53.0,25983177,2560.0,2049439,30264.0,,,,,,South America,,,,,,
,Europe,46617125,4451.0,1072058.0,224.0,43572885,39372.0,1972182,14824.0,,,,,,Europe,,,,,,
,Africa,4885566,,130997.0,,4400757,,353812,2411.0,,,,,,Africa,,,,,,
,Oceania,68639,38.0,1252.0,,66192,4.0,1195,4.0,,,,,,Australia/Oceania,,,,,,
,,721,,15.0,,706,,0,0.0,,,,,,,,,,,,
,World,171475808,19611.0,3565352.0,581.0,153967727,65147.0,13942729,91323.0,21999.0,457.4,,,,All,,,,,,
1.0,USA,34113146,,609767.0,,27863840,,5639539,6129.0,102511.0,1832.0,479930123.0,1442204.0,332775543.0,North America,10.0,546.0,1.0,,,16947.0
2.0,India,28175044,1389.0,331909.0,,25947629,8125.0,1895506,8944.0,20235.0,238.0,346792257.0,249064.0,1392383007.0,Asia,49.0,4195.0,4.0,1.0,,1361.0
3.0,Brazil,16547674,,462966.0,,14964631,,1120077,8318.0,77348.0,2164.0,49495703.0,231354.0,213939048.0,South America,13.0,462.0,4.0,,,5235.0
4.0,France,5667324,,109528.0,,5333597,,224199,2945.0,86649.0,1675.0,85224737.0,1303020.0,65405567.0,Europe,12.0,597.0,1.0,,,3428.0
5.0,Turkey,5249404,,47527.0,,5114624,,87253,1339.0,61637.0,558.0,54139309.0,635685.0,85166836.0,Asia,16.0,1792.0,2.0,,,1024.0
6.0,Russia,5071917,,121501.0,,4684585,,265831,2300.0,34741.0,832.0,138200000.0,946629.0,145991700.0,Europe,29.0,1202.0,1.0,,,1821.0
7.0,UK,4487339,,127782.0,,4289486,,70071,120.0,65785.0,1873.0,181453219.0,2660145.0,68211789.0,Europe,15.0,534.0,0.0,,,1027.0
8.0,Italy,4217821,,126128.0,,3858019,,233674,1033.0,69854.0,2089.0,66172255.0,1095922.0,60380465.0,Europe,14.0,479.0,1.0,,,3870.0
9.0,Argentina,3781784,,78093.0,,3350602,,353089,7325.0,82981.0,1714.0,13959670.0,306306.0,45574228.0,South America,12.0,584.0,3.0,,,7748.0
10.0,Germany,3689918,,89148.0,,3498400,11700.0,102370,2450.0,43913.0,1061.0,60408571.0,718903.0,84028818.0,Europe,23.0,943.0,1.0,,,1218.0
11.0,Spain,3678390,,79953.0,,3448575,,149862,1426.0,78646.0,1709.0,49708830.0,1062805.0,46771343.0,Europe,13.0,585.0,1.0,,,3204.0
12.0,Colombia,3406456,,88774.0,,3169573,,148109,6582.0,66302.0,1728.0,17009055.0,331060.0,51377583.0,South America,15.0,579.0,3.0,,,2883.0
13.0,Iran,2913136,,80156.0,,2458684,,374296,4160.0,34283.0,943.0,19936548.0,234622.0,84972927.0,Asia,29.0,1060.0,4.0,,,4405.0
14.0,Poland,2872283,,73745.0,,2639689,,158849,681.0,75969.0,1950.0,15959992.0,422125.0,37808681.0,Europe,13.0,513.0,2.0,,,4201.0
15.0,Mexico,2413742,932.0,223568.0,61.0,1928467,2180.0,261707,4798.0,18543.0,1718.0,7042816.0,54105.0,130168413.0,North America,54.0,582.0,18.0,7.0,0.5,2011.0
16.0,Ukraine,2204631,2137.0,50699.0,163.0,2053167,12085.0,100765,177.0,50689.0,1166.0,10180777.0,234078.0,43493058.0,Europe,20.0,858.0,4.0,49.0,4.0,2317.0
17.0,Peru,1955469,,69342.0,,1720665,,165462,2673.0,58564.0,2077.0,12839497.0,384527.0,33390383.0,South America,17.0,482.0,3.0,,,4955.0
18.0,Indonesia,1821703,,50578.0,,1669119,,102006,,6597.0,183.0,16749346.0,60650.0,276161897.0,Asia,152.0,5460.0,16.0,,,369.0
19.0,South Africa,1665617,,56506.0,,1559337,,49774,546.0,27765.0,942.0,11631239.0,193885.0,59990356.0,Africa,36.0,1062.0,5.0,,,830.0
20.0,Czechia,1661780,514.0,30119.0,3.0,1621262,51.0,10399,92.0,154914.0,2808.0,24676793.0,2300406.0,10727147.0,Europe,6.0,356.0,0.0,48.0,0.3,969.0
21.0,Netherlands,1649460,,17623.0,,1489992,5506.0,141845,471.0,96069.0,1026.0,14036639.0,817532.0,17169536.0,Europe,10.0,974.0,1.0,,,8261.0
22.0,Chile,1384346,,29300.0,,1309040,,46006,3142.0,71854.0,1521.0,14824922.0,769488.0,19265967.0,South America,14.0,658.0,1.0,,,2388.0
23.0,Canada,1381582,,25547.0,,1322278,,33757,1122.0,36315.0,672.0,34790069.0,914465.0,38044164.0,North America,28.0,1489.0,1.0,,,887.0
24.0,Philippines,1230301,,20966.0,,1155045,,54290,1704.0,11093.0,189.0,13394594.0,120770.0,110910360.0,Asia,90.0,5290.0,8.0,,,489.0
25.0,Iraq,1201352,,16375.0,,1116456,,68521,411.0,29271.0,399.0,10442991.0,254442.0,41042701.0,Asia,34.0,2506.0,4.0,,,1670.0
26.0,Romania,1077737,,30312.0,,1039821,,7604,425.0,56367.0,1585.0,9061130.0,473906.0,19120105.0,Europe,18.0,631.0,2.0,,,398.0
27.0,Sweden,1068473,,14413.0,,970963,1719.0,83097,198.0,105198.0,1419.0,10016375.0,986176.0,10156779.0,Europe,10.0,705.0,1.0,,,8181.0
28.0,Belgium,1062001,801.0,24955.0,15.0,965289,3588.0,71757,443.0,91271.0,2145.0,13960886.0,1199831.0,11635713.0,Europe,11.0,466.0,1.0,69.0,1.0,6167.0
29.0,Pakistan,922824,1771.0,20850.0,71.0,844638,3397.0,57336,3842.0,4105.0,93.0,13269214.0,59028.0,224793863.0,Asia,244.0,10781.0,17.0,8.0,0.3,255.0
30.0,Portugal,849093,,17025.0,,809135,,22933,52.0,83494.0,1674.0,11764320.0,1156825.0,10169492.0,Europe,12.0,597.0,1.0,,,2255.0
31.0,Israel,839483,8.0,6412.0,,832731,18.0,340,48.0,90015.0,688.0,14739061.0,1580427.0,9326000.0,Asia,11.0,1454.0,1.0,0.9,,36.0
32.0,Hungary,804712,174.0,29761.0,28.0,703352,3116.0,71599,100.0,83495.0,3088.0,5837630.0,605695.0,9637897.0,Europe,12.0,324.0,2.0,18.0,3.0,7429.0
33.0,Bangladesh,800540,,12619.0,,740372,,47549,1138.0,4817.0,76.0,5947513.0,35788.0,166186294.0,Asia,208.0,13170.0,28.0,,,286.0
34.0,Japan,744487,,12967.0,,675877,,55643,1349.0,5903.0,103.0,14365902.0,113905.0,126122003.0,Asia,169.0,9726.0,9.0,,,441.0
35.0,Jordan,736534,,9462.0,,715796,,11276,637.0,71539.0,919.0,7288345.0,707913.0,10295545.0,Asia,14.0,1088.0,1.0,,,1095.0
36.0,Serbia,712472,,6865.0,,696643,,8964,46.0,81845.0,789.0,4152776.0,477049.0,8705144.0,Europe,12.0,1268.0,2.0,,,1030.0
37.0,Switzerland,694740,,10810.0,,649199,,34731,132.0,79741.0,1241.0,7692747.0,882964.0,8712409.0,Europe,13.0,806.0,1.0,,,3986.0
38.0,Austria,644815,,10603.0,,628856,,5356,154.0,71224.0,1171.0,41776209.0,4614454.0,9053338.0,Europe,14.0,854.0,0.0,,,592.0
39.0,Malaysia,572357,,2796.0,,490038,,79523,846.0,17480.0,85.0,11976897.0,365774.0,32744003.0,Asia,57.0,11711.0,3.0,,,2429.0
40.0,UAE,570836,,1680.0,,550525,,18631,,57087.0,168.0,50338982.0,5034223.0,9999354.0,Asia,18.0,5952.0,0.0,,,1863.0
41.0,Nepal,561302,,7386.0,,447446,,106470,,18954.0,249.0,3057424.0,103243.0,29613725.0,Asia,53.0,4009.0,10.0,,,3595.0
42.0,Lebanon,540388,,7729.0,,519779,,12880,159.0,79499.0,1137.0,4392200.0,646154.0,6797454.0,Asia,13.0,879.0,2.0,,,1895.0
43.0,Morocco,519216,,9147.0,,507125,,2944,113.0,13916.0,245.0,6507998.0,174433.0,37309473.0,Africa,72.0,4079.0,6.0,,,79.0
44.0,Saudi Arabia,450436,,7362.0,,433413,,9661,1438.0,12757.0,209.0,19214578.0,544204.0,35307661.0,Asia,78.0,4796.0,2.0,,,274.0
45.0,Ecuador,426037,,20572.0,,375151,,30314,504.0,23818.0,1150.0,1422753.0,79541.0,17887083.0,South America,42.0,869.0,13.0,,,1695.0
46.0,Bulgaria,418577,,17700.0,,382183,,18694,348.0,60659.0,2565.0,2837936.0,411265.0,6900510.0,Europe,16.0,390.0,2.0,,,2709.0
47.0,Greece,402306,,12095.0,,371504,,18707,481.0,38771.0,1166.0,9520565.0,917519.0,10376424.0,Europe,26.0,858.0,1.0,,,1803.0
48.0,Belarus,394439,,2851.0,,385382,,6206,,41755.0,302.0,6335432.0,670666.0,9446479.0,Europe,24.0,3313.0,1.0,,,657.0
49.0,Slovakia,389721,,12343.0,,375316,,2062,85.0,71351.0,2260.0,2831060.0,518314.0,5462061.0,Europe,14.0,443.0,2.0,,,378.0
50.0,Kazakhstan,387672,1123.0,3974.0,19.0,357826,1845.0,25872,221.0,20424.0,209.0,11575012.0,609805.0,18981489.0,Asia,49.0,4776.0,2.0,59.0,1.0,1363.0
51.0,Panama,378097,,6371.0,,365399,,6327,105.0,86390.0,1456.0,2655708.0,606794.0,4376624.0,North America,12.0,687.0,2.0,,,1446.0
52.0,Bolivia,371279,2805.0,14524.0,53.0,295273,2560.0,61482,200.0,31416.0,1229.0,1481900.0,125392.0,11818128.0,South America,32.0,814.0,8.0,237.0,4.0,5202.0
53.0,Croatia,356181,,8026.0,,346220,,1935,84.0,87255.0,1966.0,2013455.0,493243.0,4082073.0,Europe,11.0,509.0,2.0,,,474.0
54.0,Paraguay,355384,,9186.0,,292715,,53483,590.0,49274.0,1274.0,1299549.0,180182.0,7212414.0,South America,20.0,785.0,6.0,,,7415.0
55.0,Tunisia,345474,,12654.0,,303467,,29353,424.0,28955.0,1061.0,1476437.0,123744.0,11931427.0,Africa,35.0,943.0,8.0,,,2460.0
56.0,Georgia,345196,1233.0,4804.0,31.0,328620,1002.0,11772,,86686.0,1206.0,5008516.0,1257739.0,3982159.0,Asia,12.0,829.0,1.0,310.0,8.0,2956.0
57.0,Azerbaijan,333956,,4913.0,,324565,,4478,,32668.0,481.0,3513989.0,343748.0,10222577.0,Asia,31.0,2081.0,3.0,,,438.0
