"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,Reported1st case
Myanmar,15,,1.0,,,14,,0.3,0.02,Mar 22
Saint Martin,15,,1.0,,2.0,12,,388.0,26.0,Feb 29
Equatorial Guinea,15,,,,1.0,14,,11.0,,Mar 13
Eritrea,15,,,,,15,,4.0,,Mar 20
Mongolia,14,2.0,,,2.0,12,,4.0,,Mar 09
Namibia,14,3.0,,,2.0,12,,6.0,,Mar 13
Benin,13,4.0,,,1.0,12,,1.0,,Mar 15
Saint Lucia,13,,,,1.0,12,,71.0,,Mar 12
Dominica,12,,,,,12,,167.0,,Mar 21
Curaçao,11,,1.0,,3.0,7,,67.0,6.0,Mar 12
Syria,10,,2.0,,,8,,0.6,0.1,Mar 21
Greenland,10,,,,2.0,8,,176.0,,Mar 15
Laos,10,1.0,,,,10,,1.0,,Mar 23
Libya,10,,,,,10,,1.0,,Mar 23
Mozambique,10,2.0,,,,10,,0.3,,Mar 21
Seychelles,10,,,,,10,,102.0,,Mar 13
Suriname,10,1.0,,,,10,,17.0,,Mar 12
MS Zaandam,9,7.0,2.0,2.0,,7,,,,Mar 26
Grenada,9,,,,,9,,80.0,,Mar 21
Guinea-Bissau,9,1.0,,,,9,,5.0,,Mar 24
Eswatini,9,,,,,9,,8.0,,Mar 13
Angola,8,1.0,2.0,,1.0,5,,0.2,0.06,Mar 19
Zimbabwe,8,,1.0,,,7,,0.5,0.07,Mar 19
Saint Kitts and Nevis,8,,,,,8,,150.0,,Mar 24
Sudan,7,,2.0,,2.0,3,,0.2,0.05,Mar 12
Antigua and Barbuda,7,,,,,7,,71.0,,Mar 12
Chad,7,,,,,7,,0.4,,Mar 18
Cabo Verde,6,,1.0,,,5,,11.0,2.0,Mar 19
Mauritania,6,,1.0,,2.0,3,,1.0,0.2,Mar 12
Vatican City,6,,,,,6,,7491.0,,Mar 05
Liberia,6,3.0,,,,6,,1.0,,Mar 15
St. Barth,6,,,,1.0,5,,607.0,,Feb 29
Turks and Caicos,6,1.0,,,,6,,155.0,,Mar 22
Nicaragua,5,,1.0,,,4,,0.8,0.2,Mar 18
Nepal,5,,,,1.0,4,,0.2,,Jan 23
Fiji,5,,,,,5,,6.0,,Mar 18
Montserrat,5,,,,,5,,1002.0,,Mar 17
Somalia,5,,,,1.0,4,,0.3,,Mar 15
Botswana,4,,1.0,,,3,,2.0,0.4,Mar 29
Gambia,4,,1.0,,2.0,1,,2.0,0.4,Mar 16
Bhutan,4,,,,,4,,5.0,,Mar 05
Belize,3,,,,,3,,8.0,,Mar 22
British Virgin Islands,3,,,,,3,,99.0,,Mar 24
CAR,3,,,,,3,,0.6,,Mar 14
Anguilla,2,,,,,2,,133.0,,Mar 25
Burundi,2,,,,,2,,0.2,,Mar 30
Caribbean Netherlands,2,2.0,,,,2,,76.0,,Mar 31
Sierra Leone,2,1.0,,,,2,,0.3,,Mar 30
Papua New Guinea,1,,,,,1,,0.1,,Mar 19
St. Vincent Grenadines,1,,,,1.0,0,,9.0,,Mar 10
Timor-Leste,1,,,,,1,,0.8,,Mar 20
China,81554,,3312.0,,76238.0,2004,466.0,57.0,2.0,Jan 10
Total:,930653,72298.0,46774.0,4465.0,193750.0,690129,35475.0,119.4,6.0,
