"Country, Other",Total Cases,New Cases,Total Deaths,NewDeaths,Total Recovered,"Serious, Critical",Region
China,75467,891.0,2236.0,118.0,18588.0,12017.0,Asia
Diamond Princess,634,,2.0,,17.0,27.0,
S. Korea,204,93.0,1.0,,17.0,,Asia
Japan,97,3.0,1.0,,20.0,4.0,Asia
Singapore,85,,,,37.0,4.0,Asia
Hong Kong,69,,2.0,,6.0,6.0,Asia
Thailand,35,,,,17.0,2.0,Asia
USA *,27,12.0,,,6.0,,N.America
Taiwan,26,2.0,1.0,,2.0,1.0,Asia
Malaysia,22,,,,17.0,,Asia
Iran,18,13.0,4.0,2.0,,,Asia
Australia,17,,,,11.0,,Oceania
Germany,16,,,,13.0,,Europe
Vietnam,16,,,,14.0,,Asia
France,12,,1.0,,7.0,,Europe
Macao,10,,,,6.0,,Asia
Canada,9,1.0,,,3.0,,N.America
U.K.,9,,,,8.0,,Europe
U.A.E.,9,,,,3.0,1.0,Asia
Italy,6,2.0,,,,3.0,Europe
Philippines,3,,1.0,,2.0,,Asia
India,3,,,,3.0,,Asia
Russia,2,,,,2.0,,Europe
Spain,2,,,,2.0,,Europe
Belgium,1,,,,1.0,,Europe
Cambodia,1,,,,1.0,,Asia
Egypt,1,,,,1.0,,Africa
Finland,1,,,,1.0,,Europe
Nepal,1,,,,1.0,,Asia
Sri Lanka,1,,,,1.0,,Asia
Sweden,1,,,,,,Europe
