#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,North America,40137501,4683.0,906849.0,279.0,33216951.0,562.0,6013701.0,12406.0,,,,,,North America,,,,,,
,Asia,53260276,11994.0,735733.0,174.0,50220454.0,21190.0,2304089.0,27516.0,,,,,,Asia,,,,,,
,South America,30417215,,937692.0,,27520846.0,,1958677.0,30765.0,,,,,,South America,,,,,,
,Europe,47128944,16081.0,1085309.0,481.0,44425332.0,20815.0,1618303.0,10796.0,,,,,,Europe,,,,,,
,Africa,5051555,,134449.0,,4526829.0,10.0,390277.0,2594.0,,,,,,Africa,,,,,,
,Oceania,70062,5.0,1254.0,,67332.0,,1476.0,11.0,,,,,,Australia/Oceania,,,,,,
,,721,,15.0,,706.0,,0.0,0.0,,,,,,,,,,,,
,World,176066274,32763.0,3801301.0,934.0,159978450.0,42577.0,12286523.0,84088.0,22588.0,487.7,,,,All,,,,,,
1.0,USA,34306446,,614738.0,,28346324.0,,5345384.0,4925.0,103074.0,1847.0,493246114.0,1481959.0,332833770.0,North America,10.0,541.0,1.0,,,16060.0
2.0,India,29359155,1122.0,367097.0,,27911384.0,9696.0,1080674.0,8944.0,21079.0,264.0,376232162.0,270128.0,1392790451.0,Asia,47.0,3794.0,4.0,0.8,,776.0
3.0,Brazil,17301220,,484350.0,,15718593.0,,1098277.0,8318.0,80853.0,2263.0,50245852.0,234811.0,213984390.0,South America,12.0,442.0,4.0,,,5133.0
4.0,France,5733838,,110344.0,,5483618.0,,139876.0,2163.0,87660.0,1687.0,88337210.0,1350518.0,65409895.0,Europe,11.0,593.0,1.0,,,2138.0
5.0,Turkey,5319359,,48593.0,,5192945.0,,77821.0,1009.0,62438.0,570.0,56570784.0,664022.0,85194096.0,Asia,16.0,1753.0,2.0,,,913.0
6.0,Russia,5193964,13510.0,126073.0,399.0,4792169.0,9986.0,275722.0,2300.0,35577.0,864.0,142300000.0,974700.0,145993575.0,Europe,28.0,1158.0,1.0,93.0,3.0,1889.0
7.0,UK,4550944,,127884.0,,4284733.0,,138327.0,158.0,66707.0,1875.0,193264021.0,2832849.0,68222484.0,Europe,15.0,533.0,0.0,,,2028.0
8.0,Italy,4241760,,126924.0,,3949597.0,,165239.0,597.0,70254.0,2102.0,68257459.0,1130506.0,60377804.0,Europe,14.0,476.0,1.0,,,2737.0
9.0,Argentina,4093090,,84628.0,,3668672.0,,339790.0,7839.0,89787.0,1856.0,15067518.0,330525.0,45586681.0,South America,11.0,539.0,3.0,,,7454.0
10.0,Spain,3733600,,80501.0,,3509730.0,,143369.0,966.0,79826.0,1721.0,51240666.0,1095544.0,46771885.0,Europe,13.0,581.0,1.0,,,3065.0
11.0,Germany,3720811,,90398.0,,3573600.0,4600.0,56813.0,1598.0,44276.0,1076.0,62263057.0,740902.0,84036849.0,Europe,23.0,930.0,1.0,,,676.0
12.0,Colombia,3694707,,94615.0,,3435109.0,,164983.0,6582.0,71890.0,1841.0,18029544.0,350811.0,51393873.0,South America,14.0,543.0,3.0,,,3210.0
13.0,Iran,3013078,,81796.0,,2624802.0,,306480.0,3494.0,35446.0,962.0,21313589.0,250733.0,85005237.0,Asia,28.0,1039.0,4.0,,,3605.0
14.0,Poland,2877007,,74515.0,,2647688.0,,154804.0,350.0,76096.0,1971.0,16522649.0,437021.0,37807440.0,Europe,13.0,507.0,2.0,,,4095.0
15.0,Mexico,2448820,3282.0,229821.0,243.0,1948268.0,,270731.0,4798.0,18807.0,1765.0,7206669.0,55347.0,130209100.0,North America,53.0,567.0,18.0,25.0,2.0,2079.0
16.0,Ukraine,2222701,1274.0,51646.0,69.0,2125685.0,4905.0,45370.0,177.0,51114.0,1188.0,10460411.0,240551.0,43485203.0,Europe,20.0,842.0,4.0,29.0,2.0,1043.0
17.0,Peru,1998056,,188100.0,,,,,2597.0,59815.0,5631.0,13371116.0,400283.0,33404191.0,South America,17.0,178.0,2.0,,,2673.0
18.0,Indonesia,1894025,,52566.0,,1735144.0,,106315.0,,6856.0,190.0,17756761.0,64278.0,276248772.0,Asia,146.0,5255.0,16.0,,,385.0
19.0,South Africa,1730106,,57592.0,,1598293.0,,74221.0,546.0,28829.0,960.0,12092681.0,201502.0,60012828.0,Africa,35.0,1042.0,5.0,,,1237.0
20.0,Netherlands,1670498,,17708.0,,1560046.0,,92744.0,289.0,97288.0,1031.0,14248931.0,829841.0,17170672.0,Europe,10.0,970.0,1.0,,,5401.0
21.0,Czechia,1665022,180.0,30224.0,1.0,1629375.0,27.0,5423.0,24.0,155207.0,2817.0,26727347.0,2491423.0,10727742.0,Europe,6.0,355.0,0.0,17.0,0.09,506.0
22.0,Chile,1461419,,30472.0,,1382124.0,,48823.0,3312.0,75836.0,1581.0,15520282.0,805374.0,19270893.0,South America,13.0,632.0,1.0,,,2534.0
23.0,Canada,1399716,,25886.0,,1355419.0,,18411.0,795.0,36782.0,680.0,35581916.0,935035.0,38054099.0,North America,27.0,1470.0,1.0,,,484.0
24.0,Philippines,1300349,,22507.0,,1216497.0,,61345.0,1704.0,11720.0,203.0,13989704.0,126085.0,110954199.0,Asia,85.0,4930.0,8.0,,,553.0
25.0,Iraq,1246860,,16668.0,,1164103.0,,66089.0,431.0,30359.0,406.0,10897905.0,265350.0,41069893.0,Asia,33.0,2464.0,4.0,,,1609.0
26.0,Sweden,1083456,,14537.0,,1018539.0,,50380.0,118.0,106653.0,1431.0,10239089.0,1007916.0,10158668.0,Europe,9.0,699.0,1.0,,,4959.0
27.0,Romania,1079530,,31681.0,,1043803.0,,4046.0,255.0,56472.0,1657.0,9348322.0,489024.0,19116269.0,Europe,18.0,603.0,2.0,,,212.0
28.0,Belgium,1074988,784.0,25075.0,7.0,992815.0,,57098.0,302.0,92375.0,2155.0,14455587.0,1242185.0,11637225.0,Europe,11.0,464.0,1.0,67.0,0.6,4906.0
29.0,Pakistan,939931,1194.0,21633.0,57.0,875581.0,2038.0,42717.0,2760.0,4179.0,96.0,13781668.0,61273.0,224922985.0,Asia,239.0,10397.0,16.0,5.0,0.3,190.0
30.0,Portugal,855951,,17044.0,,814318.0,,24589.0,72.0,84176.0,1676.0,12266241.0,1206286.0,10168602.0,Europe,12.0,597.0,1.0,,,2418.0
31.0,Israel,839653,,6428.0,,833007.0,,218.0,36.0,90034.0,689.0,14758111.0,1582470.0,9326000.0,Asia,11.0,1451.0,1.0,,,23.0
32.0,Bangladesh,822849,,13032.0,,761916.0,,47901.0,1126.0,4950.0,78.0,6144773.0,36964.0,166235568.0,Asia,202.0,12756.0,27.0,,,288.0
33.0,Hungary,806790,,29904.0,,724614.0,,52272.0,51.0,83717.0,3103.0,5962887.0,618739.0,9637163.0,Europe,12.0,322.0,2.0,,,5424.0
34.0,Japan,769920,,13907.0,,721260.0,,34753.0,942.0,6105.0,110.0,15247804.0,120908.0,126110418.0,Asia,164.0,9068.0,8.0,,,276.0
35.0,Jordan,742521,,9577.0,,725082.0,,7862.0,540.0,72099.0,930.0,7508948.0,729124.0,10298587.0,Asia,14.0,1075.0,1.0,,,763.0
36.0,Serbia,714634,,6951.0,,702994.0,,4689.0,19.0,82103.0,799.0,4259803.0,489402.0,8704091.0,Europe,12.0,1252.0,2.0,,,539.0
37.0,Switzerland,700051,,10859.0,,666384.0,,22808.0,88.0,80334.0,1246.0,7945174.0,911739.0,8714309.0,Europe,12.0,802.0,1.0,,,2617.0
38.0,Austria,648187,,10652.0,,633105.0,,4430.0,99.0,71584.0,1176.0,47268180.0,5220188.0,9054880.0,Europe,14.0,850.0,0.0,,,489.0
39.0,Malaysia,646411,,3768.0,,563779.0,,78864.0,912.0,19734.0,115.0,13120217.0,400538.0,32756466.0,Asia,51.0,8693.0,2.0,,,2408.0
40.0,Nepal,604396,,8305.0,,520816.0,,75275.0,,20398.0,280.0,3198702.0,107957.0,29629496.0,Asia,49.0,3568.0,9.0,,,2541.0
41.0,UAE,593894,,1720.0,,573194.0,,18980.0,,59372.0,172.0,52853775.0,5283821.0,10002945.0,Asia,17.0,5816.0,0.0,,,1897.0
42.0,Lebanon,542375,,7790.0,,526598.0,,7987.0,78.0,79802.0,1146.0,4574388.0,673047.0,6796539.0,Asia,13.0,872.0,1.0,,,1175.0
43.0,Morocco,523165,,9202.0,,510623.0,,3340.0,107.0,14017.0,247.0,6612440.0,177170.0,37322618.0,Africa,71.0,4056.0,6.0,,,89.0
44.0,Saudi Arabia,463703,,7537.0,,446054.0,,10112.0,1559.0,13127.0,213.0,20203947.0,571961.0,35323967.0,Asia,76.0,4687.0,2.0,,,286.0
45.0,Ecuador,437121,,20997.0,,398645.0,,17479.0,453.0,24427.0,1173.0,1463134.0,81762.0,17895139.0,South America,41.0,852.0,12.0,,,977.0
46.0,Bulgaria,420213,,17893.0,,389368.0,,12952.0,246.0,60910.0,2594.0,2970624.0,430591.0,6898946.0,Europe,16.0,386.0,2.0,,,1877.0
47.0,Greece,413954,,12381.0,,388931.0,,12642.0,375.0,39900.0,1193.0,9994319.0,963317.0,10374902.0,Europe,25.0,838.0,1.0,,,1219.0
48.0,Belarus,403845,,2958.0,,396650.0,,4237.0,,42751.0,313.0,6500351.0,688131.0,9446386.0,Europe,23.0,3194.0,1.0,,,449.0
49.0,Kazakhstan,400214,1118.0,4150.0,14.0,375457.0,1387.0,20607.0,221.0,21077.0,219.0,11575012.0,609589.0,18988238.0,Asia,47.0,4575.0,2.0,59.0,0.7,1085.0
50.0,Bolivia,400047,,15321.0,,315304.0,,69422.0,200.0,33837.0,1296.0,1611615.0,136313.0,11822915.0,South America,30.0,772.0,7.0,,,5872.0
51.0,Slovakia,390893,,12433.0,,377007.0,,1453.0,48.0,71564.0,2276.0,2883850.0,527971.0,5462140.0,Europe,14.0,439.0,2.0,,,266.0
52.0,Paraguay,387687,,10561.0,,319572.0,,57554.0,618.0,53733.0,1464.0,1395831.0,193461.0,7215047.0,South America,19.0,683.0,5.0,,,7977.0
53.0,Panama,386269,,6427.0,,371015.0,,8827.0,105.0,88216.0,1468.0,2776097.0,634005.0,4378667.0,North America,11.0,681.0,2.0,,,2016.0
54.0,Tunisia,364819,,13365.0,,319475.0,,31979.0,424.0,30567.0,1120.0,1549014.0,129786.0,11935141.0,Africa,33.0,893.0,8.0,,,2679.0
55.0,Croatia,358379,,8123.0,,349049.0,,1207.0,44.0,87810.0,1990.0,2069520.0,507072.0,4081316.0,Europe,11.0,502.0,2.0,,,296.0
