"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
China,80757,22.0,3136.0,17.0,60089.0,17532,4794.0,56.1
Italy,9172,,463.0,,724.0,7985,733.0,151.7
S. Korea,7513,35.0,54.0,1.0,247.0,7212,36.0,146.5
Iran,7161,,237.0,,2394.0,4530,,85.3
France,1412,,30.0,,12.0,1370,66.0,21.6
Spain,1231,,30.0,,32.0,1169,11.0,26.3
Germany,1224,,2.0,,18.0,1204,9.0,14.6
USA,708,4.0,27.0,1.0,15.0,666,8.0,2.1
Diamond Princess,696,,7.0,,245.0,444,32.0,
Japan,530,,9.0,,101.0,420,33.0,4.2
Switzerland,374,,2.0,,3.0,369,,43.2
UK,321,,5.0,,18.0,298,,4.7
Netherlands,321,,4.0,,,317,1.0,18.7
Sweden,261,,,,1.0,260,,25.8
Belgium,239,,,,1.0,238,2.0,20.6
Norway,227,,,,1.0,226,,41.9
Singapore,160,,,,93.0,67,10.0,27.3
Austria,131,,,,2.0,129,1.0,14.5
Malaysia,117,,,,24.0,93,2.0,3.6
Hong Kong,116,,3.0,,59.0,54,6.0,15.5
Denmark,113,23.0,,,1.0,112,,19.5
Bahrain,109,,,,22.0,87,,64.1
Australia,101,8.0,3.0,,22.0,76,1.0,4.0
Greece,84,,,,,84,1.0,8.1
Canada,77,,1.0,,8.0,68,1.0,2.0
Iraq,71,,7.0,,3.0,61,,1.8
Iceland,65,,,,1.0,64,,
Kuwait,65,,,,1.0,64,3.0,15.2
Egypt,59,,1.0,,1.0,57,,0.6
UAE,59,,,,12.0,47,2.0,6.0
San Marino,51,,2.0,,,49,5.0,
Thailand,50,,1.0,,33.0,16,1.0,0.7
Israel,50,,,,4.0,46,1.0,5.8
India,47,,,,4.0,43,,
Taiwan,45,,1.0,,15.0,29,,1.9
Lebanon,41,,,,1.0,40,3.0,6.0
Czechia,40,2.0,,,,40,,3.7
Portugal,39,,,,,39,,3.8
Finland,33,,,,1.0,32,,6.0
Vietnam,31,,,,16.0,15,,0.3
Brazil,25,,,,,25,1.0,0.1
Slovenia,25,,,,,25,,12.0
Palestine,25,,,,,25,,4.9
Philippines,24,,1.0,,2.0,21,1.0,0.2
Ireland,24,,,,,24,,4.9
Algeria,20,,,,,20,,0.5
Russia,20,,,,3.0,17,,0.1
Saudi Arabia,20,,,,1.0,19,,0.6
Indonesia,19,,,,,19,,0.1
Oman,18,,,,9.0,9,,3.5
Qatar,18,,,,,18,,6.2
Argentina,17,,1.0,,,16,,0.4
Romania,17,,,,5.0,12,,0.9
Poland,17,,,,,17,2.0,0.4
Pakistan,16,,,,2.0,14,,0.1
Ecuador,15,,,,,15,1.0,0.9
Georgia,15,,,,,15,1.0,3.8
Croatia,13,,,,,13,,3.2
Chile,13,,,,,13,,0.7
Macao,10,,,,10.0,0,,
Estonia,10,,,,,10,,7.5
Azerbaijan,9,,,,,9,,0.9
Costa Rica,9,,,,,9,1.0,1.8
Hungary,9,,,,,9,,0.9
Peru,9,,,,,9,,0.3
Mexico,7,,,,4.0,3,1.0,0.1
Slovakia,7,,,,,7,,1.3
South Africa,7,,,,,7,,0.1
Belarus,6,,,,,6,,0.6
Latvia,6,,,,1.0,5,,3.2
Albania,6,,,,,6,,2.1
Maldives,6,,,,,6,,
Dominican Republic,5,,,,,5,,0.5
Luxembourg,5,,,,,5,,
New Zealand,5,,,,,5,,1.0
Tunisia,5,,,,,5,,0.4
Bosnia and Herzegovina,5,,,,,5,,1.5
French Guiana,5,,,,,5,,
Afghanistan,4,,,,,4,,0.1
North Macedonia,4,,,,,4,,1.9
Senegal,4,,,,1.0,3,,0.2
Bulgaria,4,,,,,4,,0.6
Malta,4,,,,,4,,
Bangladesh,3,,,,,3,,
Colombia,3,,,,,3,,0.1
Cambodia,2,,,,1.0,1,,0.1
Morocco,2,,,,,2,1.0,0.1
Nigeria,2,,,,,2,,
Cameroon,2,,,,,2,,0.1
Cyprus,2,,,,,2,,1.7
Faeroe Islands,2,,,,,2,,
Martinique,2,,,,,2,,
Saint Martin,2,,,,,2,,
Serbia,2,,,,,2,,0.2
Andorra,1,,,,,1,,
Armenia,1,,,,,1,,0.3
Jordan,1,,,,,1,,0.1
Lithuania,1,,,,,1,,0.4
Monaco,1,,,,,1,,
Nepal,1,,,,1.0,0,,
Sri Lanka,1,,,,1.0,0,,
Ukraine,1,,,,,1,,
Bhutan,1,,,,,1,,
Brunei,1,,,,,1,,
Burkina Faso,1,,,,,1,,
Channel Islands,1,,,,,1,,
Gibraltar,1,,,,1.0,0,,
Vatican City,1,,,,,1,,
Liechtenstein,1,,,,,1,,
Moldova,1,,,,,1,,0.2
Mongolia,1,1.0,,,,1,,0.3
Panama,1,1.0,,,,1,,0.2
Paraguay,1,,,,,1,,0.1
St. Barth,1,,,,,1,,
Togo,1,,,,,1,,0.1
Total:,114458,96.0,4027.0,19.0,64266.0,46165,5771.0,14.7
