"Country, Other",Total Cases,New Cases,Total Deaths,NewDeaths,Total Recovered,"Serious, Critical",Region
China,74188,1752.0,2006.0,138.0,14926.0,12017.0,Asia
Diamond Princess,621,79.0,,,17.0,20.0,
Japan,84,10.0,1.0,,20.0,4.0,Asia
Singapore,84,3.0,,,34.0,4.0,Asia
Hong Kong,65,3.0,2.0,1.0,5.0,6.0,Asia
S. Korea,51,20.0,,,16.0,,Asia
Thailand,35,,,,17.0,2.0,Asia
Taiwan,23,1.0,1.0,,2.0,,Asia
Malaysia,22,,,,15.0,,Asia
Germany,16,,,,9.0,,Europe
Vietnam,16,,,,14.0,,Asia
USA,15,,,,3.0,,N.America
Australia,15,,,,10.0,,Oceania
France,12,,1.0,,7.0,,Europe
Macao,10,,,,5.0,,Asia
U.A.E.,9,,,,3.0,1.0,Asia
U.K.,9,,,,8.0,,Europe
Canada,8,,,,1.0,,N.America
Philippines,3,,1.0,,2.0,,Asia
India,3,,,,3.0,,Asia
Italy,3,,,,,2.0,Europe
Iran,2,2.0,2.0,2.0,,,Asia
Russia,2,,,,2.0,,Europe
Spain,2,,,,2.0,,Europe
Cambodia,1,,,,1.0,,Asia
Sri Lanka,1,,,,1.0,,Asia
Belgium,1,,,,1.0,,Europe
Finland,1,,,,1.0,,Europe
Egypt,1,,,,,,Africa
Sweden,1,,,,,,Europe
Nepal,1,,,,1.0,,Asia
