#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
,North America,2124929,4143.0,127631.0,477.0,794015.0,2881.0,1203283.0,19481.0,,,,,,North America,,,
,South America,947299,1569.0,42689.0,31.0,394659.0,,509951.0,11404.0,,,,,,South America,,,
,Europe,2049044,,175557.0,,1013054.0,,860433.0,8722.0,,,,,,Europe,,,
,Asia,1194277,49.0,31832.0,1.0,730911.0,21.0,431534.0,14487.0,,,,,,Asia,,,
,Africa,159838,,4520.0,,68985.0,,86333.0,425.0,,,,,,Africa,,,
,Oceania,8831,,124.0,,8208.0,,499.0,4.0,,,,,,Australia/Oceania,,,
,,721,,15.0,,651.0,,55.0,4.0,,,,,,,,,
,World,6484939,5761.0,382368.0,509.0,3010483.0,2902.0,3092088.0,54527.0,832.0,49.1,,,,All,,,
1.0,USA,1881205,,108059.0,,645974.0,,1127172.0,17114.0,5686.0,327.0,18603174.0,56228.0,330854064.0,North America,176.0,3062.0,18.0
2.0,Brazil,558237,1569.0,31309.0,31.0,240627.0,,286301.0,8318.0,2628.0,147.0,930013.0,4378.0,212442762.0,South America,381.0,6785.0,228.0
3.0,Russia,423741,,5037.0,,186985.0,,231719.0,2300.0,2904.0,35.0,11151622.0,76418.0,145929848.0,Europe,344.0,28972.0,13.0
4.0,Spain,287012,,27127.0,,,,,617.0,6139.0,580.0,4063843.0,86921.0,46753443.0,Europe,163.0,1724.0,12.0
5.0,UK,277985,,39369.0,,,,,1559.0,4097.0,580.0,4615146.0,68011.0,67858826.0,Europe,244.0,1724.0,15.0
6.0,Italy,233515,,33530.0,,160092.0,,39893.0,408.0,3862.0,555.0,3962292.0,65527.0,60468295.0,Europe,259.0,1803.0,15.0
7.0,India,207191,,5829.0,,100285.0,,101077.0,8944.0,150.0,4.0,3966075.0,2876.0,1378937377.0,Asia,6655.0,236565.0,348.0
8.0,France,189220,,28940.0,,68812.0,,91468.0,1253.0,2899.0,443.0,1384633.0,21216.0,65262729.0,Europe,345.0,2255.0,47.0
9.0,Germany,184091,,8674.0,,166400.0,,9017.0,689.0,2198.0,104.0,3952971.0,47192.0,83763806.0,Europe,455.0,9657.0,21.0
10.0,Peru,174884,,4767.0,,69257.0,,100860.0,964.0,5310.0,145.0,1092646.0,33176.0,32934728.0,South America,188.0,6909.0,30.0
11.0,Turkey,165555,,4585.0,,129921.0,,31049.0,633.0,1965.0,54.0,2103044.0,24957.0,84267248.0,Asia,509.0,18379.0,40.0
12.0,Iran,157562,,7942.0,,123077.0,,26543.0,2565.0,1878.0,95.0,975936.0,11631.0,83906701.0,Asia,533.0,10565.0,86.0
13.0,Chile,108686,,1188.0,,44946.0,,62552.0,1446.0,5689.0,62.0,612772.0,32077.0,19103405.0,South America,176.0,16080.0,31.0
14.0,Mexico,97326,3891.0,10637.0,470.0,70308.0,2817.0,16381.0,378.0,755.0,83.0,293078.0,2275.0,128825735.0,North America,1324.0,12111.0,440.0
15.0,Canada,92410,,7395.0,,50357.0,,34658.0,1709.0,2450.0,196.0,1724250.0,45716.0,37716316.0,North America,408.0,5100.0,22.0
16.0,Saudi Arabia,89011,,549.0,,65790.0,,22672.0,1264.0,2560.0,16.0,853987.0,24561.0,34769565.0,Asia,391.0,63333.0,41.0
17.0,Pakistan,76398,,1621.0,,27110.0,,47667.0,111.0,346.0,7.0,577974.0,2621.0,220532862.0,Asia,2887.0,136047.0,382.0
18.0,Qatar,60259,,43.0,,36036.0,,24180.0,239.0,21461.0,15.0,231098.0,82306.0,2807805.0,Asia,47.0,65298.0,12.0
19.0,Belgium,58615,,9505.0,,15934.0,,33176.0,166.0,5059.0,820.0,884386.0,76334.0,11585802.0,Europe,198.0,1219.0,13.0
20.0,Bangladesh,52445,,709.0,,11120.0,,40616.0,1.0,319.0,4.0,333073.0,2024.0,164560234.0,Asia,3138.0,232102.0,494.0
21.0,Netherlands,46647,,5967.0,,,,,154.0,2723.0,348.0,359833.0,21004.0,17132042.0,Europe,367.0,2871.0,48.0
22.0,Belarus,44255,,243.0,,19195.0,,24817.0,92.0,4683.0,26.0,562945.0,59574.0,9449551.0,Europe,214.0,38887.0,17.0
23.0,Ecuador,40414,,3438.0,,20019.0,,16957.0,252.0,2293.0,195.0,118754.0,6739.0,17621217.0,South America,436.0,5125.0,148.0
24.0,Sweden,38589,,4468.0,,,,,283.0,3823.0,443.0,275500.0,27292.0,10094432.0,Europe,262.0,2259.0,37.0
25.0,Singapore,35836,,24.0,,23175.0,,12637.0,6.0,6129.0,4.0,334691.0,57244.0,5846771.0,Asia,163.0,243615.0,17.0
26.0,South Africa,35812,,755.0,,18313.0,,16744.0,208.0,604.0,13.0,761534.0,12853.0,59248777.0,Africa,1654.0,78475.0,78.0
27.0,UAE,35788,,269.0,,18726.0,,16793.0,1.0,3622.0,27.0,2145493.0,217136.0,9880861.0,Asia,276.0,36732.0,5.0
28.0,Portugal,32895,,1436.0,,19869.0,,11590.0,58.0,3225.0,141.0,847181.0,83066.0,10198850.0,Europe,310.0,7102.0,12.0
29.0,Colombia,31833,,1009.0,,11142.0,,19682.0,136.0,626.0,20.0,350213.0,6889.0,50840001.0,South America,1597.0,50387.0,145.0
30.0,Switzerland,30874,,1920.0,,28500.0,,454.0,29.0,3569.0,222.0,400793.0,46336.0,8649729.0,Europe,280.0,4505.0,22.0
31.0,Kuwait,28649,,226.0,,14281.0,,14142.0,187.0,6717.0,53.0,290013.0,67991.0,4265437.0,Asia,149.0,18874.0,15.0
32.0,Indonesia,27549,,1663.0,,7935.0,,17951.0,,101.0,6.0,342464.0,1253.0,273295010.0,Asia,9920.0,164339.0,798.0
33.0,Egypt,27536,,1052.0,,6827.0,,19657.0,41.0,270.0,10.0,135000.0,1321.0,102173226.0,Africa,3711.0,97123.0,757.0
34.0,Ireland,25066,,1658.0,,22089.0,,1319.0,36.0,5081.0,336.0,348416.0,70624.0,4933409.0,Europe,197.0,2976.0,14.0
35.0,Poland,24395,,1092.0,,11726.0,,11577.0,160.0,645.0,29.0,945955.0,24992.0,37849635.0,Europe,1552.0,34661.0,40.0
36.0,Ukraine,24340,,727.0,,10078.0,,13535.0,286.0,556.0,17.0,371668.0,8495.0,43752274.0,Europe,1798.0,60182.0,118.0
37.0,Romania,19517,,1288.0,,13526.0,,4703.0,166.0,1014.0,67.0,448813.0,23319.0,19246690.0,Europe,986.0,14943.0,43.0
38.0,Philippines,18997,,966.0,,4063.0,,13968.0,78.0,174.0,9.0,366269.0,3346.0,109463670.0,Asia,5762.0,113316.0,299.0
39.0,Argentina,18319,,569.0,,5709.0,,12041.0,274.0,406.0,13.0,164084.0,3633.0,45163302.0,South America,2465.0,79373.0,275.0
40.0,Dominican Republic,17752,,515.0,,11075.0,,6162.0,110.0,1638.0,48.0,84638.0,7808.0,10839344.0,North America,611.0,21047.0,128.0
41.0,Israel,17285,,290.0,,14940.0,,2055.0,31.0,1879.0,32.0,582445.0,63326.0,9197590.0,Asia,532.0,31716.0,16.0
42.0,Japan,16930,,894.0,,14650.0,,1386.0,113.0,134.0,7.0,296383.0,2343.0,126504317.0,Asia,7472.0,141504.0,427.0
43.0,Austria,16759,,669.0,,15629.0,,461.0,26.0,1862.0,74.0,456378.0,50695.0,9002468.0,Europe,537.0,13457.0,20.0
44.0,Afghanistan,16509,,270.0,,1450.0,,14789.0,19.0,425.0,7.0,40950.0,1054.0,38853367.0,Asia,2353.0,143901.0,949.0
45.0,Panama,14095,,352.0,,9514.0,,4229.0,78.0,3271.0,82.0,69483.0,16124.0,4309210.0,North America,306.0,12242.0,62.0
46.0,Oman,12799,,59.0,,2812.0,,9928.0,31.0,2512.0,12.0,100181.0,19661.0,5095308.0,Asia,398.0,86361.0,51.0
47.0,Bahrain,12311,,19.0,,7407.0,,4885.0,10.0,7258.0,11.0,330733.0,194996.0,1696105.0,Asia,138.0,89269.0,5.0
48.0,Denmark,11734,,580.0,,10489.0,,665.0,21.0,2026.0,100.0,646086.0,111574.0,5790665.0,Europe,493.0,9984.0,9.0
49.0,S. Korea,11590,49.0,273.0,1.0,10467.0,21.0,850.0,15.0,226.0,5.0,956852.0,18664.0,51265922.0,Asia,4423.0,187787.0,54.0
50.0,Kazakhstan,11571,,44.0,,5941.0,,5586.0,62.0,617.0,2.0,828377.0,44159.0,18758789.0,Asia,1621.0,426336.0,23.0
51.0,Serbia,11454,,245.0,,6766.0,,4443.0,10.0,1311.0,28.0,252132.0,28848.0,8739886.0,Europe,763.0,35673.0,35.0
52.0,Nigeria,10819,,314.0,,3240.0,,7265.0,7.0,53.0,2.0,65885.0,320.0,205696187.0,Africa,19012.0,655083.0,3122.0
53.0,Bolivia,10531,,343.0,,1137.0,,9051.0,3.0,903.0,29.0,28239.0,2422.0,11660175.0,South America,1107.0,33995.0,413.0
54.0,Armenia,10009,,158.0,,3427.0,,6424.0,10.0,3378.0,53.0,59917.0,20223.0,2962831.0,Asia,296.0,18752.0,49.0
55.0,Algeria,9626,,667.0,,6067.0,,2892.0,25.0,220.0,15.0,,,43785268.0,Africa,4549.0,65645.0,
56.0,Czechia,9364,,323.0,,6686.0,,2355.0,17.0,875.0,30.0,447957.0,41836.0,10707502.0,Europe,1143.0,33150.0,24.0
57.0,Moldova,8548,,307.0,,4738.0,,3503.0,255.0,2119.0,76.0,57003.0,14128.0,4034641.0,Europe,472.0,13142.0,71.0
58.0,Norway,8455,,237.0,,7727.0,,491.0,9.0,1561.0,44.0,250968.0,46322.0,5417952.0,Europe,641.0,22861.0,22.0
59.0,Ghana,8297,,38.0,,2986.0,,5273.0,3.0,267.0,1.0,218425.0,7042.0,31018059.0,Africa,3738.0,816265.0,142.0
60.0,Malaysia,7877,,115.0,,6470.0,,1292.0,6.0,244.0,4.0,560738.0,17343.0,32332728.0,Asia,4105.0,281154.0,58.0
61.0,Morocco,7866,,206.0,,6410.0,,1250.0,13.0,213.0,6.0,234651.0,6363.0,36875683.0,Africa,4688.0,179008.0,157.0
62.0,Iraq,7387,,235.0,,3508.0,,3644.0,46.0,184.0,6.0,238251.0,5935.0,40145341.0,Asia,5435.0,170831.0,169.0
63.0,Australia,7221,,102.0,,6626.0,,493.0,4.0,283.0,4.0,1494692.0,58670.0,25476337.0,Australia/Oceania,3528.0,249768.0,17.0
64.0,Finland,6887,,320.0,,5500.0,,1067.0,9.0,1243.0,58.0,190800.0,34440.0,5540080.0,Europe,804.0,17313.0,29.0
65.0,Cameroon,6585,,200.0,,3676.0,,2709.0,28.0,249.0,8.0,,,26488477.0,Africa,4023.0,132442.0,
66.0,Azerbaijan,5935,,71.0,,3564.0,,2300.0,42.0,586.0,7.0,309901.0,30586.0,10132029.0,Asia,1707.0,142705.0,33.0
67.0,Guatemala,5586,250.0,123.0,7.0,824.0,29.0,4639.0,5.0,312.0,7.0,31427.0,1757.0,17887959.0,North America,3202.0,145431.0,569.0
68.0,Honduras,5362,,217.0,,549.0,,4596.0,13.0,542.0,22.0,14790.0,1495.0,9891706.0,North America,1845.0,45584.0,669.0
69.0,Sudan,5310,,307.0,,1625.0,,3378.0,,121.0,7.0,401.0,9.0,43761230.0,Africa,8241.0,142545.0,109130.0
70.0,Tajikistan,4100,,47.0,,2217.0,,1836.0,,431.0,5.0,,,9519331.0,Asia,2322.0,202539.0,
71.0,Luxembourg,4020,,110.0,,3848.0,,62.0,4.0,6431.0,176.0,78026.0,124813.0,625142.0,Europe,156.0,5683.0,8.0
72.0,Hungary,3921,,532.0,,2160.0,,1229.0,24.0,406.0,55.0,189969.0,19661.0,9662122.0,Europe,2464.0,18162.0,51.0
73.0,Guinea,3886,,23.0,,2267.0,,1596.0,24.0,297.0,2.0,14407.0,1100.0,13101411.0,Africa,3371.0,569627.0,909.0
74.0,Senegal,3836,,43.0,,1954.0,,1839.0,14.0,230.0,3.0,44949.0,2691.0,16705246.0,Africa,4355.0,388494.0,372.0
75.0,Djibouti,3779,,25.0,,1607.0,,2147.0,,3829.0,25.0,30394.0,30800.0,986834.0,Africa,261.0,39473.0,32.0
76.0,Uzbekistan,3760,,15.0,,2908.0,,837.0,11.0,112.0,0.4,460000.0,13760.0,33429848.0,Asia,8891.0,2228657.0,73.0
77.0,DRC,3326,,72.0,,482.0,,2772.0,,37.0,0.8,,,89316439.0,Africa,26854.0,1240506.0,
78.0,Thailand,3083,,58.0,,2966.0,,59.0,1.0,44.0,0.8,420529.0,6026.0,69786876.0,Asia,22636.0,1203222.0,166.0
79.0,Ivory Coast,3024,,33.0,,1501.0,,1490.0,,115.0,1.0,28120.0,1068.0,26321594.0,Africa,8704.0,797624.0,936.0
80.0,Greece,2937,,179.0,,1374.0,,1384.0,11.0,282.0,17.0,185590.0,17800.0,10426670.0,Europe,3550.0,58250.0,56.0
81.0,Gabon,2803,,20.0,,779.0,,2004.0,15.0,1262.0,9.0,14122.0,6358.0,2221211.0,Africa,792.0,111061.0,157.0
82.0,El Salvador,2653,,46.0,,1116.0,,1491.0,53.0,409.0,7.0,94272.0,14540.0,6483714.0,North America,2444.0,140950.0,69.0
83.0,Bulgaria,2538,,144.0,,1123.0,,1271.0,17.0,365.0,21.0,82914.0,11926.0,6952090.0,Europe,2739.0,48278.0,84.0
84.0,Bosnia and Herzegovina,2535,,157.0,,1910.0,,468.0,4.0,772.0,48.0,66722.0,20328.0,3282255.0,Europe,1295.0,20906.0,49.0
85.0,North Macedonia,2391,,141.0,,1595.0,,655.0,21.0,1148.0,68.0,31187.0,14969.0,2083380.0,Europe,871.0,14776.0,67.0
86.0,Croatia,2246,,103.0,,2088.0,,55.0,4.0,547.0,25.0,67297.0,16386.0,4107049.0,Europe,1829.0,39874.0,61.0
87.0,Haiti,2226,,45.0,,24.0,,2157.0,,195.0,4.0,5270.0,463.0,11391422.0,North America,5117.0,253143.0,2162.0
