#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/  1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
32.0,Philippines,63001,1841.0,1660.0,17.0,21748.0,311.0,39593.0,647.0,575.0,15.0,1089603.0,9938.0,109639027.0,Asia,1740.0,66048.0,101.0
33.0,Kuwait,58221,553.0,404.0,2.0,48381.0,836.0,9436.0,143.0,13625.0,95.0,452970.0,106007.0,4273033.0,Asia,73.0,10577.0,9.0
34.0,Ukraine,57264,809.0,1456.0,11.0,29769.0,838.0,26039.0,92.0,1310.0,33.0,854064.0,19534.0,43720854.0,Europe,763.0,30028.0,51.0
35.0,UAE,56422,293.0,337.0,2.0,48448.0,1036.0,7637.0,1.0,5702.0,34.0,4364763.0,441098.0,9895224.0,Asia,175.0,29363.0,2.0
36.0,Bolivia,54156,1938.0,1984.0,42.0,16979.0,622.0,35193.0,71.0,4637.0,170.0,117111.0,10027.0,11679321.0,South America,216.0,5887.0,100.0
37.0,Netherlands,51454,103.0,6138.0,1.0,,,,15.0,3003.0,358.0,764079.0,44588.0,17136586.0,Europe,333.0,2792.0,22.0
38.0,Panama,50373,,1000.0,,25842.0,,23531.0,166.0,11667.0,232.0,177843.0,41192.0,4317382.0,North America,86.0,4317.0,24.0
39.0,Dominican Republic,50113,1370.0,942.0,1.0,24423.0,787.0,24748.0,246.0,4618.0,87.0,201669.0,18583.0,10852412.0,North America,217.0,11521.0,54.0
40.0,Portugal,48077,312.0,1682.0,3.0,32790.0,314.0,13605.0,67.0,4716.0,165.0,1413519.0,138644.0,10195292.0,Europe,212.0,6061.0,7.0
41.0,Israel,47459,1400.0,392.0,8.0,20744.0,374.0,26323.0,208.0,5160.0,43.0,1411893.0,153507.0,9197590.0,Asia,194.0,23463.0,7.0
42.0,Singapore,47453,327.0,27.0,,43577.0,321.0,3849.0,,8108.0,5.0,1009532.0,172502.0,5852295.0,Asia,123.0,216752.0,6.0
43.0,Poland,39407,353.0,1612.0,7.0,29505.0,577.0,8290.0,71.0,1041.0,43.0,1886089.0,49838.0,37844671.0,Europe,960.0,23477.0,20.0
44.0,Romania,35802,799.0,1988.0,17.0,22312.0,123.0,11502.0,273.0,1862.0,103.0,925001.0,48099.0,19231347.0,Europe,537.0,9674.0,21.0
45.0,Afghanistan,35229,159.0,1147.0,34.0,23151.0,327.0,10931.0,31.0,904.0,29.0,82924.0,2128.0,38959021.0,Asia,1106.0,33966.0,470.0
46.0,Bahrain,35084,,124.0,3.0,30809.0,,4151.0,48.0,20598.0,73.0,703002.0,412740.0,1703256.0,Asia,49.0,13736.0,2.0
47.0,Nigeria,34854,,769.0,,14292.0,,19793.0,7.0,169.0,4.0,202097.0,980.0,206312263.0,Africa,5919.0,268286.0,1021.0
48.0,Armenia,34001,442.0,620.0,13.0,22492.0,561.0,10889.0,10.0,11473.0,209.0,143114.0,48292.0,2963494.0,Asia,87.0,4780.0,21.0
49.0,Switzerland,33382,92.0,1969.0,,29900.0,,1513.0,20.0,3856.0,227.0,715487.0,82645.0,8657326.0,Europe,259.0,4397.0,12.0
50.0,Guatemala,32939,,1404.0,,4807.0,,26728.0,5.0,1837.0,78.0,64590.0,3603.0,17927857.0,North America,544.0,12769.0,278.0
51.0,Honduras,30867,831.0,835.0,10.0,3420.0,41.0,26612.0,58.0,3115.0,84.0,49308.0,4975.0,9910658.0,North America,321.0,11869.0,201.0
52.0,Azerbaijan,26636,471.0,341.0,7.0,17805.0,549.0,8490.0,66.0,2626.0,34.0,601500.0,59302.0,10143005.0,Asia,381.0,29745.0,17.0
53.0,Ghana,26125,,139.0,,22270.0,,3716.0,8.0,840.0,4.0,339491.0,10917.0,31096192.0,Africa,1190.0,223714.0,92.0
54.0,Ireland,25730,32.0,1752.0,3.0,23364.0,,614.0,8.0,5208.0,355.0,541574.0,109630.0,4940037.0,Europe,192.0,2820.0,9.0
55.0,Japan,22890,,985.0,,18814.0,,3091.0,37.0,181.0,8.0,599239.0,4739.0,126457976.0,Asia,5525.0,128384.0,211.0
56.0,Algeria,21948,593.0,1057.0,5.0,15430.0,323.0,5461.0,61.0,500.0,24.0,,,43880586.0,Africa,1999.0,41514.0,
57.0,Moldova,20494,230.0,675.0,9.0,13913.0,273.0,5906.0,358.0,5081.0,167.0,101180.0,25085.0,4033519.0,Europe,197.0,5976.0,40.0
58.0,Serbia,20109,392.0,452.0,10.0,14047.0,,5610.0,184.0,2302.0,52.0,534488.0,61185.0,8735675.0,Europe,434.0,19327.0,16.0
59.0,Austria,19439,169.0,711.0,,17335.0,91.0,1393.0,11.0,2158.0,79.0,734413.0,81523.0,9008634.0,Europe,463.0,12670.0,12.0
60.0,Nepal,17445,101.0,40.0,1.0,11534.0,285.0,5871.0,,598.0,1.0,620900.0,21296.0,29156379.0,Asia,1671.0,728909.0,47.0
61.0,Morocco,16726,181.0,264.0,1.0,14360.0,395.0,2102.0,31.0,453.0,7.0,973404.0,26359.0,36928264.0,Africa,2208.0,139880.0,38.0
62.0,Cameroon,16157,,373.0,,13728.0,,2056.0,52.0,608.0,14.0,135000.0,5081.0,26568158.0,Africa,1644.0,71228.0,197.0
63.0,Uzbekistan,15482,416.0,77.0,2.0,8783.0,,6622.0,43.0,462.0,2.0,1377915.0,41146.0,33488184.0,Asia,2163.0,434911.0,24.0
64.0,Ivory Coast,13696,142.0,87.0,,7607.0,244.0,6002.0,,519.0,3.0,81379.0,3082.0,26400358.0,Africa,1928.0,303452.0,324.0
65.0,Czechia,13682,70.0,358.0,3.0,8725.0,85.0,4599.0,18.0,1278.0,33.0,614297.0,57358.0,10709883.0,Europe,783.0,29916.0,17.0
66.0,S. Korea,13672,60.0,293.0,2.0,12460.0,64.0,919.0,15.0,267.0,6.0,1451017.0,28301.0,51271209.0,Asia,3750.0,174987.0,35.0
67.0,Denmark,13173,49.0,611.0,1.0,12209.0,14.0,353.0,5.0,2274.0,105.0,1306743.0,225568.0,5793111.0,Europe,440.0,9481.0,4.0
