#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/  1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
163.0,Comoros,328,,7.0,,311.0,,10.0,,377.0,8.0,,,870261.0,Africa,2653.0,124323.0,
164.0,Guyana,315,,19.0,,156.0,,140.0,5.0,400.0,24.0,3483.0,4427.0,786719.0,South America,2498.0,41406.0,226.0
165.0,Lesotho,311,55.0,6.0,3.0,69.0,21.0,236.0,,145.0,3.0,6033.0,2815.0,2142969.0,Africa,6891.0,357162.0,355.0
166.0,Burundi,303,,1.0,,207.0,,95.0,,25.0,0.08,6697.0,563.0,11901808.0,Africa,39280.0,11901808.0,1777.0
167.0,Mongolia,262,1.0,,,211.0,2.0,51.0,1.0,80.0,,28935.0,8821.0,3280313.0,Asia,12520.0,,113.0
168.0,Martinique,255,,15.0,,98.0,,142.0,5.0,680.0,40.0,,,375251.0,North America,1472.0,25017.0,
169.0,Eritrea,251,,,,155.0,6.0,96.0,,71.0,,,,3548358.0,Africa,14137.0,,
170.0,Cayman Islands,203,,1.0,,200.0,,2.0,,3087.0,15.0,27323.0,415540.0,65753.0,North America,324.0,65753.0,2.0
171.0,Guadeloupe,195,5.0,14.0,,172.0,15.0,9.0,4.0,487.0,35.0,13571.0,33917.0,400127.0,North America,2052.0,28581.0,29.0
172.0,Faeroe Islands,188,,,,188.0,,0.0,,3847.0,,27062.0,553744.0,48871.0,Europe,260.0,,2.0
173.0,Gibraltar,180,,,,180.0,,0.0,,5343.0,,17449.0,517913.0,33691.0,Europe,187.0,,2.0
174.0,Cambodia,171,5.0,,,133.0,,38.0,1.0,10.0,,49741.0,2974.0,16728096.0,Asia,97825.0,,336.0
175.0,Bermuda,152,,9.0,,137.0,,6.0,1.0,2441.0,145.0,15114.0,242729.0,62267.0,North America,410.0,6919.0,4.0
176.0,Brunei,141,,3.0,,138.0,,0.0,,322.0,7.0,34797.0,79508.0,437653.0,Asia,3104.0,145884.0,13.0
177.0,Trinidad and Tobago,136,3.0,8.0,,124.0,,4.0,,97.0,6.0,5983.0,4275.0,1399691.0,North America,10292.0,174961.0,234.0
178.0,Bahamas,124,,11.0,,91.0,,22.0,1.0,315.0,28.0,2567.0,6525.0,393400.0,North America,3173.0,35764.0,153.0
179.0,Aruba,111,3.0,3.0,,100.0,,8.0,,1039.0,28.0,4419.0,41382.0,106786.0,North America,962.0,35595.0,24.0
180.0,Monaco,109,,4.0,,98.0,,7.0,,2777.0,102.0,38209.0,973379.0,39254.0,Europe,360.0,9814.0,1.0
181.0,Seychelles,108,,,,27.0,,81.0,,1098.0,,,,98373.0,Africa,911.0,,
182.0,Barbados,104,,7.0,,90.0,,7.0,,362.0,24.0,9160.0,31873.0,287391.0,North America,2763.0,41056.0,31.0
183.0,Bhutan,86,2.0,,,78.0,,8.0,,111.0,,39633.0,51341.0,771955.0,Asia,8976.0,,19.0
184.0,Liechtenstein,85,1.0,1.0,,81.0,,3.0,,2229.0,26.0,900.0,23602.0,38133.0,Europe,449.0,38133.0,42.0
185.0,Sint Maarten,78,,15.0,,63.0,,0.0,,1818.0,350.0,523.0,12192.0,42896.0,North America,550.0,2860.0,82.0
186.0,Gambia,78,,3.0,,34.0,,41.0,,32.0,1.0,3573.0,1477.0,2418843.0,Africa,31011.0,806281.0,677.0
187.0,Antigua and Barbuda,74,,3.0,,57.0,,14.0,1.0,755.0,31.0,901.0,9197.0,97963.0,North America,1324.0,32654.0,109.0
188.0,Turks and Caicos,74,2.0,2.0,,12.0,,60.0,4.0,1910.0,52.0,946.0,24420.0,38738.0,North America,523.0,19369.0,41.0
189.0,French Polynesia,62,,,,60.0,,2.0,,221.0,,4649.0,16546.0,280979.0,Australia/Oceania,4532.0,,60.0
190.0,Macao,46,,,,45.0,,1.0,,71.0,,4071.0,6266.0,649685.0,Asia,14124.0,,160.0
191.0,Saint Martin,43,,3.0,,37.0,,3.0,1.0,1111.0,78.0,851.0,21995.0,38691.0,North America,900.0,12897.0,45.0
192.0,Belize,40,,2.0,,22.0,,16.0,,101.0,5.0,2786.0,7002.0,397897.0,North America,9947.0,198949.0,143.0
193.0,St. Vincent Grenadines,35,,,,29.0,,6.0,,315.0,,1268.0,11428.0,110956.0,North America,3170.0,,88.0
194.0,Curaçao,26,,1.0,,24.0,,1.0,,158.0,6.0,1080.0,6580.0,164123.0,North America,6312.0,164123.0,152.0
195.0,Fiji,26,,,,18.0,,8.0,,29.0,,4000.0,4461.0,896723.0,Australia/Oceania,34489.0,,224.0
196.0,Timor-Leste,24,,,,24.0,,0.0,,18.0,,1568.0,1188.0,1319369.0,Asia,54974.0,,841.0
197.0,Grenada,23,,,,23.0,,0.0,,204.0,,5465.0,48558.0,112546.0,North America,4893.0,,21.0
198.0,Saint Lucia,23,,,,19.0,,4.0,,125.0,,2134.0,11619.0,183664.0,North America,7985.0,,86.0
199.0,New Caledonia,22,,,,21.0,,1.0,,77.0,,9424.0,32996.0,285612.0,Australia/Oceania,12982.0,,30.0
200.0,Laos,19,,,,19.0,,0.0,,3.0,,22355.0,3071.0,7279690.0,Asia,383142.0,,326.0
201.0,Dominica,18,,,,18.0,,0.0,,250.0,,851.0,11820.0,71994.0,North America,4000.0,,85.0
202.0,Saint Kitts and Nevis,17,,,,15.0,,2.0,,319.0,,713.0,13398.0,53215.0,North America,3130.0,,75.0
203.0,Papua New Guinea,15,4.0,,,8.0,,7.0,,2.0,,7147.0,798.0,8953270.0,Australia/Oceania,596885.0,,1253.0
204.0,Falkland Islands,13,,,,13.0,,0.0,,3732.0,,1660.0,476601.0,3483.0,South America,268.0,,2.0
205.0,Greenland,13,,,,13.0,,0.0,,229.0,,5164.0,90957.0,56774.0,North America,4367.0,,11.0
206.0,Montserrat,12,,1.0,,10.0,,1.0,,2404.0,200.0,61.0,12220.0,4992.0,North America,416.0,4992.0,82.0
207.0,Vatican City,12,,,,12.0,,0.0,,14981.0,,,,801.0,Europe,67.0,,
208.0,Western Sahara,10,,1.0,,8.0,,1.0,,17.0,2.0,,,597837.0,Africa,59784.0,597837.0,
209.0,Caribbean Netherlands,10,1.0,,,7.0,,3.0,,381.0,,424.0,16163.0,26233.0,North America,2623.0,,62.0
210.0,MS Zaandam,9,,2.0,,,,7.0,,,,,,,,,,
211.0,British Virgin Islands,8,,1.0,,7.0,,0.0,,265.0,33.0,439.0,14517.0,30240.0,North America,3780.0,30240.0,69.0
212.0,St. Barth,6,,,,6.0,,0.0,,607.0,,507.0,51326.0,9878.0,North America,1646.0,,19.0
213.0,Saint Pierre Miquelon,4,2.0,,,1.0,,3.0,,690.0,,,,5793.0,North America,1448.0,,
214.0,Anguilla,3,,,,3.0,,0.0,,200.0,,380.0,25318.0,15009.0,North America,5003.0,,39.0
215.0,China,83622,10.0,4634.0,,78737.0,18.0,251.0,3.0,58.0,3.0,90410000.0,62814.0,1439323776.0,Asia,17212.0,310601.0,16.0
,Total:,4380110,60569.0,193062.0,1264.0,2075942.0,47689.0,2111106.0,19969.0,,,,,,North America,,,
,Total:,3127526,13085.0,112533.0,282.0,2079143.0,3054.0,935850.0,13655.0,,,,,,South America,,,
,Total:,3254724,60429.0,76506.0,1305.0,2295361.0,42732.0,882857.0,19979.0,,,,,,Asia,,,
,Total:,2644152,14601.0,198586.0,421.0,1570890.0,11923.0,874676.0,5247.0,,,,,,Europe,,,
,Total:,685552,17484.0,14706.0,264.0,362012.0,15512.0,308834.0,1030.0,,,,,,Africa,,,
,Total:,12909,430.0,138.0,3.0,9730.0,89.0,3041.0,32.0,,,,,,Australia/Oceania,,,
,Total:,721,,15.0,,651.0,,55.0,4.0,,,,,,,,,
,Total:,14105694,166598.0,595546.0,3539.0,8393729.0,120999.0,5116419.0,59916.0,1809.6,76.4,,,,All,,,
