#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
,North America,2180717,5026.0,131984.0,841.0,867721.0,2264.0,1181012.0,19471.0,,,,,,North America,,,
,South America,1030697,607.0,46090.0,15.0,489396.0,5034.0,495211.0,11695.0,,,,,,South America,,,
,Europe,2045150,,177088.0,,1042090.0,,825972.0,9306.0,,,,,,Europe,,,
,Asia,1264337,4336.0,33126.0,68.0,767590.0,2102.0,463621.0,14527.0,,,,,,Asia,,,
,Africa,172183,,4783.0,,75830.0,,91570.0,449.0,,,,,,Africa,,,
,Oceania,8857,7.0,124.0,,8266.0,33.0,467.0,4.0,,,,,,Australia/Oceania,,,
,,721,,15.0,,651.0,,55.0,4.0,,,,,,,,,
,World,6702662,9976.0,393210.0,924.0,3251544.0,9433.0,3057908.0,55456.0,860.0,50.4,,,,All,,,
1.0,USA,1924051,,110173.0,,712252.0,,1101626.0,17083.0,5815.0,333.0,19568069.0,59142.0,330864650.0,North America,172.0,3003.0,17.0
2.0,Brazil,615870,,34039.0,,274997.0,,306834.0,8318.0,2899.0,160.0,986365.0,4643.0,212451006.0,South America,345.0,6241.0,215.0
3.0,Russia,441108,,5384.0,,204623.0,,231101.0,2300.0,3023.0,37.0,11733051.0,80402.0,145930189.0,Europe,331.0,27104.0,12.0
4.0,Spain,287740,,27133.0,,,,,617.0,6154.0,580.0,4063843.0,86921.0,46753542.0,Europe,162.0,1723.0,12.0
5.0,UK,281661,,39904.0,,,,,604.0,4151.0,588.0,5005565.0,73762.0,67860771.0,Europe,241.0,1701.0,14.0
6.0,Italy,234013,,33689.0,,161895.0,,38429.0,338.0,3870.0,557.0,4049544.0,66970.0,60467811.0,Europe,258.0,1795.0,15.0
7.0,India,226770,57.0,6363.0,,109462.0,1012.0,110945.0,8944.0,164.0,5.0,4242718.0,3077.0,1379011457.0,Asia,6081.0,216723.0,325.0
8.0,Germany,184923,,8736.0,,167800.0,,8387.0,600.0,2208.0,104.0,4348880.0,51917.0,83765266.0,Europe,453.0,9589.0,19.0
9.0,Peru,183198,,5031.0,,76228.0,,101939.0,1005.0,5562.0,153.0,1135831.0,34485.0,32937238.0,South America,180.0,6547.0,29.0
10.0,Turkey,167410,,4630.0,,131778.0,,31002.0,602.0,1987.0,55.0,2209583.0,26220.0,84272204.0,Asia,503.0,18201.0,38.0
11.0,Iran,164270,,8071.0,,127485.0,,28714.0,2569.0,1958.0,96.0,1019362.0,12148.0,83912575.0,Asia,511.0,10397.0,82.0
12.0,France,152444,,29065.0,,69976.0,,53403.0,1163.0,2336.0,445.0,1384633.0,21216.0,65263516.0,Europe,428.0,2245.0,47.0
13.0,Chile,118292,,1356.0,,95631.0,4883.0,21305.0,1496.0,6192.0,71.0,646458.0,33838.0,19104300.0,South America,162.0,14089.0,30.0
14.0,Mexico,105680,4442.0,12545.0,816.0,75448.0,2177.0,17687.0,378.0,820.0,97.0,314063.0,2438.0,128833133.0,North America,1219.0,10270.0,410.0
15.0,Canada,93726,,7637.0,,51739.0,,34350.0,1727.0,2485.0,202.0,1791106.0,47487.0,37718122.0,North America,402.0,4939.0,21.0
16.0,Saudi Arabia,93157,,611.0,,68965.0,,23581.0,1321.0,2679.0,18.0,887209.0,25515.0,34772530.0,Asia,373.0,56911.0,39.0
17.0,Pakistan,89249,3985.0,1838.0,68.0,31198.0,1070.0,56213.0,111.0,405.0,8.0,638323.0,2894.0,220556339.0,Asia,2471.0,119998.0,346.0
18.0,Qatar,63741,,45.0,,39468.0,,24228.0,239.0,22701.0,16.0,241086.0,85863.0,2807805.0,Asia,44.0,62396.0,12.0
19.0,Belgium,58767,,9548.0,,16048.0,,33171.0,143.0,5072.0,824.0,900282.0,77704.0,11586077.0,Europe,197.0,1213.0,13.0
20.0,Bangladesh,57563,,781.0,,12161.0,,44621.0,1.0,350.0,5.0,358277.0,2177.0,164569193.0,Asia,2859.0,210716.0,459.0
21.0,Netherlands,46942,,5990.0,,,,,113.0,2740.0,350.0,378912.0,22117.0,17132248.0,Europe,365.0,2860.0,45.0
22.0,Belarus,45981,,253.0,,21162.0,,24566.0,92.0,4866.0,27.0,585065.0,61915.0,9449534.0,Europe,206.0,37350.0,16.0
23.0,Sweden,41883,,4562.0,,,,,2143.0,4149.0,452.0,275500.0,27291.0,10094775.0,Europe,241.0,2213.0,37.0
24.0,Ecuador,40966,,3486.0,,20019.0,,17461.0,252.0,2325.0,198.0,119375.0,6774.0,17622682.0,South America,430.0,5055.0,148.0
25.0,South Africa,40792,,848.0,,21311.0,,18633.0,208.0,688.0,14.0,820675.0,13850.0,59252862.0,Africa,1453.0,69874.0,72.0
26.0,UAE,37018,,273.0,,19572.0,,17173.0,1.0,3746.0,28.0,2145493.0,217122.0,9881514.0,Asia,267.0,36196.0,5.0
27.0,Singapore,36922,,24.0,,23904.0,,12994.0,5.0,6315.0,4.0,408495.0,69864.0,5847022.0,Asia,158.0,243626.0,14.0
28.0,Colombia,35120,,1087.0,,12921.0,,21112.0,335.0,691.0,21.0,374592.0,7368.0,50842963.0,South America,1448.0,46774.0,136.0
29.0,Portugal,33592,,1455.0,,20323.0,,11814.0,58.0,3294.0,143.0,847181.0,83068.0,10198688.0,Europe,304.0,7009.0,12.0
30.0,Switzerland,30913,,1921.0,,28600.0,,392.0,27.0,3574.0,222.0,409450.0,47335.0,8650074.0,Europe,280.0,4503.0,21.0
31.0,Kuwait,29921,,236.0,,17223.0,,12462.0,184.0,7014.0,55.0,306006.0,71735.0,4265782.0,Asia,143.0,18075.0,14.0
32.0,Egypt,29767,,1126.0,,7756.0,,20885.0,41.0,291.0,11.0,135000.0,1321.0,102183789.0,Africa,3433.0,90749.0,757.0
33.0,Indonesia,28818,,1721.0,,8892.0,,18205.0,,105.0,6.0,367640.0,1345.0,273310806.0,Asia,9484.0,158809.0,743.0
34.0,Ukraine,25411,,747.0,,11042.0,,13622.0,297.0,581.0,17.0,392316.0,8967.0,43750846.0,Europe,1722.0,58569.0,112.0
35.0,Ireland,25142,,1664.0,,22698.0,,780.0,36.0,5096.0,337.0,348416.0,70619.0,4933710.0,Europe,196.0,2965.0,14.0
36.0,Poland,25048,,1117.0,,12227.0,,11704.0,160.0,662.0,30.0,996604.0,26331.0,37849409.0,Europe,1511.0,33885.0,38.0
37.0,Philippines,20382,,984.0,,4248.0,,15150.0,82.0,186.0,9.0,389190.0,3555.0,109471641.0,Asia,5371.0,111252.0,281.0
38.0,Argentina,20197,,608.0,,5993.0,,13596.0,274.0,447.0,13.0,178448.0,3951.0,45165566.0,South America,2236.0,74285.0,253.0
39.0,Romania,19907,,1305.0,,13919.0,,4683.0,153.0,1034.0,68.0,472850.0,24569.0,19245993.0,Europe,967.0,14748.0,41.0
40.0,Dominican Republic,18319,,520.0,,11474.0,,6325.0,110.0,1690.0,48.0,86285.0,7960.0,10839938.0,North America,592.0,20846.0,126.0
41.0,Afghanistan,18054,,300.0,,1585.0,,16169.0,19.0,465.0,8.0,43569.0,1121.0,38858170.0,Asia,2152.0,129527.0,892.0
42.0,Israel,17495,,291.0,,15013.0,,2191.0,27.0,1902.0,32.0,606596.0,65952.0,9197590.0,Asia,526.0,31607.0,15.0
43.0,Japan,17018,,903.0,,14867.0,,1248.0,102.0,135.0,7.0,303633.0,2400.0,126502211.0,Asia,7433.0,140091.0,417.0
