#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,North America,115205479,2369.0,1529546.0,23.0,109268953.0,6420.0,4406980.0,9125.0,,,,,,North America,,,,,,
,Asia,186376992,151955.0,1472853.0,293.0,179449521.0,292286.0,5454618.0,12064.0,,,,,,Asia,,,,,,
,Europe,223261713,572.0,1908861.0,1.0,217409819.0,38358.0,3943033.0,9057.0,,,,,,Europe,,,,,,
,South America,63844398,,1327174.0,,61961656.0,5680.0,555568.0,10411.0,,,,,,South America,,,,,,
,Oceania,12246476,2335.0,20041.0,6.0,12058244.0,1156.0,168191.0,115.0,,,,,,Australia/Oceania,,,,,,
,Africa,12626900,,257493.0,,11965418.0,,403989.0,1023.0,,,,,,Africa,,,,,,
,,721,,15.0,,706.0,,0.0,0.0,,,,,,,,,,,,
,World,613562679,157231.0,6515983.0,323.0,592114317.0,343900.0,14932379.0,41795.0,78714.0,835.9,,,,All,,,,,,
1.0,USA,97082331,,1075659.0,,93157385.0,,2849287.0,3749.0,,,1108538238.0,,,North America,,,,,,
2.0,India,44495359,,528150.0,,43919264.0,,47945.0,698.0,31564.0,375.0,888710787.0,630434.0,1409680829.0,Asia,32.0,2669.0,2.0,,,34.0
3.0,France,34701710,,154468.0,,34200144.0,,347098.0,869.0,529076.0,2355.0,271490188.0,4139243.0,65589328.0,Europe,2.0,425.0,0.0,,,5292.0
4.0,Brazil,34572480,,684906.0,,33612456.0,,275118.0,8318.0,160159.0,3173.0,63776166.0,295446.0,215864021.0,South America,6.0,315.0,3.0,,,1274.0
5.0,Germany,32452250,,148299.0,,31662500.0,9700.0,641451.0,1406.0,384643.0,1758.0,122332384.0,1449955.0,84369757.0,Europe,3.0,569.0,1.0,,,7603.0
6.0,S. Korea,24004887,28214.0,27476.0,47.0,22561211.0,139117.0,1416200.0,525.0,467333.0,535.0,15804065.0,307678.0,51365654.0,Asia,2.0,1869.0,3.0,549.0,0.9,27571.0
