#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/  1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,North America,121048105,,1576623.0,,115889562.0,2219.0,3581920.0,9240.0,,,,,,North America,,,,,,
,Asia,205540890,122802.0,1509341.0,362.0,193025681.0,95388.0,11005868.0,10389.0,,,,,,Asia,,,,,,
,Europe,242454704,102.0,1978385.0,2.0,236289854.0,72562.0,4186465.0,7850.0,,,,,,Europe,,,,,,
,South America,66557562,,1340562.0,,64001156.0,14623.0,1215844.0,10194.0,,,,,,South America,,,,,,
,Oceania,13544054,1605.0,23196.0,,13189971.0,,330887.0,158.0,,,,,,Australia/Oceania,,,,,,
,Africa,12736818,,258322.0,,12034386.0,25.0,444110.0,844.0,,,,,,Africa,,,,,,
,,721,,15.0,,706.0,,0.0,0.0,,,,,,,,,,,,
,World,661882854,124509.0,6686444.0,364.0,634431316.0,184817.0,20765094.0,38675.0,84913.0,857.8,,,,All,,,,,,
1.0,USA,102236095,,1116084.0,,99225507.0,,1894504.0,4057.0,305360.0,3334.0,1150868294.0,3437426.0,334805269.0,North America,3.0,300.0,0.0,,,5659.0
2.0,India,44678379,,530695.0,,44143179.0,,4505.0,698.0,31763.0,377.0,909779391.0,646779.0,1406631776.0,Asia,31.0,2651.0,2.0,,,3.0
3.0,France,39159757,,161152.0,,37917413.0,10591.0,1081192.0,869.0,597088.0,2457.0,271490188.0,4139547.0,65584518.0,Europe,2.0,407.0,0.0,,,16485.0
4.0,Germany,37211937,,160768.0,,36461500.0,41400.0,589669.0,1406.0,443614.0,1917.0,122332384.0,1458359.0,83883596.0,Europe,2.0,522.0,1.0,,,7030.0
5.0,Brazil,36171154,,692934.0,,34712349.0,,765871.0,8318.0,167962.0,3218.0,63776166.0,296146.0,215353593.0,South America,6.0,311.0,3.0,,,3556.0
6.0,S. Korea,28684600,25545.0,31832.0,42.0,27517031.0,65207.0,1135737.0,583.0,558828.0,620.0,15804065.0,307892.0,51329899.0,Asia,2.0,1613.0,3.0,498.0,0.8,22126.0
7.0,Japan,28343661,77256.0,55542.0,217.0,21037646.0,13505.0,7250473.0,563.0,225693.0,442.0,85881576.0,683853.0,125584838.0,Asia,4.0,2261.0,1.0,615.0,2.0,57734.0
8.0,Italy,25021606,,183936.0,,24401205.0,,436465.0,312.0,415208.0,3052.0,261751623.0,4343505.0,60262770.0,Europe,2.0,328.0,0.0,,,7243.0
9.0,UK,24135084,,198937.0,,23822324.0,4626.0,113823.0,146.0,352348.0,2904.0,522526476.0,7628357.0,68497907.0,Europe,3.0,344.0,0.0,,,1662.0
10.0,Russia,21764292,,393383.0,,21163398.0,,207511.0,2300.0,149269.0,2698.0,273400000.0,1875095.0,145805947.0,Europe,7.0,371.0,1.0,,,1423.0
11.0,Turkey,17042722,,101492.0,,,,,,199186.0,1186.0,162743369.0,1902052.0,85561976.0,Asia,5.0,843.0,1.0,,,1819.0
12.0,Spain,13670037,,116899.0,,13466158.0,,86980.0,339.0,292600.0,2502.0,471036328.0,10082298.0,46719142.0,Europe,3.0,400.0,0.0,,,1862.0
13.0,Vietnam,11524273,,43184.0,,10610804.0,,870285.0,37.0,116461.0,436.0,85826548.0,867342.0,98953541.0,Asia,9.0,2291.0,1.0,,,8795.0
14.0,Australia,11078796,1605.0,16940.0,,10869679.0,,192177.0,103.0,424983.0,650.0,78835048.0,3024116.0,26068792.0,Australia/Oceania,2.0,1539.0,0.0,62.0,,7372.0
15.0,Argentina,9829236,,130080.0,,9597167.0,,101989.0,248.0,213632.0,2827.0,35716069.0,776264.0,46010234.0,South America,5.0,354.0,1.0,,,2217.0
16.0,Taiwan,8713634,14234.0,15113.0,14.0,8380360.0,15992.0,318161.0,,364761.0,633.0,29097438.0,1218047.0,23888595.0,Asia,3.0,1581.0,1.0,596.0,0.6,13319.0
17.0,Netherlands,8562993,,22967.0,,8516330.0,814.0,23696.0,51.0,497517.0,1334.0,25984435.0,1509718.0,17211447.0,Europe,2.0,749.0,1.0,,,1377.0
18.0,Iran,7560792,,144674.0,,7335938.0,,80180.0,67.0,87893.0,1682.0,54420785.0,632632.0,86022837.0,Asia,11.0,595.0,2.0,,,932.0
19.0,Mexico,7221051,,331013.0,,6451836.0,,438202.0,4798.0,54887.0,2516.0,18942791.0,143983.0,131562772.0,North America,18.0,397.0,7.0,,,3331.0
20.0,Indonesia,6716124,,160537.0,,6535356.0,,20231.0,2771.0,24061.0,575.0,113681592.0,407265.0,279134505.0,Asia,42.0,1739.0,2.0,,,72.0
21.0,Poland,6365476,,118475.0,,5335940.0,,911061.0,1530.0,168668.0,3139.0,37945398.0,1005448.0,37739785.0,Europe,6.0,319.0,1.0,,,24141.0
