#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,North America,47548645,17546.0,990071.0,764.0,37419401.0,15493.0,9139173.0,32599.0,,,,,,North America,,,,,,
,Asia,69427183,35498.0,1024445.0,573.0,64643725.0,46574.0,3759013.0,41556.0,,,,,,Asia,,,,,,
,South America,36843048,355.0,1128001.0,11.0,34614253.0,682.0,1100794.0,23210.0,,,,,,South America,,,,,,
,Europe,54999589,2434.0,1169077.0,42.0,50026741.0,4207.0,3803771.0,11246.0,,,,,,Europe,,,,,,
,Africa,7791862,,194566.0,,6885726.0,,711570.0,4544.0,,,,,,Africa,,,,,,
,Oceania,158969,1389.0,2089.0,6.0,113128.0,,43752.0,231.0,,,,,,Australia/Oceania,,,,,,
,,721,,15.0,,706.0,,0.0,0.0,,,,,,,,,,,,
,World,216770017,57222.0,4508264.0,1396.0,193703680.0,66956.0,18558073.0,113386.0,27810.0,578.4,,,,All,,,,,,
1.0,USA,39617417,,654381.0,,30812242.0,,8150794.0,25398.0,118883.0,1964.0,578473611.0,1735872.0,333246650.0,North America,8.0,509.0,1.0,,,24459.0
2.0,India,32695030,842.0,437860.0,,31888642.0,7514.0,368528.0,8944.0,23426.0,314.0,518642929.0,371606.0,1395679594.0,Asia,43.0,3188.0,3.0,0.6,,264.0
3.0,Brazil,20728605,,579052.0,,19646400.0,,503153.0,8318.0,96724.0,2702.0,56580445.0,264017.0,214305905.0,South America,10.0,370.0,4.0,,,2348.0
4.0,Russia,6863541,,180840.0,,6131446.0,,551255.0,2300.0,47008.0,1239.0,177600000.0,1216381.0,146006865.0,Europe,21.0,807.0,1.0,,,3776.0
5.0,France,6728858,,114157.0,,6191001.0,,423700.0,2270.0,102824.0,1744.0,121518857.0,1856934.0,65440587.0,Europe,10.0,573.0,1.0,,,6475.0
6.0,UK,6698486,,132376.0,,5337919.0,,1228191.0,982.0,98077.0,1938.0,266714771.0,3905143.0,68298328.0,Europe,10.0,516.0,0.0,,,17983.0
7.0,Turkey,6329549,,55958.0,,5798314.0,,475277.0,633.0,74127.0,655.0,75570623.0,885033.0,85387396.0,Asia,13.0,1526.0,1.0,,,5566.0
8.0,Argentina,5171458,,111324.0,,4854329.0,,205805.0,2808.0,113223.0,2437.0,21902593.0,479532.0,45674979.0,South America,9.0,410.0,2.0,,,4506.0
9.0,Colombia,4903304,,124743.0,,4734162.0,,44399.0,8155.0,95192.0,2422.0,24043550.0,466780.0,51509386.0,South America,11.0,413.0,2.0,,,862.0
10.0,Iran,4895448,,105901.0,,4117098.0,,672449.0,7845.0,57435.0,1242.0,28213229.0,331008.0,85234344.0,Asia,17.0,805.0,3.0,,,7889.0
11.0,Spain,4831809,,84000.0,,4258193.0,,489616.0,1685.0,103297.0,1796.0,60618810.0,1295946.0,46775732.0,Europe,10.0,557.0,1.0,,,10467.0
12.0,Italy,4524292,,129056.0,,4255808.0,,139428.0,511.0,74956.0,2138.0,83395187.0,1381654.0,60358931.0,Europe,13.0,468.0,1.0,,,2310.0
13.0,Indonesia,4066404,,131372.0,,3707850.0,,227182.0,,14687.0,474.0,31712250.0,114541.0,276864797.0,Asia,68.0,2107.0,9.0,,,821.0
14.0,Germany,3933569,,92631.0,,3726700.0,3500.0,114238.0,974.0,46776.0,1102.0,68329706.0,812542.0,84093794.0,Europe,21.0,908.0,1.0,,,1358.0
15.0,Mexico,3328863,17546.0,257906.0,756.0,2655396.0,15493.0,415561.0,4798.0,25509.0,1976.0,9698652.0,74321.0,130497609.0,North America,39.0,506.0,13.0,134.0,6.0,3184.0
16.0,Poland,2888028,,75340.0,,2656708.0,,155980.0,50.0,76406.0,1993.0,19636867.0,519513.0,37798640.0,Europe,13.0,502.0,2.0,,,4127.0
17.0,South Africa,2757191,,81461.0,,2519781.0,,155949.0,546.0,45822.0,1354.0,16348437.0,271694.0,60172176.0,Africa,22.0,739.0,4.0,,,2592.0
18.0,Ukraine,2284191,1906.0,53720.0,34.0,2206392.0,685.0,24079.0,177.0,52595.0,1237.0,11949470.0,275146.0,43429503.0,Europe,19.0,808.0,4.0,44.0,0.8,554.0
19.0,Peru,2148419,,198167.0,,,,,1344.0,64128.0,5915.0,16682090.0,497942.0,33502101.0,South America,16.0,169.0,2.0,,,6853.0
20.0,Philippines,1935700,,33008.0,,1760013.0,,142679.0,3055.0,17397.0,297.0,18536715.0,166600.0,111265058.0,Asia,57.0,3371.0,6.0,,,1282.0
21.0,Netherlands,1934283,,17994.0,,1841205.0,,75084.0,216.0,112598.0,1047.0,16482481.0,959470.0,17178728.0,Europe,9.0,955.0,1.0,,,4371.0
22.0,Iraq,1868352,,20632.0,,1711405.0,,136315.0,957.0,45279.0,500.0,14240478.0,345117.0,41262714.0,Asia,22.0,2000.0,3.0,,,3304.0
23.0,Malaysia,1685510,,15802.0,,1401160.0,,268548.0,986.0,51317.0,481.0,22329052.0,679834.0,32844839.0,Asia,19.0,2079.0,1.0,,,8176.0
24.0,Czechia,1678862,132.0,30402.0,1.0,1646369.0,1.0,2091.0,11.0,156436.0,2833.0,35792034.0,3335087.0,10731964.0,Europe,6.0,353.0,0.0,12.0,0.09,195.0
25.0,Chile,1637234,,36841.0,,1593985.0,,6408.0,724.0,84805.0,1908.0,20145566.0,1043497.0,19305824.0,South America,12.0,524.0,1.0,,,332.0
26.0,Bangladesh,1489589,,25926.0,,1409231.0,,54432.0,1416.0,8942.0,156.0,8841472.0,53075.0,166584970.0,Asia,112.0,6425.0,19.0,,,327.0
27.0,Canada,1488236,,26898.0,,1432355.0,,28983.0,274.0,39036.0,706.0,40235533.0,1055371.0,38124545.0,North America,26.0,1417.0,1.0,,,760.0
28.0,Japan,1411443,,15851.0,,1153846.0,,241746.0,2060.0,11199.0,126.0,21439752.0,170119.0,126028268.0,Asia,89.0,7951.0,6.0,,,1918.0
29.0,Belgium,1177909,,25360.0,,1093676.0,,58873.0,182.0,101126.0,2177.0,18533278.0,1591119.0,11647950.0,Europe,10.0,459.0,1.0,,,5054.0
30.0,Thailand,1174091,16536.0,11143.0,264.0,985246.0,20927.0,177702.0,5174.0,16772.0,159.0,8129670.0,116134.0,70002571.0,Asia,60.0,6282.0,9.0,236.0,4.0,2539.0
31.0,Pakistan,1152481,3909.0,25604.0,69.0,1033373.0,3443.0,93504.0,5639.0,5103.0,113.0,17647941.0,78144.0,225838572.0,Asia,196.0,8820.0,13.0,17.0,0.3,414.0
32.0,Sweden,1123413,,14644.0,,1085412.0,,23357.0,39.0,110441.0,1440.0,11637704.0,1144085.0,10172065.0,Europe,9.0,695.0,1.0,,,2296.0
33.0,Romania,1095885,,34509.0,,1053974.0,,7402.0,238.0,57409.0,1808.0,11358294.0,595016.0,19089069.0,Europe,17.0,553.0,2.0,,,388.0
34.0,Israel,1045800,,6950.0,,957045.0,,81805.0,703.0,112138.0,745.0,18920738.0,2028816.0,9326000.0,Asia,9.0,1342.0,0.0,,,8772.0
35.0,Portugal,1033165,,17711.0,,970497.0,,44957.0,143.0,101667.0,1743.0,16856683.0,1658748.0,10162293.0,Europe,10.0,574.0,1.0,,,4424.0
36.0,Morocco,849532,,12361.0,,773619.0,,63552.0,1348.0,22705.0,330.0,8886549.0,237508.0,37415829.0,Africa,44.0,3027.0,4.0,,,1699.0
37.0,Hungary,811706,,30057.0,,775286.0,,6363.0,8.0,84272.0,3121.0,6542042.0,679202.0,9631958.0,Europe,12.0,320.0,1.0,,,661.0
38.0,Jordan,794350,,10368.0,,771842.0,,12140.0,615.0,76971.0,1005.0,9170129.0,888565.0,10320157.0,Asia,13.0,995.0,1.0,,,1176.0
39.0,Kazakhstan,779927,5993.0,9118.0,135.0,662158.0,5271.0,108651.0,221.0,40971.0,479.0,11575012.0,608056.0,19036091.0,Asia,24.0,2088.0,2.0,315.0,7.0,5708.0
40.0,Switzerland,770758,,10967.0,,705104.0,,54687.0,223.0,88311.0,1257.0,9658850.0,1106679.0,8727777.0,Europe,11.0,796.0,1.0,,,6266.0
41.0,Nepal,758008,,10690.0,,710452.0,,36866.0,,25487.0,359.0,3886878.0,130689.0,29741323.0,Asia,39.0,2782.0,8.0,,,1240.0
42.0,Serbia,755895,,7257.0,,719206.0,,29432.0,74.0,86918.0,834.0,4987618.0,573512.0,8696626.0,Europe,12.0,1198.0,2.0,,,3384.0
43.0,UAE,715394,,2036.0,,700548.0,,12810.0,,71337.0,203.0,73776974.0,7356800.0,10028406.0,Asia,14.0,4926.0,0.0,,,1277.0
44.0,Austria,684541,,10777.0,,659053.0,,14711.0,109.0,75508.0,1189.0,75680725.0,8347928.0,9065810.0,Europe,13.0,841.0,0.0,,,1623.0
45.0,Tunisia,658322,,23182.0,,607318.0,,27822.0,522.0,55037.0,1938.0,2559309.0,213963.0,11961479.0,Africa,18.0,516.0,5.0,,,2326.0
46.0,Cuba,634161,,5067.0,,587514.0,,41580.0,446.0,56028.0,448.0,7797481.0,688908.0,11318616.0,North America,18.0,2234.0,1.0,,,3674.0
47.0,Lebanon,599298,,8040.0,,551433.0,,39825.0,54.0,88261.0,1184.0,4759054.0,700886.0,6790057.0,Asia,11.0,845.0,1.0,,,5865.0
48.0,Greece,579734,,13544.0,,526034.0,,40156.0,333.0,55937.0,1307.0,15305343.0,1476765.0,10364105.0,Europe,18.0,765.0,1.0,,,3875.0
49.0,Saudi Arabia,543796,,8526.0,,531733.0,,3537.0,978.0,15344.0,241.0,27279215.0,769738.0,35439591.0,Asia,65.0,4157.0,1.0,,,100.0
50.0,Georgia,543118,2669.0,7251.0,76.0,482732.0,6177.0,53135.0,,136451.0,1822.0,7973106.0,2003140.0,3980304.0,Asia,7.0,549.0,0.0,671.0,19.0,13349.0
51.0,Ecuador,501049,,32223.0,,443880.0,,24946.0,759.0,27910.0,1795.0,1761735.0,98134.0,17952268.0,South America,36.0,557.0,10.0,,,1390.0
52.0,Bolivia,489802,355.0,18402.0,11.0,432610.0,682.0,38790.0,220.0,41310.0,1552.0,2273962.0,191785.0,11856855.0,South America,24.0,644.0,5.0,30.0,0.9,3272.0
53.0,Belarus,477901,,3745.0,,471018.0,,3138.0,,50594.0,396.0,7757953.0,821319.0,9445726.0,Europe,20.0,2522.0,1.0,,,332.0
54.0,Guatemala,463753,,11818.0,,397556.0,,54379.0,5.0,25345.0,646.0,2171923.0,118698.0,18297818.0,North America,39.0,1548.0,8.0,,,2972.0
55.0,Paraguay,458291,,15698.0,,436563.0,,6030.0,130.0,63355.0,2170.0,1770360.0,244737.0,7233716.0,South America,16.0,461.0,4.0,,,834.0
56.0,Panama,456203,,7043.0,,441134.0,,8026.0,108.0,103844.0,1603.0,3645494.0,829813.0,4393153.0,North America,10.0,624.0,1.0,,,1827.0
57.0,Costa Rica,455784,,5431.0,,366572.0,,83781.0,445.0,88538.0,1055.0,2006420.0,389757.0,5147868.0,North America,11.0,948.0,3.0,,,16275.0
58.0,Bulgaria,451148,,18705.0,,404198.0,,28245.0,297.0,65499.0,2716.0,4159488.0,603887.0,6887863.0,Europe,15.0,368.0,2.0,,,4101.0
59.0,Vietnam,422469,,10405.0,,210989.0,,201075.0,,4296.0,106.0,15271562.0,155277.0,98350587.0,Asia,233.0,9452.0,6.0,,,2044.0
60.0,Sri Lanka,421557,,8583.0,,355394.0,,57580.0,,19592.0,399.0,4575585.0,212649.0,21517076.0,Asia,51.0,2507.0,5.0,,,2676.0
61.0,Azerbaijan,413986,,5512.0,,358230.0,,50244.0,,40409.0,538.0,4414517.0,430904.0,10244777.0,Asia,25.0,1859.0,2.0,,,4904.0
62.0,Kuwait,409363,,2416.0,,404217.0,,2730.0,89.0,94248.0,556.0,3750289.0,863431.0,4343472.0,Asia,11.0,1798.0,1.0,,,629.0
63.0,Slovakia,394657,,12548.0,,380907.0,,1202.0,13.0,72246.0,2297.0,3308315.0,605619.0,5462702.0,Europe,14.0,435.0,2.0,,,220.0
64.0,Myanmar,389134,,15077.0,,311952.0,,62105.0,,7097.0,275.0,3503188.0,63890.0,54831439.0,Asia,141.0,3637.0,16.0,,,1133.0
65.0,Uruguay,384622,,6027.0,,377426.0,,1169.0,10.0,110281.0,1728.0,3311769.0,949570.0,3487653.0,South America,9.0,579.0,1.0,,,335.0
66.0,Croatia,372814,,8324.0,,361056.0,,3434.0,43.0,91467.0,2042.0,2521032.0,618514.0,4075950.0,Europe,11.0,490.0,2.0,,,843.0
67.0,Dominican Republic,349620,,4007.0,,340472.0,,5141.0,133.0,31860.0,365.0,1948204.0,177536.0,10973587.0,North America,31.0,2739.0,6.0,,,468.0
68.0,Ireland,348067,,5092.0,,292956.0,,50019.0,61.0,69593.0,1018.0,6415912.0,1282799.0,5001495.0,Europe,14.0,982.0,1.0,,,10001.0
69.0,Denmark,343351,,2577.0,,327615.0,,13159.0,19.0,59038.0,443.0,80690548.0,13874387.0,5815792.0,Europe,17.0,2257.0,0.0,,,2263.0
70.0,Palestine,335709,,3669.0,,316520.0,,15520.0,46.0,64090.0,700.0,2148876.0,410242.0,5238063.0,Asia,16.0,1428.0,2.0,,,2963.0
71.0,Honduras,335398,,8832.0,,106597.0,,219969.0,654.0,33253.0,876.0,968331.0,96004.0,10086398.0,North America,30.0,1142.0,10.0,,,21808.0
72.0,Venezuela,332172,,3986.0,,317336.0,,10850.0,681.0,11720.0,141.0,3359014.0,118514.0,28342677.0,South America,85.0,7111.0,8.0,,,383.0
73.0,Ethiopia,305077,,4631.0,,273515.0,,26931.0,561.0,2580.0,39.0,3219174.0,27225.0,118243879.0,Africa,388.0,25533.0,37.0,,,228.0
74.0,Libya,303790,,4165.0,,217624.0,,82001.0,,43528.0,597.0,1503172.0,215380.0,6979168.0,Africa,23.0,1676.0,5.0,,,11749.0
75.0,Oman,301784,,4049.0,,291039.0,,6696.0,68.0,57415.0,770.0,1550000.0,294889.0,5256211.0,Asia,17.0,1298.0,3.0,,,1274.0
76.0,Lithuania,297777,396.0,4539.0,7.0,279529.0,104.0,13709.0,100.0,111183.0,1695.0,4402764.0,1643888.0,2678263.0,Europe,9.0,590.0,1.0,148.0,3.0,5119.0
