#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,North America,114072495,898.0,1522093.0,11.0,107730246.0,10011.0,4820156.0,9473.0,,,,,,North America,,,,,,
,Asia,183107085,297661.0,1465850.0,511.0,174625338.0,412894.0,7015897.0,12816.0,,,,,,Asia,,,,,,
,Europe,221410342,123611.0,1901263.0,392.0,215017754.0,232226.0,4491325.0,9246.0,,,,,,Europe,,,,,,
,South America,63558668,4159.0,1324894.0,11.0,61537944.0,38533.0,695830.0,10540.0,,,,,,South America,,,,,,
,Oceania,12126836,15086.0,19342.0,86.0,11884646.0,4357.0,222848.0,141.0,,,,,,Australia/Oceania,,,,,,
,Africa,12603491,346.0,257359.0,1.0,11938709.0,186.0,407423.0,1031.0,,,,,,Africa,,,,,,
,,721,,15.0,,706.0,,0.0,0.0,,,,,,,,,,,,
,World,606879638,441761.0,6490816.0,1012.0,582735343.0,698207.0,17653479.0,43247.0,77857.0,832.7,,,,All,,,,,,
1.0,USA,96091120,,1069499.0,,91758677.0,,3262944.0,4092.0,,,1099972835.0,,,North America,,,,,,
2.0,India,44419671,,527829.0,,43825024.0,,66818.0,698.0,31520.0,375.0,885528970.0,628375.0,1409236346.0,Asia,32.0,2670.0,2.0,,,47.0
3.0,France,34509961,27358.0,154039.0,72.0,33991002.0,27003.0,364920.0,869.0,526190.0,2349.0,271490188.0,4139541.0,65584606.0,Europe,2.0,426.0,0.0,417.0,1.0,5564.0
4.0,Brazil,34397205,,683718.0,,33392136.0,,321351.0,8318.0,159383.0,3168.0,63776166.0,295514.0,215814557.0,South America,6.0,316.0,3.0,,,1489.0
5.0,Germany,32095854,,147223.0,,31204400.0,73400.0,744231.0,1406.0,380458.0,1745.0,122332384.0,1450106.0,84360997.0,Europe,3.0,573.0,1.0,,,8822.0
6.0,UK,23492875,,187761.0,,23189972.0,9080.0,115142.0,146.0,342191.0,2735.0,522526476.0,7610990.0,68654207.0,Europe,3.0,366.0,0.0,,,1677.0
7.0,S. Korea,23142479,115519.0,26689.0,71.0,21085222.0,128622.0,2030568.0,591.0,450556.0,520.0,15804065.0,307686.0,51364213.0,Asia,2.0,1925.0,3.0,2249.0,1.0,39533.0
8.0,Italy,21845943,31087.0,175505.0,98.0,21010197.0,39512.0,660241.0,226.0,362466.0,2912.0,242250595.0,4019397.0,60270376.0,Europe,3.0,343.0,0.0,516.0,2.0,10955.0
9.0,Russia,19482648,37067.0,384254.0,94.0,18557580.0,36729.0,540814.0,2300.0,133380.0,2631.0,273400000.0,1871715.0,146069228.0,Europe,7.0,380.0,1.0,254.0,0.6,3702.0
10.0,Japan,18632422,125907.0,39253.0,248.0,16678164.0,222175.0,1915005.0,618.0,148297.0,312.0,70939816.0,564615.0,125642795.0,Asia,7.0,3201.0,2.0,1002.0,2.0,15242.0
11.0,Turkey,16671848,,100400.0,,,,,975.0,193197.0,1163.0,162743369.0,1885908.0,86294418.0,Asia,5.0,860.0,1.0,,,2888.0
12.0,Spain,13332976,,112454.0,,13092617.0,,127905.0,339.0,284931.0,2403.0,471036328.0,10066217.0,46793780.0,Europe,4.0,416.0,0.0,,,2733.0
13.0,Vietnam,11408952,3241.0,43117.0,4.0,10170271.0,13142.0,1195564.0,137.0,114980.0,435.0,85826548.0,864965.0,99225503.0,Asia,9.0,2301.0,1.0,33.0,0.04,12049.0
14.0,Australia,10018037,12181.0,13834.0,75.0,9872614.0,,131589.0,86.0,383284.0,529.0,78132677.0,2989309.0,26137367.0,Australia/Oceania,3.0,1889.0,0.0,466.0,3.0,5035.0
15.0,Argentina,9678225,,129711.0,,9472823.0,5970.0,75691.0,456.0,209989.0,2814.0,35716069.0,774932.0,46089301.0,South America,5.0,355.0,1.0,,,1642.0
16.0,Netherlands,8385110,1289.0,22599.0,1.0,8313978.0,2376.0,48533.0,34.0,487038.0,1313.0,21107399.0,1225996.0,17216532.0,Europe,2.0,762.0,1.0,75.0,0.06,2819.0
17.0,Iran,7527499,1871.0,143820.0,44.0,7292566.0,3816.0,91113.0,1104.0,87215.0,1666.0,53730223.0,622531.0,86309382.0,Asia,11.0,600.0,2.0,22.0,0.5,1056.0
18.0,Mexico,7015375,865.0,329401.0,11.0,6267907.0,5871.0,418067.0,4798.0,53207.0,2498.0,18145182.0,137618.0,131851383.0,North America,19.0,400.0,7.0,7.0,0.08,3171.0
19.0,Indonesia,6354245,5070.0,157541.0,20.0,6151650.0,4510.0,45054.0,2771.0,22714.0,563.0,106645001.0,381208.0,279755377.0,Asia,44.0,1776.0,3.0,18.0,0.07,161.0
20.0,Colombia,6299595,,141519.0,,6122457.0,,35619.0,342.0,121026.0,2719.0,36279188.0,696988.0,52051411.0,South America,8.0,368.0,1.0,,,684.0
21.0,Poland,6173059,5306.0,117059.0,29.0,5335962.0,,720038.0,2782.0,163493.0,3100.0,36947074.0,978540.0,37757348.0,Europe,6.0,323.0,1.0,141.0,0.8,19070.0
22.0,Portugal,5413173,,24839.0,,5315754.0,,72580.0,61.0,534229.0,2451.0,43527258.0,4295725.0,10132692.0,Europe,2.0,408.0,0.0,,,7163.0
23.0,Taiwan,5273449,31488.0,9893.0,27.0,4791775.0,23751.0,471781.0,,220558.0,414.0,24248455.0,1014171.0,23909620.0,Asia,5.0,2417.0,1.0,1317.0,1.0,19732.0
24.0,Ukraine,5044941,,108803.0,,4921586.0,3893.0,14552.0,177.0,116867.0,2520.0,19521252.0,452214.0,43168145.0,Europe,9.0,397.0,2.0,,,337.0
25.0,Austria,4902914,4654.0,19407.0,12.0,4817884.0,7195.0,65623.0,69.0,537771.0,2129.0,195410181.0,21433370.0,9117100.0,Europe,2.0,470.0,0.0,510.0,1.0,7198.0
26.0,Malaysia,4778140,,36206.0,,4710366.0,,31568.0,75.0,143662.0,1089.0,63688201.0,1914887.0,33259514.0,Asia,7.0,919.0,1.0,,,949.0
