#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,North America,9857923,9185.0,331659.0,448.0,6530455.0,5964.0,2995809.0,18870.0,,,,,,North America,,,
,Asia,12244234,20938.0,219523.0,247.0,10595866.0,16403.0,1428845.0,20790.0,,,,,,Asia,,,
,South America,8852398,178.0,276242.0,30.0,7778532.0,857.0,797624.0,17372.0,,,,,,South America,,,
,Europe,6619545,47093.0,236188.0,572.0,3138119.0,15616.0,3245238.0,12039.0,,,,,,Europe,,,
,Africa,1621926,73.0,39150.0,,1336635.0,24.0,246141.0,1829.0,,,,,,Africa,,,
,Oceania,33464,13.0,951.0,,29952.0,1.0,2561.0,9.0,,,,,,Australia/Oceania,,,
,,721,,15.0,,659.0,,47.0,4.0,,,,,,,,,
,World,39230211,77480.0,1103728.0,1297.0,29410218.0,38865.0,8716265.0,70913.0,5033.0,141.6,,,,All,,,
1.0,USA,8219088,2773.0,222754.0,37.0,5320386.0,247.0,2675948.0,15270.0,24788.0,672.0,122698569.0,370055.0,331568664.0,North America,40.0,1488.0,3.0
2.0,India,7372394,6885.0,112214.0,68.0,6453054.0,4396.0,807126.0,8944.0,5327.0,81.0,92254927.0,66661.0,1383937818.0,Asia,188.0,12333.0,15.0
3.0,Brazil,5170996,,152513.0,,4599446.0,,419037.0,8318.0,24277.0,716.0,17900000.0,84038.0,212999232.0,South America,41.0,1397.0,12.0
4.0,Russia,1369313,15150.0,23723.0,232.0,1056582.0,8485.0,289008.0,2300.0,9382.0,163.0,52782097.0,361638.0,145952851.0,Europe,107.0,6152.0,3.0
5.0,Spain,972958,,33553.0,,,,,1702.0,20807.0,718.0,14590713.0,312033.0,46760100.0,Europe,48.0,1394.0,3.0
6.0,Argentina,949063,,25342.0,,764859.0,,158862.0,4278.0,20943.0,559.0,2311239.0,51003.0,45316126.0,South America,48.0,1788.0,20.0
7.0,Colombia,936982,,28457.0,,826831.0,,81694.0,2068.0,18358.0,558.0,4314510.0,84532.0,51039928.0,South America,54.0,1794.0,12.0
8.0,Peru,859740,,33577.0,,764750.0,,61413.0,1139.0,25971.0,1014.0,4158359.0,125614.0,33104186.0,South America,39.0,986.0,8.0
9.0,Mexico,834910,5514.0,85285.0,387.0,608188.0,4361.0,141437.0,2625.0,6456.0,659.0,2144441.0,16582.0,129325078.0,North America,155.0,1516.0,60.0
10.0,France,809684,,33125.0,,104082.0,,672477.0,1750.0,12396.0,507.0,12710074.0,194594.0,65315850.0,Europe,81.0,1972.0,5.0
11.0,South Africa,698184,,18309.0,,628301.0,,51574.0,546.0,11729.0,308.0,4481354.0,75286.0,59524571.0,Africa,85.0,3251.0,13.0
12.0,UK,673622,,43293.0,,,,,563.0,9908.0,637.0,28677578.0,421791.0,67990093.0,Europe,101.0,1570.0,2.0
13.0,Iran,517835,,29605.0,,418054.0,,70176.0,4671.0,6143.0,351.0,4426779.0,52510.0,84303231.0,Asia,163.0,2848.0,19.0
14.0,Chile,486496,,13434.0,,459536.0,,13526.0,786.0,25386.0,701.0,3790118.0,197774.0,19163862.0,South America,39.0,1427.0,5.0
15.0,Iraq,416802,,10086.0,,350752.0,,55964.0,474.0,10297.0,249.0,2568776.0,63459.0,40479070.0,Asia,97.0,4013.0,16.0
16.0,Bangladesh,386086,1527.0,5623.0,15.0,300738.0,1509.0,79725.0,,2338.0,34.0,2140129.0,12958.0,165164967.0,Asia,428.0,29373.0,77.0
17.0,Italy,381602,,36372.0,,245964.0,,99266.0,586.0,6314.0,602.0,13077827.0,216393.0,60435631.0,Europe,158.0,1662.0,5.0
