"Country, Other",Total Cases,New Cases,Total Deaths,NewDeaths,Total Recovered,"Serious, Critical",Region
China,77663,513.0,2664.0,72.0,27573.0,9126.0,Asia
S. Korea,977,144.0,11.0,3.0,22.0,6.0,Asia
Diamond Princess,691,,4.0,1.0,10.0,35.0,
Italy,283,54.0,7.0,,1.0,23.0,Europe
Japan,160,1.0,1.0,,23.0,7.0,Asia
Iran,95,34.0,15.0,3.0,3.0,,Asia
Singapore,90,,,,53.0,7.0,Asia
Hong Kong,81,,2.0,,12.0,6.0,Asia
USA,53,,,,6.0,,N.America
Thailand,37,2.0,,,21.0,2.0,Asia
Taiwan,31,1.0,1.0,,5.0,1.0,Asia
Australia,22,,,,11.0,,Oceania
Malaysia,22,,,,20.0,,Asia
Germany,16,,,,14.0,,Europe
Vietnam,16,,,,16.0,,Asia
U.K.,13,,,,8.0,,Europe
U.A.E.,13,,,,3.0,2.0,Asia
France,12,,1.0,,11.0,,Europe
Canada,11,,,,3.0,,N.America
Macao,10,,,,5.0,,Asia
Bahrain,8,6.0,,,,,Asia
Kuwait,8,3.0,,,,,Asia
Iraq,5,4.0,,,,,Asia
Philippines,3,,1.0,,2.0,,Asia
India,3,,,,3.0,,Asia
Spain,3,,,,2.0,,Europe
Israel,2,,,,,,Asia
Oman,2,,,,,,Asia
Russia,2,,,,2.0,,Europe
Afghanistan,1,,,,,,Asia
Belgium,1,,,,1.0,,Europe
Cambodia,1,,,,1.0,,Asia
Egypt,1,,,,1.0,,Africa
Finland,1,,,,1.0,,Europe
Lebanon,1,,,,,,Asia
Nepal,1,,,,1.0,,Asia
Sri Lanka,1,,,,1.0,,Asia
Sweden,1,,,,,,Europe
