#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,North America,58173232,3316.0,1181966.0,227.0,46830283.0,2581.0,10160983.0,18113.0,,,,,,North America,,,,,,
,Asia,81252508,16161.0,1200232.0,194.0,78489624.0,30562.0,1562652.0,28751.0,,,,,,Asia,,,,,,
,South America,38805570,,1178131.0,,36893707.0,,733732.0,12528.0,,,,,,South America,,,,,,
,Europe,70226010,25037.0,1377808.0,412.0,61878661.0,31296.0,6969541.0,17912.0,,,,,,Europe,,,,,,
,Africa,8656854,10.0,222043.0,,8037422.0,28.0,397389.0,1910.0,,,,,,Africa,,,,,,
,Oceania,347420,1615.0,4080.0,6.0,305199.0,133.0,38141.0,123.0,,,,,,Australia/Oceania,,,,,,
,,721,,15.0,,706.0,,0.0,0.0,,,,,,,,,,,,
,World,257462315,46139.0,5164275.0,839.0,232435602.0,64585.0,19862438.0,79337.0,33030.0,662.5,,,,All,,,,,,
1.0,USA,48558229,,793539.0,,38437852.0,,9326838.0,11824.0,145518.0,2378.0,739303442.0,2215531.0,333691290.0,North America,7.0,421.0,0.0,,,27950.0
2.0,India,34510413,,465662.0,,33922037.0,12329.0,122714.0,8944.0,24672.0,333.0,631649378.0,451568.0,1398790980.0,Asia,41.0,3004.0,2.0,,,88.0
3.0,Brazil,22012150,,612625.0,,21217739.0,,181786.0,8318.0,102548.0,2854.0,63776166.0,297114.0,214652153.0,South America,10.0,350.0,3.0,,,847.0
4.0,UK,9806034,,143866.0,,8050466.0,,1611702.0,923.0,143405.0,2104.0,351529646.0,5140825.0,68380005.0,Europe,7.0,475.0,0.0,,,23570.0
5.0,Russia,9294188,,262843.0,,7992426.0,,1038919.0,2300.0,63650.0,1800.0,220000000.0,1506631.0,146021178.0,Europe,16.0,556.0,1.0,,,7115.0
6.0,Turkey,8550377,,74847.0,,8057657.0,,417873.0,1405.0,99893.0,874.0,104088822.0,1216054.0,85595565.0,Asia,10.0,1144.0,1.0,,,4882.0
7.0,France,7395222,,118446.0,,7048431.0,,228345.0,1049.0,112950.0,1809.0,151204954.0,2309402.0,65473641.0,Europe,9.0,553.0,0.0,,,3488.0
8.0,Iran,6073098,,128852.0,,5771363.0,,172883.0,3416.0,71046.0,1507.0,37359561.0,437051.0,85481074.0,Asia,14.0,663.0,2.0,,,2022.0
9.0,Germany,5341332,,99553.0,,4626300.0,16000.0,615479.0,2828.0,63470.0,1183.0,81975529.0,974100.0,84155119.0,Europe,16.0,845.0,1.0,,,7314.0
10.0,Argentina,5314702,,116374.0,,5180054.0,,18274.0,572.0,116117.0,2543.0,25886510.0,565577.0,45770069.0,South America,9.0,393.0,2.0,,,399.0
11.0,Spain,5080663,,87810.0,,4901074.0,,91779.0,458.0,108608.0,1877.0,66213858.0,1415435.0,46779874.0,Europe,9.0,533.0,1.0,,,1962.0
12.0,Colombia,5045412,,128054.0,,4886428.0,,30930.0,342.0,97715.0,2480.0,27649581.0,535494.0,51633785.0,South America,10.0,403.0,2.0,,,599.0
13.0,Italy,4915981,,133131.0,,4639449.0,,143401.0,512.0,81473.0,2206.0,114012631.0,1889547.0,60338607.0,Europe,12.0,453.0,1.0,,,2377.0
14.0,Indonesia,4253098,,143728.0,,4101216.0,,8154.0,,15325.0,518.0,51758593.0,186498.0,277528209.0,Asia,65.0,1931.0,5.0,,,29.0
15.0,Mexico,3862137,3306.0,292372.0,227.0,3222379.0,2563.0,347386.0,4798.0,29525.0,2235.0,11699385.0,89439.0,130808311.0,North America,34.0,447.0,11.0,25.0,2.0,2656.0
16.0,Ukraine,3332943,10635.0,81272.0,377.0,2762950.0,14450.0,488721.0,177.0,76850.0,1874.0,15542112.0,358365.0,43369519.0,Europe,13.0,534.0,3.0,245.0,9.0,11269.0
17.0,Poland,3326464,,80781.0,,2876042.0,,369641.0,1423.0,88027.0,2138.0,23392459.0,619026.0,37789163.0,Europe,11.0,468.0,2.0,,,9782.0
18.0,South Africa,2929175,,89572.0,,2820994.0,,18609.0,546.0,48541.0,1484.0,19092934.0,316403.0,60343781.0,Africa,21.0,674.0,3.0,,,308.0
19.0,Philippines,2824499,,46903.0,,2755526.0,,22070.0,1247.0,25309.0,420.0,23886151.0,214034.0,111599829.0,Asia,40.0,2379.0,5.0,,,198.0
20.0,Malaysia,2581747,,29978.0,,2482284.0,,69485.0,529.0,78377.0,910.0,36593674.0,1110919.0,32940011.0,Asia,13.0,1099.0,1.0,,,2109.0
21.0,Netherlands,2421643,,18955.0,,2045774.0,,356914.0,452.0,140896.0,1103.0,19205114.0,1117395.0,17187405.0,Europe,7.0,907.0,1.0,,,20766.0
22.0,Peru,2222879,,200833.0,,,,,897.0,66142.0,5976.0,19894374.0,591962.0,33607542.0,South America,15.0,167.0,2.0,,,8968.0
23.0,Iraq,2073835,,23642.0,,2032310.0,,17883.0,129.0,50008.0,570.0,16164258.0,389779.0,41470368.0,Asia,20.0,1754.0,3.0,,,431.0
24.0,Thailand,2064581,7006.0,20385.0,29.0,1956923.0,7591.0,87273.0,1776.0,29476.0,291.0,14913135.0,212915.0,70042656.0,Asia,34.0,3436.0,5.0,100.0,0.4,1246.0
25.0,Czechia,1995291,14402.0,32079.0,35.0,1760057.0,183.0,203155.0,713.0,185842.0,2988.0,42676828.0,3974926.0,10736510.0,Europe,5.0,335.0,0.0,1341.0,3.0,18922.0
26.0,Canada,1764305,,29491.0,,1709893.0,,24921.0,501.0,46185.0,772.0,47772982.0,1250588.0,38200411.0,North America,22.0,1295.0,1.0,,,652.0
27.0,Romania,1760765,,54838.0,,1632145.0,,73782.0,1591.0,92381.0,2877.0,15688052.0,823097.0,19059777.0,Europe,11.0,348.0,1.0,,,3871.0
28.0,Chile,1740496,,38094.0,,1637925.0,,64477.0,647.0,89979.0,1969.0,24938263.0,1289236.0,19343442.0,South America,11.0,508.0,1.0,,,3333.0
29.0,Japan,1726219,,18342.0,,1706557.0,,1320.0,62.0,13707.0,146.0,27448895.0,217953.0,125939799.0,Asia,73.0,6866.0,5.0,,,10.0
30.0,Belgium,1581500,,26568.0,,1266361.0,,288571.0,577.0,135640.0,2279.0,23489377.0,2014613.0,11659499.0,Europe,7.0,439.0,0.0,,,24750.0
31.0,Bangladesh,1573889,,27946.0,,1538006.0,,7937.0,1594.0,9427.0,167.0,10706662.0,64127.0,166961248.0,Asia,106.0,5974.0,16.0,,,48.0
32.0,Israel,1340084,,8154.0,,1326697.0,,5233.0,133.0,143693.0,874.0,30896760.0,3312970.0,9326000.0,Asia,7.0,1144.0,0.0,,,561.0
33.0,Pakistan,1281872,313.0,28659.0,4.0,1230734.0,309.0,22479.0,1064.0,5651.0,126.0,21644957.0,95426.0,226824589.0,Asia,177.0,7915.0,10.0,1.0,0.02,99.0
34.0,Serbia,1230976,,11166.0,,1144641.0,,75169.0,228.0,141677.0,1285.0,6668289.0,767477.0,8688587.0,Europe,7.0,778.0,1.0,,,8651.0
35.0,Sweden,1188735,,15078.0,,1150896.0,778.0,22761.0,30.0,116697.0,1480.0,13485270.0,1323838.0,10186492.0,Europe,9.0,676.0,1.0,,,2234.0
36.0,Portugal,1119784,,18310.0,,1058461.0,,43013.0,88.0,110264.0,1803.0,20530528.0,2021617.0,10155500.0,Europe,9.0,555.0,0.0,,,4235.0
37.0,Vietnam,1084625,,23685.0,,900337.0,,160603.0,4630.0,11006.0,240.0,65702260.0,666680.0,98551387.0,Asia,91.0,4161.0,1.0,,,1630.0
38.0,Austria,1042571,,11993.0,,886136.0,,144442.0,524.0,114851.0,1321.0,106308001.0,11711048.0,9077582.0,Europe,9.0,757.0,0.0,,,15912.0
39.0,Hungary,998488,,32780.0,,837584.0,,128124.0,613.0,103724.0,3405.0,8006581.0,831736.0,9626352.0,Europe,10.0,294.0,1.0,,,13310.0
40.0,Kazakhstan,963828,1047.0,12551.0,14.0,925046.0,1164.0,26231.0,528.0,50495.0,658.0,11575012.0,606415.0,19087624.0,Asia,20.0,1521.0,2.0,55.0,0.7,1374.0
41.0,Cuba,960472,,8293.0,,950707.0,,1472.0,46.0,84870.0,733.0,10909313.0,963973.0,11317035.0,North America,12.0,1365.0,1.0,,,130.0
42.0,Morocco,948830,,14761.0,,930885.0,,3184.0,347.0,25291.0,393.0,10326379.0,275251.0,37516210.0,Africa,40.0,2542.0,4.0,,,85.0
43.0,Switzerland,941216,,11395.0,,850362.0,,79459.0,137.0,107663.0,1303.0,12339927.0,1411522.0,8742282.0,Europe,9.0,767.0,1.0,,,9089.0
44.0,Jordan,911270,,11347.0,,862360.0,,37563.0,845.0,88102.0,1097.0,11709248.0,1132052.0,10343386.0,Asia,11.0,912.0,1.0,,,3632.0
45.0,Greece,874812,,17237.0,,775427.0,,82148.0,594.0,84503.0,1665.0,32772439.0,3165661.0,10352478.0,Europe,12.0,601.0,0.0,,,7935.0
46.0,Nepal,818787,,11495.0,,799989.0,,7303.0,,27419.0,385.0,4550471.0,152385.0,29861753.0,Asia,36.0,2598.0,7.0,,,245.0
47.0,Georgia,812246,3357.0,11498.0,76.0,749699.0,5772.0,51049.0,,204156.0,2890.0,11191633.0,2812990.0,3978554.0,Asia,5.0,346.0,0.0,844.0,19.0,12831.0
48.0,UAE,741370,,2144.0,,736081.0,,3145.0,,73725.0,213.0,98553566.0,9800644.0,10055826.0,Asia,14.0,4690.0,0.0,,,313.0
49.0,Tunisia,716183,,25340.0,,689892.0,,951.0,58.0,59732.0,2113.0,3142006.0,262056.0,11989844.0,Africa,17.0,473.0,4.0,,,79.0
50.0,Bulgaria,672555,,27180.0,,537115.0,,108260.0,759.0,97813.0,3953.0,6287743.0,914457.0,6875927.0,Europe,10.0,253.0,1.0,,,15745.0
51.0,Lebanon,658467,,8635.0,,627512.0,,22320.0,186.0,97075.0,1273.0,4795578.0,706992.0,6783076.0,Asia,10.0,786.0,1.0,,,3291.0
52.0,Belarus,638402,,4932.0,,622075.0,,11395.0,,67591.0,522.0,10184081.0,1078249.0,9445016.0,Europe,15.0,1915.0,1.0,,,1206.0
53.0,Guatemala,613713,,15837.0,,595793.0,,2083.0,5.0,33401.0,862.0,3060223.0,166552.0,18373986.0,North America,30.0,1160.0,6.0,,,113.0
54.0,Slovakia,602413,,13818.0,,499479.0,,89116.0,515.0,110265.0,2529.0,4355940.0,797308.0,5463307.0,Europe,9.0,395.0,1.0,,,16312.0
55.0,Azerbaijan,572085,,7599.0,,535674.0,,28812.0,,55728.0,740.0,5431440.0,529085.0,10265730.0,Asia,18.0,1351.0,2.0,,,2807.0
56.0,Croatia,566118,,10243.0,,520993.0,,34882.0,327.0,139090.0,2517.0,3339432.0,820465.0,4070170.0,Europe,7.0,397.0,1.0,,,8570.0
57.0,Costa Rica,565548,,7251.0,,535912.0,,22385.0,131.0,109633.0,1406.0,2674625.0,518486.0,5158533.0,North America,9.0,711.0,2.0,,,4339.0
58.0,Sri Lanka,555929,,14108.0,,526353.0,,15468.0,,25812.0,655.0,5500800.0,255404.0,21537633.0,Asia,39.0,1527.0,4.0,,,718.0
59.0,Saudi Arabia,549443,,8823.0,,538542.0,,2078.0,44.0,15449.0,248.0,31030819.0,872532.0,35564110.0,Asia,65.0,4031.0,1.0,,,58.0
60.0,Bolivia,528407,,19051.0,,485991.0,,23365.0,220.0,44429.0,1602.0,2563530.0,215542.0,11893406.0,South America,23.0,624.0,5.0,,,1965.0
61.0,Ireland,524783,,5609.0,,419219.0,,99955.0,121.0,104660.0,1119.0,8614740.0,1718087.0,5014148.0,Europe,10.0,894.0,1.0,,,19935.0
62.0,Ecuador,523847,,33121.0,,443880.0,,46846.0,759.0,29080.0,1839.0,1917796.0,106463.0,18013790.0,South America,34.0,544.0,9.0,,,2601.0
63.0,Myanmar,517395,,19011.0,,490015.0,,8369.0,,9422.0,346.0,5351111.0,97443.0,54915015.0,Asia,106.0,2889.0,10.0,,,152.0
64.0,Panama,475835,,7352.0,,466080.0,,2403.0,49.0,107930.0,1668.0,4179631.0,948030.0,4408753.0,North America,9.0,600.0,1.0,,,545.0
65.0,Paraguay,462242,,16355.0,,445299.0,,588.0,40.0,63724.0,2255.0,1928866.0,265910.0,7253820.0,South America,16.0,444.0,4.0,,,81.0
66.0,Lithuania,454199,,6494.0,,418219.0,,29486.0,142.0,170137.0,2433.0,5970964.0,2236641.0,2669612.0,Europe,6.0,411.0,0.0,,,11045.0
67.0,Denmark,446676,,2807.0,,398578.0,,45291.0,50.0,76742.0,482.0,90617104.0,15568713.0,5820462.0,Europe,13.0,2074.0,0.0,,,7781.0
68.0,Palestine,427917,,4506.0,,420811.0,,2600.0,42.0,81270.0,856.0,2699834.0,512755.0,5265351.0,Asia,12.0,1169.0,2.0,,,494.0
69.0,Venezuela,424441,,5073.0,,410952.0,,8416.0,681.0,14985.0,179.0,3359014.0,118591.0,28324265.0,South America,67.0,5583.0,8.0,,,297.0
70.0,S. Korea,415425,3114.0,3274.0,30.0,375755.0,1372.0,36396.0,517.0,8093.0,64.0,15804065.0,307889.0,51330328.0,Asia,124.0,15678.0,3.0,61.0,0.6,709.0
71.0,Kuwait,413120,,2464.0,,410404.0,,252.0,1.0,94796.0,565.0,5161824.0,1184455.0,4357974.0,Asia,11.0,1769.0,1.0,,,58.0
72.0,Dominican Republic,401914,,4186.0,,392604.0,,5124.0,212.0,36543.0,381.0,2387186.0,217046.0,10998535.0,North America,27.0,2627.0,5.0,,,466.0
73.0,Slovenia,398439,,5044.0,,348638.0,,44757.0,185.0,191619.0,2426.0,1881045.0,904638.0,2079334.0,Europe,5.0,412.0,1.0,,,21525.0
74.0,Uruguay,397712,,6112.0,,389585.0,,2015.0,16.0,113944.0,1751.0,4019341.0,1151539.0,3490409.0,South America,9.0,571.0,1.0,,,577.0
75.0,Honduras,377420,,10388.0,,119346.0,,247686.0,68.0,37285.0,1026.0,1113653.0,110017.0,10122580.0,North America,27.0,974.0,9.0,,,24469.0
76.0,Mongolia,377387,509.0,1940.0,7.0,313256.0,,62191.0,192.0,112608.0,579.0,4030048.0,1202519.0,3351338.0,Asia,9.0,1727.0,1.0,152.0,2.0,18557.0
77.0,Ethiopia,370045,,6672.0,,346672.0,,16701.0,265.0,3112.0,56.0,3813376.0,32072.0,118899413.0,Africa,321.0,17821.0,31.0,,,140.0
78.0,Libya,367218,,5365.0,,326451.0,,35402.0,,52455.0,766.0,1867855.0,266813.0,7000617.0,Africa,19.0,1305.0,4.0,,,5057.0
79.0,Moldova,357831,,8799.0,,339526.0,,9506.0,165.0,88991.0,2188.0,2156635.0,536347.0,4020968.0,Europe,11.0,457.0,2.0,,,2364.0
80.0,Egypt,349513,,19872.0,,291214.0,,38427.0,90.0,3329.0,189.0,3693367.0,35174.0,105004120.0,Africa,300.0,5284.0,28.0,,,366.0
81.0,Armenia,334075,492.0,7278.0,25.0,305611.0,1594.0,21186.0,,112448.0,2450.0,2306456.0,776345.0,2970917.0,Asia,9.0,408.0,1.0,166.0,8.0,7131.0
82.0,Oman,304466,,4113.0,,299884.0,,469.0,12.0,57597.0,778.0,25000000.0,4729372.0,5286114.0,Asia,17.0,1285.0,0.0,,,89.0
83.0,Bahrain,277348,,1394.0,,275732.0,,222.0,2.0,155532.0,782.0,7237467.0,4058657.0,1783217.0,Asia,6.0,1279.0,0.0,,,124.0
84.0,Bosnia and Herzegovina,268572,,12219.0,,192218.0,,64135.0,,82573.0,3757.0,1364521.0,419526.0,3252528.0,Europe,12.0,266.0,2.0,,,19719.0
85.0,Kenya,254688,,5325.0,,247919.0,,1444.0,21.0,4597.0,96.0,2794810.0,50440.0,55408916.0,Africa,218.0,10405.0,20.0,,,26.0
