#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
,North America,2097574,3561.0,125921.0,253.0,759730.0,3279.0,1211923.0,19254.0,,,,,,North America,,,
,South America,907227,549.0,41120.0,30.0,362446.0,169.0,503661.0,11398.0,,,,,,South America,,,
,Europe,2043628,9360.0,174867.0,213.0,1009747.0,15791.0,859014.0,8752.0,,,,,,Europe,,,
,Asia,1171186,7391.0,31380.0,110.0,714212.0,1299.0,425594.0,13651.0,,,,,,Asia,,,
,Africa,155038,131.0,4369.0,,65959.0,28.0,84710.0,342.0,,,,,,Africa,,,
,Oceania,8831,17.0,125.0,,8208.0,7.0,498.0,4.0,,,,,,Australia/Oceania,,,
,,721,,15.0,,651.0,,55.0,4.0,,,,,,,,,
,World,6384205,21009.0,377797.0,606.0,2920953.0,20573.0,3085455.0,53405.0,819.0,48.5,,,,All,,,
1.0,USA,1859597,274.0,106927.0,2.0,615426.0,10.0,1137244.0,16949.0,5621.0,323.0,18154215.0,54872.0,330848770.0,North America,178.0,3094.0,18.0
2.0,Brazil,529405,,30046.0,,211080.0,,288279.0,8318.0,2492.0,141.0,930013.0,4378.0,212438640.0,South America,401.0,7070.0,228.0
3.0,Russia,423741,8863.0,5037.0,182.0,186985.0,11108.0,231719.0,2300.0,2904.0,35.0,11151622.0,76418.0,145929678.0,Europe,344.0,28972.0,13.0
4.0,Spain,286718,,27127.0,,,,,617.0,6133.0,580.0,4063843.0,86921.0,46753394.0,Europe,163.0,1724.0,12.0
5.0,UK,276332,,39045.0,,,,,1559.0,4072.0,575.0,4285738.0,63158.0,67857854.0,Europe,246.0,1738.0,16.0
6.0,Italy,233197,,33475.0,,158355.0,,41367.0,424.0,3857.0,554.0,3910133.0,64664.0,60468537.0,Europe,259.0,1806.0,15.0
7.0,India,199613,1243.0,5610.0,2.0,95852.0,98.0,98151.0,8944.0,145.0,4.0,3966075.0,2876.0,1378900337.0,Asia,6908.0,245793.0,348.0
8.0,France,189220,,28833.0,,68440.0,,91947.0,1302.0,2899.0,442.0,1384633.0,21216.0,65262335.0,Europe,345.0,2263.0,47.0
9.0,Germany,183765,,8618.0,,166400.0,500.0,8747.0,677.0,2194.0,103.0,3952971.0,47192.0,83763076.0,Europe,456.0,9720.0,21.0
10.0,Peru,170039,,4634.0,,68507.0,,96898.0,988.0,5163.0,141.0,1076659.0,32692.0,32933472.0,South America,194.0,7107.0,31.0
11.0,Turkey,164769,,4563.0,,128947.0,,31259.0,651.0,1955.0,54.0,2070719.0,24574.0,84264770.0,Asia,511.0,18467.0,41.0
12.0,Iran,154445,,7878.0,,121004.0,,25563.0,2578.0,1841.0,94.0,955865.0,11392.0,83903764.0,Asia,543.0,10650.0,88.0
13.0,Chile,105159,,1113.0,,44946.0,,59100.0,1446.0,5505.0,58.0,599330.0,31374.0,19102957.0,South America,182.0,17163.0,32.0
14.0,Mexico,93435,2771.0,10167.0,237.0,67491.0,3165.0,15777.0,378.0,725.0,79.0,282089.0,2190.0,128822037.0,North America,1379.0,12671.0,457.0
15.0,Canada,91705,,7326.0,,49726.0,,34653.0,1648.0,2431.0,194.0,1695918.0,44966.0,37715413.0,North America,411.0,5148.0,22.0
