#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,North America,117534450,,1549870.0,,112949358.0,2592.0,3035222.0,7796.0,,,,,,North America,,,,,,
,Asia,192898621,130911.0,1486047.0,97.0,186713597.0,79452.0,4698977.0,9486.0,,,,,,Asia,,,,,,
,Europe,233335122,10894.0,1937128.0,118.0,225667192.0,51854.0,5730802.0,9881.0,,,,,,Europe,,,,,,
,South America,64351444,,1332103.0,,62687148.0,352.0,332193.0,10163.0,,,,,,South America,,,,,,
,Oceania,12564795,1509.0,21483.0,11.0,12328139.0,,215173.0,93.0,,,,,,Australia/Oceania,,,,,,
,Africa,12665373,,257768.0,,11999768.0,12.0,407837.0,899.0,,,,,,Africa,,,,,,
,,721,,15.0,,706.0,,0.0,0.0,,,,,,,,,,,,
,World,633350526,143314.0,6584414.0,226.0,612345908.0,134262.0,14420204.0,38318.0,81253.0,844.7,,,,All,,,,,,
1.0,USA,99123438,,1093153.0,,96592563.0,,1437722.0,2613.0,295722.0,3261.0,1126915119.0,3362006.0,335191289.0,North America,3.0,307.0,0.0,,,4289.0
2.0,India,44644938,,528980.0,,44093409.0,,22549.0,698.0,31634.0,375.0,900085711.0,637766.0,1411310603.0,Asia,32.0,2668.0,2.0,,,16.0
3.0,France,36606728,,156509.0,,35416626.0,,1033593.0,869.0,557973.0,2386.0,271490188.0,4138151.0,65606642.0,Europe,2.0,419.0,0.0,,,15754.0
4.0,Germany,35288228,,152755.0,,33396300.0,,1739173.0,1406.0,418098.0,1810.0,122332384.0,1449404.0,84401880.0,Europe,2.0,553.0,1.0,,,20606.0
5.0,Brazil,34834815,,687713.0,,34006978.0,,140124.0,8318.0,161238.0,3183.0,63776166.0,295198.0,216045389.0,South America,6.0,314.0,3.0,,,649.0
6.0,S. Korea,25355350,43714.0,29017.0,17.0,24904756.0,22249.0,421577.0,225.0,493574.0,565.0,15804065.0,307646.0,51370941.0,Asia,2.0,1770.0,3.0,851.0,0.3,8207.0
7.0,UK,23855522,,192682.0,,23475304.0,7022.0,187536.0,146.0,347198.0,2804.0,522526476.0,7604958.0,68708659.0,Europe,3.0,357.0,0.0,,,2729.0
8.0,Italy,23359680,,178633.0,,22672607.0,,508440.0,226.0,387669.0,2965.0,251599245.0,4175448.0,60256827.0,Europe,3.0,337.0,0.0,,,8438.0
