action,reward_inertia,reward_r_eff,reward_I_percentage,reward_weigthed,reward,stringency_index
2,-12.5,-10,20,-80.67204479390224,-83.17204479390224,93.8
6,-50.0,-10,20,-80.6719999429157,-120.6719999429157,100.0
3,0.0,-10,20,-80.67199994290165,-70.67199994290165,100.0
4,-12.5,-10,20,-80.67199994290165,-83.17199994290165,100.0
2,-12.5,-10,20,-80.67199994290165,-83.17199994290165,97.5
1,-25.0,-10,20,-80.67198882101889,-95.67198882101889,92.5
0,-50.0,-10,20,-80.67195868279605,-120.67195868279606,82.5
1,-25.0,-10,20,-80.67189267489874,-95.67189267489874,77.5
0,-50.0,-10,20,-80.67180987247362,-120.6718098724736,67.5
3,0.0,-10,20,-80.67168858891641,-70.67168858891641,67.5
2,-12.5,-10,20,-80.67156241432428,-83.17156241432428,65.0
1,-25.0,-10,20,-80.67142013809571,-95.67142013809571,60.0
1,-25.0,-10,20,-80.67124656119773,-95.67124656119773,55.0
4,-12.5,-10,20,-80.67103267951975,-83.17103267951975,57.5
5,-25.0,-10,20,-80.67081007508735,-95.67081007508735,62.5
6,-50.0,-10,20,-80.6705977608159,-120.6705977608159,72.5
5,-25.0,-10,20,-80.67043581270175,-95.67043581270175,77.5
3,0.0,-10,20,-80.67030316900448,-70.67030316900448,77.5
4,-12.5,-10,20,-80.67017207603803,-83.17017207603803,80.0
4,-12.5,-10,20,-80.6700576448865,-83.1700576448865,82.5
0,-50.0,-10,20,-80.66996057011815,-120.66996057011815,72.5
6,-50.0,-10,20,-80.66980981473435,-120.66980981473435,82.5
2,-12.5,-10,20,-80.6697133539341,-83.1697133539341,80.0
5,-25.0,-10,20,-80.66960501574601,-95.66960501574601,85.0
1,-25.0,-10,20,-80.66952418483811,-95.66952418483811,80.0
4,-12.5,-10,20,-80.66942013382021,-83.16942013382021,82.5
2,-12.5,-10,20,-80.66932922568915,-83.16932922568915,80.0
1,-25.0,-10,20,-80.66922774880125,-95.66922774880125,75.0
1,-25.0,-10,20,-80.66910306569523,-95.66910306569523,70.0
2,-12.5,-10,20,-80.66895219980088,-83.16895219980088,67.5
6,-50.0,-10,20,-80.66878318499896,-120.66878318499897,77.5
4,-12.5,-10,20,-80.66865849769684,-83.16865849769684,80.0
0,-50.0,-10,20,-80.66854592811677,-120.66854592811677,70.0
5,-25.0,-10,20,-80.66838431358157,-95.66838431358157,75.0
6,-50.0,-10,20,-80.66824305770673,-120.66824305770672,85.0
5,-25.0,-10,20,-80.66814986064749,-95.66814986064749,90.0
5,-25.0,-10,20,-80.6680812757685,-95.6680812757685,95.0
2,-12.5,-10,20,-80.6680348835103,-83.1680348835103,92.5
4,-12.5,-10,20,-80.6679795323374,-83.1679795323374,95.0
4,-12.5,-10,20,-80.6679333390284,-83.1679333390284,97.5
4,-12.5,-10,20,-80.66789466741312,-83.16789466741312,100.0
6,-50.0,-10,20,-80.6678618178941,-120.6678618178941,100.0
1,-25.0,-10,20,-80.66782315782885,-95.66782315782885,95.0
4,-12.5,-10,20,-80.66776829612255,-83.16776829612255,97.5
1,-25.0,-10,20,-80.66771335042259,-95.66771335042259,92.5
6,-50.0,-10,20,-80.66764461875121,-120.66764461875121,100.0
3,0.0,-10,20,-80.66758271649925,-70.66758271649925,100.0
0,-50.0,-10,20,-80.6675150037363,-120.6675150037363,90.0
5,-25.0,-10,20,-80.66742944516959,-95.66742944516959,95.0
1,-25.0,-10,20,-80.6673446035,-95.6673446035,90.0
3,0.0,-10,20,-80.66724938025182,-70.66724938025182,90.0
1,-25.0,-10,20,-80.66714908322584,-95.66714908322584,85.0
0,-50.0,-10,20,-80.66703916247072,-120.6670391624707,75.0
6,-50.0,-10,20,-80.66691519553925,-120.66691519553925,85.0
4,-12.5,-10,20,-80.66679428527718,-83.16679428527718,87.5
2,-12.5,-10,20,-80.66667022622882,-83.16667022622882,85.0
3,0.0,-10,20,-80.66653903669712,-70.66653903669712,85.0
3,0.0,-10,20,-80.66640258508583,-70.66640258508583,85.0
6,-50.0,-10,20,-80.66626084390771,-120.66626084390771,95.0
0,-50.0,-10,20,-80.66612028061434,-120.66612028061434,85.0
2,-12.5,-10,20,-80.66596834304644,-83.16596834304644,82.5
6,-50.0,-10,20,-80.66580958210226,-120.66580958210227,92.5
1,-25.0,-10,20,-80.66563182782804,-95.66563182782804,87.5
2,-12.5,-10,20,-80.66542715547905,-83.16542715547905,85.0
4,-12.5,-10,20,-80.66519688494532,-83.16519688494532,87.5
2,-12.5,-10,20,-80.6649432773022,-83.1649432773022,85.0
3,0.0,-10,20,-80.66466415828678,-70.66466415828678,85.0
4,-12.5,-10,20,-80.66436054845963,-83.16436054845963,87.5
3,0.0,-10,20,-80.66403338302678,-70.66403338302678,87.5
1,-25.0,-10,20,-80.66368170764635,-95.66368170764635,82.5
5,-25.0,-10,20,-80.66330382053133,-95.66330382053133,87.5
6,-50.0,-10,20,-80.662902977582,-120.66290297758201,97.5
5,-25.0,-10,20,-80.66248051888755,-95.66248051888755,100.0
5,-25.0,-10,20,-80.66203398306884,-95.66203398306884,100.0
3,0.0,-10,20,-80.66156265958514,-70.66156265958514,100.0
3,0.0,-10,20,-80.66106654887002,-70.66106654887002,100.0
3,0.0,-10,20,-80.66054565092733,-70.66054565092733,100.0
1,-25.0,-10,20,-80.65999996699284,-95.65999996699284,95.0
3,0.0,-10,20,-80.65942882127379,-70.65942882127379,95.0
0,-50.0,-10,20,-80.6588329555903,-120.6588329555903,85.0
6,-50.0,-10,20,-80.65821121816084,-120.65821121816083,95.0
0,-50.0,-10,20,-80.65756586944836,-120.65756586944838,85.0
0,-50.0,-10,20,-80.65692358018558,-120.65692358018558,75.0
5,-25.0,-10,20,-80.65628437114123,-95.65628437114123,80.0
4,-12.5,-10,20,-80.65564965167559,-83.15564965167559,82.5
5,-25.0,-10,20,-80.6550192096594,-95.6550192096594,87.5
3,0.0,-10,20,-80.65439327063629,-70.65439327063629,87.5
0,-50.0,-10,20,-80.65377138929044,-120.65377138929045,77.5
1,-25.0,-10,20,-80.65315275756738,-95.65315275756738,72.5
3,0.0,-10,20,-80.65253772553748,-70.65253772553748,72.5
2,-12.5,-10,20,-80.65192665593814,-83.15192665593814,70.0
1,-25.0,-10,20,-80.65131933169101,-95.65131933169101,65.0
1,-25.0,-10,20,-80.65071548060806,-95.65071548060806,60.0
6,-50.0,-10,20,-80.65011497341732,-120.65011497341732,70.0
1,-25.0,-10,20,-80.64951921337982,-95.64951921337982,65.0
2,-12.5,-10,20,-80.64892683805795,-83.14892683805795,62.5
4,-12.5,-10,20,-80.64833798468237,-83.14833798468237,65.0
4,-12.5,-10,20,-80.64775316359133,-83.14775316359133,67.5
3,0.0,-10,20,-80.6471724430608,-70.6471724430608,67.5
3,0.0,-10,20,-80.64659556186172,-70.64659556186172,67.5
5,-25.0,-10,20,-80.64602251419508,-95.64602251419508,72.5
5,-25.0,-10,20,-80.64545399303697,-95.64545399303697,77.5
6,-50.0,-10,20,-80.64491436606733,-120.64491436606733,87.5
3,0.0,-10,20,-80.64440434102511,-70.64440434102511,87.5
3,0.0,-10,20,-80.6439226627113,-70.6439226627113,87.5
4,-12.5,-10,20,-80.64346932336207,-83.14346932336207,90.0
4,-12.5,-10,20,-80.64304458224544,-83.14304458224544,92.5
4,-12.5,-10,20,-80.64264840722919,-83.14264840722919,95.0
1,-25.0,-10,20,-80.64228075992291,-95.64228075992291,90.0
2,-12.5,-10,20,-80.64194100629878,-83.14194100629878,87.5
1,-25.0,-10,20,-80.64162937135796,-95.64162937135796,82.5
5,-25.0,-10,20,-80.64134568217236,-95.64134568217236,87.5
2,-12.5,-10,20,-80.64109063118067,-83.14109063118067,85.0
2,-12.5,-10,20,-80.64086371741385,-83.14086371741385,82.5
5,-25.0,-10,20,-80.64066494208072,-95.64066494208072,87.5
2,-12.5,-10,20,-80.64049474962167,-83.14049474962167,85.0
0,-50.0,-10,20,-80.64035270927624,-120.64035270927624,75.0
1,-25.0,-10,20,-80.640238411619,-95.640238411619,70.0
6,-50.0,-10,20,-80.64015207692803,-120.64015207692802,80.0
0,-50.0,-10,20,-80.64009451942613,-120.64009451942613,70.0
5,-25.0,-10,20,-80.64006467515496,-95.64006467515496,75.0
2,-12.5,-10,20,-80.64006332539385,-83.14006332539385,72.5
6,-50.0,-10,20,-80.64006182959514,-120.64006182959514,82.5
1,-25.0,-10,20,-80.64006088884312,-95.64006088884312,77.5
4,-12.5,-10,20,-80.64005970878257,-83.14005970878257,80.0
2,-12.5,-10,20,-80.64005867874747,-83.14005867874747,77.5
2,-12.5,-10,20,-80.64005754089092,-83.14005754089092,75.0
3,0.0,-10,20,-80.64005628340811,-70.64005628340811,75.0
3,0.0,-10,20,-80.64005502464519,-70.64005502464519,75.0
2,-12.5,-10,20,-80.64005376460028,-83.14005376460028,72.5
4,-12.5,-10,20,-80.64005250327415,-83.14005250327415,75.0
1,-25.0,-10,20,-80.64005124066338,-95.64005124066338,70.0
1,-25.0,-10,20,-80.640049704376,-95.640049704376,65.0
4,-12.5,-10,20,-80.64004783972422,-83.14004783972422,67.5
