action,reward_inertia,reward_I_percentage,reward_weigthed,reward,stringency_index
6,-120.0,50,-4.47650657303715,-74.47650657303716,100.0
1,-60.0,50,37.040571148759014,27.040571148759014,95.0
1,-60.0,50,71.71452470866282,61.71452470866282,90.0
5,-60.0,50,37.040571148759014,27.040571148759014,95.0
5,-60.0,50,-4.47650657303715,-14.476506573037156,100.0
2,-30.0,50,17.17439257470378,37.17439257470378,97.5
6,-120.0,50,-4.47650657303715,-74.47650657303716,100.0
1,-60.0,50,37.040571148759014,27.040571148759014,95.0
0,-120.0,50,100.13687037237275,30.136870372372755,85.0
2,-30.0,50,112.18853907618605,132.18853907618603,82.5
0,-120.0,50,147.7237754794489,77.7237754794489,72.5
1,-60.0,50,79.46184204942963,69.46184204942963,67.5
1,-60.0,50,-30.485146013592296,-40.4851460135923,62.5
1,-60.0,50,-34.54979327491118,-44.54979327491118,57.5
5,-60.0,50,-30.48507030989425,-40.485070309894255,62.5
3,0.0,50,-30.48502006779617,19.51497993220383,62.5
0,-120.0,50,-38.61429827824762,-108.61429827824762,52.5
1,-60.0,50,-42.67889043112393,-52.67889043112393,47.5
0,-120.0,50,-50.808087642189925,-120.80808764218992,37.5
3,0.0,50,-50.80794486586808,-0.8079448658680803,37.5
2,-30.0,50,-52.840057553359124,-32.84005755335912,35.0
0,-120.0,50,-60.969015655520884,-130.96901565552088,25.0
3,0.0,50,-60.968665304674616,-10.968665304674616,25.0
2,-30.0,50,-63.00043945965318,-43.00043945965318,22.5
0,-120.0,50,-71.1287955129764,-141.1287955129764,12.5
0,-120.0,50,-79.25672983286951,-149.2567298328695,2.5
4,-30.0,50,-77.22296600937057,-57.222966009370566,5.0
1,-60.0,50,-81.28485858653531,-91.28485858653531,0.0
1,-60.0,50,-81.28150313005605,-91.28150313005605,0.0
2,-30.0,50,-81.27655338033591,-61.27655338033591,0.0
1,-60.0,50,-81.26954035955329,-91.26954035955328,0.0
1,-60.0,50,-81.25960418007259,-91.25960418007259,0.0
1,-60.0,50,-81.24552541246076,-91.24552541246078,0.0
2,-30.0,50,-81.22558084548385,-61.22558084548385,0.0
4,-30.0,50,-79.16739970057128,-59.16739970057128,2.5
1,-60.0,50,-81.15733708397184,-91.15733708397184,0.0
0,-120.0,50,-81.10247991665646,-151.10247991665648,0.0
5,-60.0,50,-76.9721585645444,-86.9721585645444,5.0
4,-30.0,-2000,-74.84308837655757,-2104.8430883765577,7.5
3,0.0,-2000,-74.7059553327651,-2074.705955332765,7.5
1,-60.0,-2000,-78.55135199558603,-2138.551351995586,2.5
6,-120.0,-2000,-70.25958209390694,-2190.259582093907,12.5
5,-60.0,-2000,-65.92390362111385,-2125.923903621114,17.5
0,-120.0,-2000,-73.47880074009191,-2193.478800740092,7.5
4,-30.0,-2000,-70.97261589816904,-2100.972615898169,10.0
1,-60.0,-2000,-74.108532905553,-2134.108532905553,5.0
3,0.0,-2000,-73.07135681600927,-2073.0713568160095,5.0
1,-60.0,-2000,-75.40131311681883,-2135.401313116819,0.0
2,-30.0,-2000,-73.41538613155949,-2103.4153861315594,0.0
3,0.0,-2000,-70.70138306135195,-2070.701383061352,0.0
4,-30.0,-2000,-65.5570265496898,-2095.55702654969,2.5
3,0.0,-2000,-61.39089282747592,-2061.390892827476,2.5
2,-30.0,-2000,-58.04767395676822,-2088.0476739567684,0.0
2,-30.0,-2000,-52.5204784385717,-2082.520478438572,0.0
2,-30.0,-2000,-46.44544634498165,-2076.4454463449815,0.0
1,-60.0,-2000,-40.264136359777616,-2100.2641363597777,0.0
6,-120.0,-2000,-30.87246396981755,-2150.8724639698175,10.0
3,0.0,-2000,89.25508423000082,-1910.7449157699991,10.0
5,-60.0,-2000,172.879989355334,-1887.120010644666,15.0
5,-60.0,-2000,169.8709463399556,-1890.1290536600445,20.0
4,-30.0,-2000,169.16450203271896,-1860.835497967281,22.5
6,-120.0,-2000,169.93398369850107,-1950.0660163014988,32.5
2,-30.0,-2000,169.35020351427096,-1860.649796485729,30.0
5,-60.0,-2000,170.65547117256705,-1889.344528827433,35.0
6,-120.0,-2000,173.43970330294158,-1946.5602966970584,45.0
4,-30.0,-2000,173.74063422800123,-1856.2593657719988,47.5
5,-60.0,-2000,173.350766816593,-1886.649233183407,52.5
3,0.0,-2000,173.350766816593,-1826.649233183407,52.5
1,-60.0,-2000,173.74063422800123,-1886.2593657719988,47.5
3,0.0,-2000,173.74063422800123,-1826.2593657719988,47.5
2,-30.0,-2000,173.43970330294158,-1856.5602966970584,45.0
0,-120.0,-2000,170.65547117256705,-1949.344528827433,35.0
2,-30.0,-2000,169.93398369850107,-1860.0660163014988,32.5
1,-60.0,-2000,168.97807015308885,-1891.0219298469112,27.5
6,-120.0,-2000,171.4407264032564,-1948.5592735967437,37.5
3,0.0,-2000,171.4407264032564,-1828.5592735967437,37.5
0,-120.0,-2000,168.97807015308885,-1951.0219298469112,27.5
3,0.0,-2000,168.97807015308885,-1831.0219298469112,27.5
5,-60.0,-2000,169.93398369850107,-1890.0660163014988,32.5
5,-60.0,-2000,171.4407264032564,-1888.5592735967437,37.5
3,0.0,-2000,171.4407264032564,-1828.5592735967437,37.5
1,-60.0,-2000,169.93398369850107,-1890.0660163014988,32.5
0,-120.0,-2000,169.16450203271896,-1950.835497967281,22.5
3,0.0,-2000,169.16450203271896,-1830.835497967281,22.5
3,0.0,-2000,169.16450203271896,-1830.835497967281,22.5
3,0.0,-2000,169.16450203271896,-1830.835497967281,22.5
6,-120.0,-2000,169.93398369850107,-1950.0660163014988,32.5
1,-60.0,-2000,168.97807015308885,-1891.0219298469112,27.5
2,-30.0,-2000,168.89152314816752,-1861.1084768518324,25.0
1,-60.0,-2000,169.8709463399556,-1890.1290536600445,20.0
0,-120.0,-2000,178.51016846000164,-1941.4898315399982,10.0
2,-30.0,-2000,182.4930328788498,-1847.5069671211502,7.5
5,-60.0,-2000,175.33046712990034,-1884.6695328700996,12.5
1,-60.0,-2000,182.4930328788498,-1877.5069671211502,7.5
2,-30.0,-2000,187.35299991965724,-1842.6470000803429,5.0
2,-30.0,-2000,193.16400911563667,-1836.8359908843634,2.5
4,-30.0,-2000,187.35299991965724,-1842.6470000803429,5.0
5,-60.0,-2000,178.51016846000164,-1881.4898315399982,10.0
4,-30.0,-2000,175.33046712990034,-1854.6695328700996,12.5
6,-120.0,-2000,169.16450203271896,-1950.835497967281,22.5
1,-60.0,-2000,171.0847956030897,-1888.9152043969102,17.5
2,-30.0,-2000,172.879989355334,-1857.120010644666,15.0
0,-120.0,-2000,187.35299991965724,-1932.6470000803429,5.0
4,-30.0,-2000,182.4930328788498,-1847.5069671211502,7.5
0,-120.0,-2000,200.0,-1920.0,0.0
0,-120.0,-2000,200.0,-1920.0,0.0
2,-30.0,-2000,200.0,-1830.0,0.0
1,-60.0,-2000,200.0,-1860.0,0.0
2,-30.0,-2000,200.0,-1830.0,0.0
3,0.0,-2000,200.0,-1800.0,0.0
2,-30.0,-2000,200.0,-1830.0,0.0
