action,reward_inertia,reward_I_percentage,reward_weigthed,reward,stringency_index
1,-60.0,50,63.32460108590098,53.32460108590098,91.3
5,-60.0,50,26.9283391086655,16.928339108665497,96.3
3,0.0,50,26.9283391086655,76.9283391086655,96.3
3,0.0,50,26.9283391086655,76.9283391086655,96.3
1,-60.0,50,63.32460108590098,53.32460108590098,91.3
1,-60.0,50,93.31546093786115,83.31546093786115,86.3
1,-60.0,50,117.4924349302447,107.4924349302447,81.3
4,-30.0,50,106.0937138998938,126.0937138998938,83.8
5,-60.0,50,79.08373651093432,69.08373651093432,88.8
3,0.0,50,79.08373651093432,129.08373651093433,88.8
5,-60.0,50,45.964115129548865,35.964115129548865,93.8
0,-120.0,50,106.0937138998938,36.0937138998938,83.8
0,-120.0,50,144.15080176332998,74.15080176332998,73.8
6,-120.0,50,106.0937138998938,36.0937138998938,83.8
4,-30.0,50,93.31546093786115,113.31546093786115,86.3
3,0.0,50,93.31546093786115,143.31546093786113,86.3
5,-60.0,50,63.32460108590098,53.32460108590098,91.3
0,-120.0,50,117.4924349302447,47.4924349302447,81.3
4,-30.0,50,106.0937138998938,126.0937138998938,83.8
0,-120.0,50,144.15080176332998,74.15080176332998,73.8
4,-30.0,50,136.44703932875032,156.44703932875032,76.3
6,-120.0,50,93.31546093786115,23.315460937861147,86.3
2,-30.0,50,106.0937138998938,126.0937138998938,83.8
4,-30.0,50,93.31546093786115,113.31546093786115,86.3
4,-30.0,50,79.08373651093432,99.08373651093432,88.8
4,-30.0,50,63.32460108590098,83.32460108590098,91.3
2,-30.0,50,79.08373651093432,99.08373651093432,88.8
6,-120.0,50,6.143333490038589,-63.856666509961414,98.8
6,-120.0,50,-4.47650657303715,-74.47650657303716,100.0
4,-30.0,50,-4.47650657303715,15.523493426962851,100.0
5,-60.0,50,-4.47650657303715,-14.476506573037156,100.0
6,-120.0,50,-4.47650657303715,-74.47650657303716,100.0
0,-120.0,50,71.71452470866282,1.7145247086628217,90.0
4,-30.0,50,55.19596868234138,75.19596868234137,92.5
3,0.0,50,55.19596868234138,105.19596868234137,92.5
6,-120.0,50,-4.47650657303715,-74.47650657303716,100.0
3,0.0,50,-4.47650657303715,45.52349342696285,100.0
1,-60.0,50,37.040571148759014,27.040571148759014,95.0
3,0.0,50,37.040571148759014,87.04057114875901,95.0
6,-120.0,50,-4.47650657303715,-74.47650657303716,100.0
2,-30.0,50,17.17439257470378,37.17439257470378,97.5
3,0.0,50,17.17439257470378,67.17439257470377,97.5
0,-120.0,50,86.67017876093578,16.670178760935784,87.5
2,-30.0,50,100.13687037237275,120.13687037237275,85.0
5,-60.0,50,71.71452470866282,61.71452470866282,90.0
3,0.0,50,71.71452470866282,121.71452470866282,90.0
1,-60.0,50,100.13687037237275,90.13687037237275,85.0
1,-60.0,50,122.89912440558774,112.89912440558774,80.0
5,-60.0,50,100.13687037237275,90.13687037237275,85.0
0,-120.0,50,140.59280307400698,70.59280307400698,75.0
4,-30.0,50,132.34256589379066,152.34256589379066,77.5
4,-30.0,50,122.89912440558774,142.89912440558774,80.0
6,-120.0,50,71.71452470866282,1.7145247086628217,90.0
2,-30.0,50,86.67017876093578,106.67017876093578,87.5
5,-60.0,50,55.19596868234138,45.19596868234138,92.5
5,-60.0,50,17.17439257470378,7.174392574703781,97.5
6,-120.0,50,-4.47650657303715,-74.47650657303716,100.0
2,-30.0,50,17.17439257470378,37.17439257470378,97.5
0,-120.0,50,86.67017876093578,16.670178760935784,87.5
2,-30.0,50,100.13687037237275,120.13687037237275,85.0
3,0.0,50,100.13687037237275,150.13687037237275,85.0
5,-60.0,50,71.71452470866282,61.71452470866282,90.0
2,-30.0,50,86.67017876093578,106.67017876093578,87.5
0,-120.0,50,132.34256589379066,62.34256589379066,77.5
1,-60.0,50,147.7237754794489,137.7237754794489,72.5
3,0.0,50,147.7237754794489,197.7237754794489,72.5
4,-30.0,50,140.59280307400698,160.59280307400698,75.0
3,0.0,50,140.59280307400698,190.59280307400698,75.0
1,-60.0,50,153.8094226433288,143.8094226433288,70.0
3,0.0,50,153.8094226433288,203.8094226433288,70.0
4,-30.0,50,147.7237754794489,167.7237754794489,72.5
1,-60.0,50,79.46184204942963,69.46184204942963,67.5
0,-120.0,50,-34.546919679055165,-104.54691967905518,57.5
0,-120.0,50,-42.67542087317845,-112.67542087317844,47.5
1,-60.0,50,-46.739538190858156,-56.739538190858156,42.5
3,0.0,50,-46.73932443105427,3.2606755689457287,42.5
3,0.0,50,-46.73910543768906,3.2608945623109378,42.5
3,0.0,50,-46.73887255211245,3.261127447887553,42.5
5,-60.0,50,-42.674397317669744,-52.674397317669744,47.5
4,-30.0,50,-40.642056102841906,-20.642056102841906,50.0
4,-30.0,50,-38.60972648263052,-18.60972648263052,52.5
4,-30.0,50,-36.57741001499866,-16.577410014998662,55.0
2,-30.0,50,-38.60923897079297,-18.609238970792973,52.5
1,-60.0,50,-42.67308143539967,-52.673081435399666,47.5
6,-120.0,50,-34.54463143108346,-104.54463143108347,57.5
0,-120.0,50,-42.67246398338373,-112.67246398338372,47.5
2,-30.0,50,-44.70414399003256,-24.704143990032563,45.0
5,-60.0,50,-40.63980417898054,-50.63980417898054,50.0
5,-60.0,50,-36.57551661844231,-46.57551661844231,55.0
0,-120.0,50,-44.7030206142807,-114.70302061428072,45.0
1,-60.0,50,-48.76649406282731,-58.76649406282732,40.0
3,0.0,50,-48.76603392188475,1.2339660781152517,40.0
4,-30.0,50,-46.73366057130791,-26.733660571307908,42.5
3,0.0,50,-46.73319241308026,3.2668075869197395,42.5
6,-120.0,50,-38.60528443642563,-108.60528443642562,52.5
3,0.0,50,-38.60487622977307,11.395123770226931,52.5
2,-30.0,50,-40.63628042427845,-20.636280424278453,50.0
5,-60.0,50,-36.572254557756246,-46.57225455775625,55.0
5,-60.0,50,-32.50830514103292,-42.50830514103292,60.0
5,-60.0,50,81.57024968962622,71.57024968962622,65.0
4,-30.0,50,79.46184204942963,99.46184204942963,67.5
1,-60.0,50,-30.47549232221489,-40.47549232221489,62.5
3,0.0,50,-30.47514120082245,19.52485879917755,62.5
0,-120.0,50,-38.60138451797353,-108.60138451797354,52.5
4,-30.0,50,-36.56928763362389,-16.569287633623887,55.0
0,-120.0,50,-44.69521593286733,-114.69521593286731,45.0
1,-60.0,50,-48.75777288003732,-58.75777288003732,40.0
6,-120.0,50,-40.630909779251205,-110.6309097792512,50.0
5,-60.0,50,-36.567280766287496,-46.567280766287496,55.0
0,-120.0,50,-44.69270444340107,-114.69270444340106,45.0
0,-120.0,50,-52.81790807677528,-122.81790807677527,35.0
6,-120.0,50,-44.69138441865162,-114.69138441865164,45.0
5,-60.0,50,-40.627815544585594,-50.62781554458559,50.0
4,-30.0,50,-38.5957551042419,-18.595755104241903,52.5
3,0.0,50,-38.59508343809158,11.404916561908422,52.5
5,-60.0,50,-34.531831577506246,-44.53183157750624,57.5
5,-60.0,50,-30.468699388170005,-40.46869938817001,62.5
1,-60.0,50,-34.53056774496339,-44.53056774496339,57.5
1,-60.0,50,-38.592318509511855,-48.592318509511855,52.5
0,-120.0,50,-46.716121612213826,-116.71612161221384,42.5
