action,reward_inertia,reward_r_eff,reward_I_percentage,reward_weigthed,reward,stringency_index
5,-25.0,-10,20,-80.67204479390224,-95.67204479390224,100.0
2,-12.5,-10,20,-80.67204479390044,-83.17204479390044,97.5
5,-25.0,-10,20,-80.67202901615575,-95.67202901615575,100.0
4,-12.5,-10,20,-80.67202901613948,-83.17202901613948,100.0
0,-50.0,-10,20,-80.67202901612438,-120.67202901612438,90.0
3,0.0,-10,20,-80.67198453070478,-70.67198453070478,90.0
4,-12.5,-10,20,-80.67194329560607,-83.17194329560607,92.5
2,-12.5,-10,20,-80.6719148095612,-83.1719148095612,90.0
3,0.0,-10,20,-80.6718798313226,-70.6718798313226,90.0
4,-12.5,-10,20,-80.67184740873807,-83.17184740873807,92.5
1,-25.0,-10,20,-80.6718250105539,-95.6718250105539,87.5
5,-25.0,-10,20,-80.67179041341404,-95.67179041341404,92.5
6,-50.0,-10,20,-80.6717711686696,-120.67177116866958,100.0
2,-12.5,-10,20,-80.67177116865591,-83.17177116865591,97.5
3,0.0,-10,20,-80.6717660639496,-70.6717660639496,97.5
0,-50.0,-10,20,-80.67176151076724,-120.67176151076723,87.5
1,-25.0,-10,20,-80.67174068503792,-95.67174068503792,82.5
1,-25.0,-10,20,-80.67171296016126,-95.67171296016126,77.5
3,0.0,-10,20,-80.67167818118408,-70.67167818118408,77.5
5,-25.0,-10,20,-80.67164380871355,-95.67164380871355,82.5
4,-12.5,-10,20,-80.67161772224881,-83.17161772224881,85.0
0,-50.0,-10,20,-80.67159631992197,-120.67159631992197,75.0
1,-25.0,-10,20,-80.67155987651795,-95.67155987651795,70.0
6,-50.0,-10,20,-80.67151424497992,-120.6715142449799,80.0
1,-25.0,-10,20,-80.67148105644101,-95.67148105644101,75.0
3,0.0,-10,20,-80.67143957380509,-70.67143957380509,75.0
2,-12.5,-10,20,-80.67139641132898,-83.17139641132898,72.5
6,-50.0,-10,20,-80.67134782255809,-120.67134782255809,82.5
2,-12.5,-10,20,-80.671311963004,-83.171311963004,80.0
6,-50.0,-10,20,-80.67127183119004,-120.67127183119004,90.0
0,-50.0,-10,20,-80.67124421088727,-120.67124421088727,80.0
3,0.0,-10,20,-80.6712033735599,-70.6712033735599,80.0
2,-12.5,-10,20,-80.67116148641,-83.17116148641,77.5
4,-12.5,-10,20,-80.67111546232647,-83.17111546232647,80.0
6,-50.0,-10,20,-80.67107114009886,-120.67107114009886,90.0
1,-25.0,-10,20,-80.67103722016714,-95.67103722016714,85.0
2,-12.5,-10,20,-80.67099719884878,-83.17099719884878,82.5
2,-12.5,-10,20,-80.67095374129892,-83.17095374129892,80.0
5,-25.0,-10,20,-80.67090678706892,-95.67090678706892,85.0
6,-50.0,-10,20,-80.67086347099209,-120.67086347099209,95.0
6,-50.0,-10,20,-80.67082801286179,-120.67082801286179,100.0
0,-50.0,-10,20,-80.67079516217629,-120.67079516217629,90.0
5,-25.0,-10,20,-80.6707496523341,-95.6707496523341,95.0
3,0.0,-10,20,-80.67070204592112,-70.67070204592112,95.0
0,-50.0,-10,20,-80.67064893131663,-120.67064893131663,85.0
1,-25.0,-10,20,-80.67058496597122,-95.67058496597122,80.0
0,-50.0,-10,20,-80.6705129521677,-120.67051295216771,70.0
2,-12.5,-10,20,-80.67043005674117,-83.17043005674117,67.5
3,0.0,-10,20,-80.6703395311804,-70.6703395311804,67.5
4,-12.5,-10,20,-80.67024250946078,-83.17024250946078,70.0
6,-50.0,-10,20,-80.67014048831646,-120.67014048831646,80.0
0,-50.0,-10,20,-80.67003826926026,-120.67003826926026,70.0
2,-12.5,-10,20,-80.66992459091321,-83.16992459091321,67.5
2,-12.5,-10,20,-80.66980307528299,-83.16980307528299,65.0
6,-50.0,-10,20,-80.66967333260351,-120.66967333260351,75.0
6,-50.0,-10,20,-80.66954346918834,-120.66954346918834,85.0
4,-12.5,-10,20,-80.66941428779317,-83.16941428779317,87.5
6,-50.0,-10,20,-80.66928124472632,-120.66928124472633,97.5
3,0.0,-10,20,-80.6691482905351,-70.6691482905351,97.5
1,-25.0,-10,20,-80.66900966898942,-95.66900966898942,92.5
1,-25.0,-10,20,-80.66886322044584,-95.66886322044584,87.5
3,0.0,-10,20,-80.66870922084428,-70.66870922084428,87.5
5,-25.0,-10,20,-80.66853073087168,-95.66853073087168,92.5
6,-50.0,-10,20,-80.66832950577157,-120.66832950577157,100.0
6,-50.0,-10,20,-80.66810606715484,-120.66810606715484,100.0
0,-50.0,-10,20,-80.66785783725338,-120.6678578372534,90.0
5,-25.0,-10,20,-80.66758236099838,-95.66758236099838,95.0
4,-12.5,-10,20,-80.66728342515549,-83.16728342515549,97.5
3,0.0,-10,20,-80.66696031765274,-70.66696031765274,97.5
1,-25.0,-10,20,-80.6666124744477,-95.6666124744477,92.5
6,-50.0,-10,20,-80.6662390717537,-120.6662390717537,100.0
4,-12.5,-10,20,-80.66584209814836,-83.16584209814836,100.0
4,-12.5,-10,20,-80.66542033517283,-83.16542033517283,100.0
4,-12.5,-10,20,-80.66497378343763,-83.16497378343763,100.0
4,-12.5,-10,20,-80.66450244282437,-83.16450244282437,100.0
2,-12.5,-10,20,-80.66400631406253,-83.16400631406253,97.5
5,-25.0,-10,20,-80.66348520317737,-95.66348520317737,100.0
0,-50.0,-10,20,-80.66293949940243,-120.66293949940243,90.0
4,-12.5,-10,20,-80.66236838638282,-83.16236838638282,92.5
1,-25.0,-10,20,-80.66177267964326,-95.66177267964326,87.5
4,-12.5,-10,20,-80.66115195299827,-83.16115195299827,90.0
2,-12.5,-10,20,-80.66050660972957,-83.16050660972957,87.5
6,-50.0,-10,20,-80.65986517759072,-120.65986517759072,97.5
1,-25.0,-10,20,-80.65922821098579,-95.65922821098579,92.5
4,-12.5,-10,20,-80.65859505667984,-83.15859505667984,95.0
6,-50.0,-10,20,-80.6579660084423,-120.65796600844232,100.0
5,-25.0,-10,20,-80.65734112718395,-95.65734112718395,100.0
5,-25.0,-10,20,-80.6567202392462,-95.6567202392462,100.0
0,-50.0,-10,20,-80.65610334369275,-120.65610334369273,90.0
2,-12.5,-10,20,-80.65549022375258,-83.15549022375258,87.5
4,-12.5,-10,20,-80.65488106044106,-83.15488106044106,90.0
6,-50.0,-10,20,-80.65427595397401,-120.65427595397401,100.0
6,-50.0,-10,20,-80.65367503134043,-120.65367503134041,100.0
3,0.0,-10,20,-80.65307809916195,-70.65307809916195,100.0
1,-25.0,-10,20,-80.65248515701606,-95.65248515701606,95.0
2,-12.5,-10,20,-80.65189615002615,-83.15189615002615,92.5
6,-50.0,-10,20,-80.65131111367721,-120.6513111136772,100.0
2,-12.5,-10,20,-80.65073014998666,-83.15073014998666,97.5
6,-50.0,-10,20,-80.65015315691376,-120.65015315691375,100.0
6,-50.0,-10,20,-80.6495801776542,-120.6495801776542,100.0
