action,reward_inertia,reward_r_eff,reward_I_percentage,reward_weigthed,reward,stringency_index
2,-12.5,-10,0,-81.29404705729297,-103.79404705729297,93.8
5,-25.0,-10,0,-81.29402274756043,-116.29402274756043,98.8
2,-12.5,-10,0,-81.29398533225297,-103.79398533225297,96.3
6,-50.0,-10,0,-81.29397834943619,-141.2939783494362,100.0
1,-25.0,-10,0,-81.29395949087963,-116.29395949087963,95.0
0,-50.0,-10,0,-81.29395859770277,-141.29395859770278,85.0
1,-25.0,-10,0,-81.29393750857419,-116.29393750857419,80.0
3,0.0,-10,0,-81.29388017898036,-91.29388017898036,80.0
5,-25.0,-10,0,-81.29380638018841,-116.29380638018841,85.0
3,0.0,-10,0,-81.2937338798365,-91.2937338798365,85.0
0,-50.0,-10,0,-81.29368054547257,-141.29368054547257,75.0
3,0.0,-10,0,-81.29362921789496,-91.29362921789496,75.0
5,-25.0,-10,0,-81.293546667306,-116.293546667306,80.0
3,0.0,-10,0,-81.29346374590845,-91.29346374590845,80.0
4,-12.5,-10,0,-81.29339726985334,-103.79339726985334,82.5
2,-12.5,-10,0,-81.29333190970465,-103.79333190970465,80.0
6,-50.0,-10,0,-81.29327555861367,-141.2932755586137,90.0
2,-12.5,-10,0,-81.29321328837247,-103.79321328837247,87.5
3,0.0,-10,0,-81.29318180413247,-91.29318180413247,87.5
0,-50.0,-10,0,-81.29314541614649,-141.2931454161465,77.5
5,-25.0,-10,0,-81.29311086537486,-116.29311086537486,82.5
3,0.0,-10,0,-81.29305311054844,-91.29305311054844,82.5
4,-12.5,-10,0,-81.2930084081159,-103.7930084081159,85.0
1,-25.0,-10,0,-81.29296508181882,-116.29296508181882,80.0
3,0.0,-10,0,-81.29292883763043,-91.29292883763043,80.0
0,-50.0,-10,0,-81.29288300513923,-141.29288300513923,70.0
1,-25.0,-10,0,-81.2928381067932,-116.2928381067932,65.0
1,-25.0,-10,0,-81.29277218544586,-116.29277218544586,60.0
3,0.0,-10,0,-81.29269307056452,-91.29269307056452,60.0
6,-50.0,-10,0,-81.29259774683264,-141.29259774683266,70.0
6,-50.0,-10,0,-81.2924956344228,-141.2924956344228,80.0
3,0.0,-10,0,-81.29241470942185,-91.29241470942185,80.0
3,0.0,-10,0,-81.2923578441522,-91.2923578441522,80.0
5,-25.0,-10,0,-81.29230020845996,-116.29230020845996,85.0
1,-25.0,-10,0,-81.29224177927895,-116.29224177927895,80.0
1,-25.0,-10,0,-81.29219518259667,-116.29219518259667,75.0
3,0.0,-10,0,-81.29213619361761,-91.29213619361761,75.0
5,-25.0,-10,0,-81.29206420482222,-116.29206420482222,80.0
3,0.0,-10,0,-81.29199024084129,-91.29199024084129,80.0
2,-12.5,-10,0,-81.29192646222337,-103.79192646222337,77.5
3,0.0,-10,0,-81.29186178334646,-91.29186178334646,77.5
2,-12.5,-10,0,-81.29179038984742,-103.79179038984742,75.0
4,-12.5,-10,0,-81.29171761027358,-103.79171761027358,77.5
5,-25.0,-10,0,-81.29163769240418,-116.29163769240418,82.5
1,-25.0,-10,0,-81.2915615629551,-116.2915615629551,77.5
3,0.0,-10,0,-81.29149525035183,-91.29149525035183,77.5
1,-25.0,-10,0,-81.29141742521398,-116.29141742521398,72.5
1,-25.0,-10,0,-81.29132455153638,-116.29132455153638,67.5
3,0.0,-10,0,-81.2912057403889,-91.2912057403889,67.5
3,0.0,-10,0,-81.29105937361366,-91.29105937361366,67.5
5,-25.0,-10,0,-81.29089493811159,-116.29089493811159,72.5
4,-12.5,-10,0,-81.29071233855288,-103.79071233855288,75.0
6,-50.0,-10,0,-81.29052406748266,-141.29052406748266,85.0
2,-12.5,-10,0,-81.29032569878702,-103.79032569878702,82.5
0,-50.0,-10,0,-81.29013615534993,-141.29013615534993,72.5
3,0.0,-10,0,-81.2899268700872,-91.2899268700872,72.5
1,-25.0,-10,0,-81.2896804622581,-116.2896804622581,67.5
3,0.0,-10,0,-81.28941773655202,-91.28941773655202,67.5
2,-12.5,-10,0,-81.2891265267069,-103.7891265267069,65.0
6,-50.0,-10,0,-81.28881705181634,-141.28881705181635,75.0
2,-12.5,-10,0,-81.28848255829153,-103.78848255829153,72.5
4,-12.5,-10,0,-81.28815574164878,-103.78815574164878,75.0
5,-25.0,-10,0,-81.28781482925257,-116.28781482925257,80.0
3,0.0,-10,0,-81.28747259400049,-91.28747259400049,80.0
6,-50.0,-10,0,-81.28713650706872,-141.28713650706874,90.0
2,-12.5,-10,0,-81.28679427222075,-103.78679427222075,87.5
