action,reward_inertia,reward_r_eff,reward_I_percentage,reward_weigthed,reward,stringency_index
1,-25.0,-10,0,-80.67204479390224,-115.67204479390224,91.3
5,-25.0,-10,0,-80.67201819613977,-115.67201819613977,96.3
0,-50.0,-10,0,-80.67196135555773,-140.67196135555773,86.3
2,-12.5,-10,0,-80.67193937613504,-103.17193937613504,83.8
0,-50.0,-10,0,-80.67186446704504,-140.67186446704505,73.8
4,-12.5,-10,0,-80.67178025362858,-103.17178025362858,76.3
3,0.0,-10,0,-80.67164655343953,-90.67164655343953,76.3
4,-12.5,-10,0,-80.6715255130863,-103.1715255130863,78.8
6,-50.0,-10,0,-80.67140514899323,-140.67140514899324,88.8
1,-25.0,-10,0,-80.67129876592847,-115.67129876592847,83.8
2,-12.5,-10,0,-80.67124497646412,-103.17124497646412,81.3
3,0.0,-10,0,-80.67117148567701,-90.67117148567701,81.3
3,0.0,-10,0,-80.6710897923382,-90.6710897923382,81.3
2,-12.5,-10,0,-80.67101061227388,-103.17101061227388,78.8
2,-12.5,-10,0,-80.67093386819349,-103.17093386819349,76.3
3,0.0,-10,0,-80.67084900070681,-90.67084900070681,76.3
3,0.0,-10,0,-80.67075525952545,-90.67075525952545,76.3
4,-12.5,-10,0,-80.67066204208247,-103.17066204208247,78.8
0,-50.0,-10,0,-80.67056934558968,-140.67056934558968,68.8
4,-12.5,-10,0,-80.67048741636391,-103.17048741636391,71.3
4,-12.5,-10,0,-80.67036596375272,-103.17036596375272,73.8
2,-12.5,-10,0,-80.67025125141065,-103.17025125141065,71.3
1,-25.0,-10,0,-80.67014345326896,-115.67014345326896,66.3
2,-12.5,-10,0,-80.67002228564988,-103.17002228564988,63.8
6,-50.0,-10,0,-80.66987430398336,-140.66987430398336,73.8
4,-12.5,-10,0,-80.6697058406818,-103.1697058406818,76.3
6,-50.0,-10,0,-80.66957655914453,-140.66957655914453,86.3
1,-25.0,-10,0,-80.66945709946589,-115.66945709946589,81.3
1,-25.0,-10,0,-80.66938418506412,-115.66938418506412,76.3
4,-12.5,-10,0,-80.66929083529905,-103.16929083529905,78.8
4,-12.5,-10,0,-80.669176256679,-103.169176256679,81.3
0,-50.0,-10,0,-80.66907162775723,-140.66907162775723,71.3
6,-50.0,-10,0,-80.66897766450971,-140.66897766450973,81.3
4,-12.5,-10,0,-80.66884212656785,-103.16884212656785,83.8
4,-12.5,-10,0,-80.66874572450315,-103.16874572450315,86.3
1,-25.0,-10,0,-80.66866011395392,-115.66866011395392,81.3
1,-25.0,-10,0,-80.66858512805814,-115.66858512805814,76.3
