stringency_index,total_cases,total_deaths,total_vaccinations,population,people_fully_vaccinated,gdp_normalized
72.69,1976942.0,112574.0,45620.0,338289856.0,9669.0,
72.69,1995093.0,113350.0,45620.0,338289856.0,9669.0,
72.69,2013674.0,114177.0,45620.0,338289856.0,9669.0,
72.69,2035855.0,115059.0,45620.0,338289856.0,9669.0,
72.69,2058745.0,115947.0,45620.0,338289856.0,9669.0,
72.69,2087078.0,116682.0,45620.0,338289856.0,9669.0,
68.98,2113512.0,117367.0,45620.0,338289856.0,9669.0,
68.98,2134290.0,117856.0,45620.0,338289856.0,9669.0,
68.98,2154881.0,118381.0,45620.0,338289856.0,9669.0,
68.98,2179658.0,119055.0,45620.0,338289856.0,9669.0,
68.98,2205474.0,119739.0,45620.0,338289856.0,9669.0,
68.98,2233994.0,120382.0,45620.0,338289856.0,9669.0,
68.98,2267099.0,121137.0,45620.0,338289856.0,9669.0,
68.98,2300566.0,121713.0,45620.0,338289856.0,9669.0,
68.98,2327911.0,122126.0,45620.0,338289856.0,9669.0,
68.98,2356609.0,122541.0,45620.0,338289856.0,9669.0,
68.98,2394496.0,123287.0,45620.0,338289856.0,9669.0,
68.98,2431816.0,123979.0,45620.0,338289856.0,9669.0,
68.98,2478837.0,126512.0,45620.0,338289856.0,9669.0,
68.98,2525377.0,127218.0,45620.0,338289856.0,9669.0,
68.98,2569030.0,127811.0,45620.0,338289856.0,9669.0,
68.98,2606613.0,128250.0,45620.0,338289856.0,9669.0,
68.98,2645130.0,128711.0,45620.0,338289856.0,9669.0,95.788726935495
68.98,2692383.0,129373.0,45620.0,338289856.0,9669.0,
68.98,2751725.0,130155.0,45620.0,338289856.0,9669.0,
68.98,2807177.0,130859.0,45620.0,338289856.0,9669.0,
68.98,2867543.0,131669.0,45620.0,338289856.0,9669.0,
68.98,2916521.0,132208.0,45620.0,338289856.0,9669.0,
68.98,2956934.0,132668.0,45620.0,338289856.0,9669.0,
68.98,3007697.0,133266.0,45620.0,338289856.0,9669.0,
68.98,3064451.0,134194.0,45620.0,338289856.0,9669.0,
68.98,3129226.0,135273.0,45620.0,338289856.0,9669.0,
68.98,3191169.0,136234.0,45620.0,338289856.0,9669.0,
68.98,3259748.0,137198.0,45620.0,338289856.0,9669.0,
68.98,3328010.0,138087.0,45620.0,338289856.0,9669.0,
68.98,3386690.0,138927.0,45620.0,338289856.0,9669.0,
68.98,3442977.0,139658.0,45620.0,338289856.0,9669.0,
68.98,3507493.0,140572.0,45620.0,338289856.0,9669.0,
68.98,3579882.0,141694.0,45620.0,338289856.0,9669.0,
68.98,3649063.0,142783.0,45620.0,338289856.0,9669.0,
68.98,3726015.0,143864.0,45620.0,338289856.0,9669.0,
68.98,3793339.0,144869.0,45620.0,338289856.0,9669.0,
68.98,3853351.0,145801.0,45620.0,338289856.0,9669.0,
68.98,3911870.0,146668.0,45620.0,338289856.0,9669.0,
68.98,3975206.0,147861.0,45620.0,338289856.0,9669.0,
68.98,4047622.0,149052.0,45620.0,338289856.0,9669.0,
68.98,4120764.0,150306.0,45620.0,338289856.0,9669.0,
68.98,4193916.0,151590.0,45620.0,338289856.0,9669.0,
68.98,4255512.0,152738.0,45620.0,338289856.0,9669.0,
68.98,4313271.0,153689.0,45620.0,338289856.0,9669.0,
68.98,4367278.0,154625.0,45620.0,338289856.0,9669.0,
68.98,4425986.0,155788.0,45620.0,338289856.0,9669.0,
68.98,4490841.0,156967.0,45620.0,338289856.0,9669.0,
68.98,4556982.0,158367.0,45620.0,338289856.0,9669.0,97.6335235533408
68.98,4625166.0,159736.0,45620.0,338289856.0,9669.0,
68.98,4681578.0,160900.0,45620.0,338289856.0,9669.0,
68.98,4732427.0,161822.0,45620.0,338289856.0,9669.0,
68.98,4777756.0,162675.0,45620.0,338289856.0,9669.0,
68.98,4829812.0,163747.0,45620.0,338289856.0,9669.0,
68.98,4885404.0,165007.0,45620.0,338289856.0,9669.0,
68.98,4938569.0,166218.0,45620.0,338289856.0,9669.0,
68.98,5001075.0,167535.0,45620.0,338289856.0,9669.0,
68.98,5052754.0,168578.0,45620.0,338289856.0,9669.0,
68.98,5099227.0,169478.0,45620.0,338289856.0,9669.0,
