stringency_index,total_cases,total_deaths,total_vaccinations,population,people_fully_vaccinated,gdp_normalized
85.19,132547.0,16523.0,7191.0,59037472.0,9.0,
85.19,135586.0,17127.0,7191.0,59037472.0,9.0,
85.19,139422.0,17669.0,7191.0,59037472.0,9.0,
87.96,143626.0,18279.0,7191.0,59037472.0,9.0,
87.96,147577.0,18849.0,7191.0,59037472.0,9.0,
93.52,152271.0,19468.0,7191.0,59037472.0,9.0,
93.52,156363.0,19899.0,7191.0,59037472.0,9.0,
93.52,159516.0,20465.0,7191.0,59037472.0,9.0,
93.52,162488.0,21067.0,7191.0,59037472.0,9.0,
93.52,165155.0,21645.0,7191.0,59037472.0,9.0,
93.52,168941.0,22170.0,7191.0,59037472.0,9.0,
93.52,172434.0,22745.0,7191.0,59037472.0,9.0,
93.52,175925.0,23227.0,7191.0,59037472.0,9.0,
93.52,178972.0,23660.0,7191.0,59037472.0,9.0,
93.52,181228.0,24114.0,7191.0,59037472.0,9.0,
93.52,183957.0,24648.0,7191.0,59037472.0,9.0,
93.52,187327.0,25085.0,7191.0,59037472.0,9.0,
93.52,189973.0,25549.0,7191.0,59037472.0,9.0,
93.52,192994.0,25969.0,7191.0,59037472.0,9.0,
93.52,195351.0,26384.0,7191.0,59037472.0,9.0,
93.52,197675.0,26644.0,7191.0,59037472.0,9.0,
93.52,199414.0,26977.0,7191.0,59037472.0,9.0,
93.52,201505.0,27359.0,7191.0,59037472.0,9.0,
93.52,203591.0,27682.0,7191.0,59037472.0,9.0,
93.52,205463.0,27967.0,7191.0,59037472.0,9.0,86.0180337425359
93.52,207428.0,28236.0,7191.0,59037472.0,9.0,
93.52,209328.0,28710.0,7191.0,59037472.0,9.0,
75.0,210717.0,28884.0,7191.0,59037472.0,9.0,
75.0,211938.0,29079.0,7191.0,59037472.0,9.0,
75.0,213013.0,29315.0,7191.0,59037472.0,9.0,
75.0,214457.0,29684.0,7191.0,59037472.0,9.0,
75.0,215858.0,29958.0,7191.0,59037472.0,9.0,
75.0,217185.0,30201.0,7191.0,59037472.0,9.0,
75.0,218268.0,30395.0,7191.0,59037472.0,9.0,
75.0,219070.0,30560.0,7191.0,59037472.0,9.0,
75.0,219814.0,30739.0,7191.0,59037472.0,9.0,
75.0,221216.0,30911.0,7191.0,59037472.0,9.0,
75.0,222104.0,31106.0,7191.0,59037472.0,9.0,
75.0,223096.0,31368.0,7191.0,59037472.0,9.0,
78.7,223885.0,31610.0,7191.0,59037472.0,9.0,
78.7,224760.0,31763.0,7191.0,59037472.0,9.0,
67.59,225435.0,31908.0,7191.0,59037472.0,9.0,
67.59,225886.0,32007.0,7191.0,59037472.0,9.0,
67.59,226699.0,32169.0,7191.0,59037472.0,9.0,
67.59,227364.0,32330.0,7191.0,59037472.0,9.0,
67.59,228006.0,32486.0,7191.0,59037472.0,9.0,
67.59,228658.0,32616.0,7191.0,59037472.0,9.0,
67.59,229327.0,32735.0,7191.0,59037472.0,9.0,
67.59,229858.0,32785.0,7191.0,59037472.0,9.0,
67.59,230158.0,32877.0,7191.0,59037472.0,9.0,
67.59,230555.0,32955.0,7191.0,59037472.0,9.0,
67.59,231139.0,33072.0,7191.0,59037472.0,9.0,
67.59,231732.0,33142.0,7191.0,59037472.0,9.0,
67.59,232248.0,33229.0,7191.0,59037472.0,9.0,
67.59,232664.0,33340.0,7191.0,59037472.0,9.0,
67.59,233019.0,33415.0,7191.0,59037472.0,9.0,89.0293501024309
67.59,233197.0,33475.0,7191.0,59037472.0,9.0,
67.59,233515.0,33530.0,7191.0,59037472.0,9.0,
67.59,233836.0,33601.0,7191.0,59037472.0,9.0,
67.59,234013.0,33689.0,7191.0,59037472.0,9.0,
67.59,234531.0,33774.0,7191.0,59037472.0,9.0,
67.59,234801.0,33846.0,7191.0,59037472.0,9.0,
67.59,234998.0,33899.0,7191.0,59037472.0,9.0,
67.59,235278.0,33964.0,7191.0,59037472.0,9.0,
67.59,235561.0,34043.0,7191.0,59037472.0,9.0,
